a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class,adverse_target,profile_group_id
code_1,22.08,11.46,code_2,code_4,code_4,1.585,code_0,code_0,0,code_1,code_2,100,1213,0,1,17356904989663754033
code_0,22.67,7.0,code_2,code_8,code_4,0.165,code_0,code_0,0,code_0,code_2,160,1,0,1,14403104179031334540
code_0,29.58,1.75,code_1,code_4,code_4,1.25,code_0,code_0,0,code_1,code_2,280,1,0,1,3746440271519223246
code_0,21.67,11.5,code_1,code_5,code_3,0.0,code_1,code_1,11,code_1,code_2,0,1,1,0,10241943442777177680
code_1,20.17,8.17,code_2,code_6,code_4,1.96,code_1,code_1,14,code_0,code_2,60,159,1,0,5173253168657635007
code_0,15.83,0.585,code_2,code_8,code_8,1.5,code_1,code_1,2,code_0,code_2,100,1,1,0,5015979797776048568
code_1,17.42,6.5,code_2,code_3,code_4,0.125,code_0,code_0,0,code_0,code_2,60,101,0,1,5186695691805032757
code_0,58.67,4.46,code_2,code_11,code_8,3.04,code_1,code_1,6,code_0,code_2,43,561,1,0,9810355684800789154
code_1,27.83,1.0,code_1,code_2,code_8,3.0,code_0,code_0,0,code_0,code_2,176,538,0,1,9757780659842426567
code_0,55.75,7.08,code_2,code_4,code_8,6.75,code_1,code_1,3,code_1,code_2,100,51,0,1,13075480182310101946
code_1,33.5,1.75,code_2,code_14,code_8,4.5,code_1,code_1,4,code_1,code_2,253,858,1,0,15507327540240158014
code_1,41.42,5.0,code_2,code_11,code_8,5.0,code_1,code_1,6,code_1,code_2,470,1,1,0,10593602688655915595
code_1,20.67,1.25,code_1,code_8,code_8,1.375,code_1,code_1,3,code_1,code_2,140,211,0,1,1342925078235535845
code_1,34.92,5.0,code_2,code_14,code_8,7.5,code_1,code_1,6,code_1,code_2,0,1001,1,0,13411281301289500835
code_1,58.58,2.71,code_2,code_8,code_4,2.415,code_0,code_0,0,code_1,code_2,320,1,0,1,2205729659261327134
code_1,48.08,6.04,code_2,code_4,code_4,0.04,code_0,code_0,0,code_0,code_2,0,2691,1,0,6157590347727295148
code_1,29.58,4.5,code_2,code_9,code_4,7.5,code_1,code_1,2,code_1,code_2,330,1,1,0,1437336846705666035
code_0,18.92,9.0,code_2,code_6,code_4,0.75,code_1,code_1,2,code_0,code_2,88,592,1,0,16178551579573320939
code_1,20.0,1.25,code_1,code_4,code_4,0.125,code_0,code_0,0,code_0,code_2,140,5,0,1,8903733093506359650
code_0,22.42,5.665,code_2,code_11,code_4,2.585,code_1,code_1,7,code_0,code_2,129,3258,1,0,13593876450889460012
code_0,28.17,0.585,code_2,code_6,code_4,0.04,code_0,code_0,0,code_0,code_2,260,1005,0,1,1516044779321579993
code_0,19.17,0.585,code_1,code_6,code_4,0.585,code_1,code_0,0,code_1,code_2,160,1,0,1,5497698214974580195
code_1,41.17,1.335,code_2,code_2,code_4,0.165,code_0,code_0,0,code_0,code_2,168,1,0,1,16744895285057418608
code_1,41.58,1.75,code_2,code_4,code_4,0.21,code_1,code_0,0,code_0,code_2,160,1,0,1,15251592747955334944
code_1,19.5,9.585,code_2,code_6,code_4,0.79,code_0,code_0,0,code_0,code_2,80,351,0,1,12175263888365591231
code_1,32.75,1.5,code_2,code_13,code_8,5.5,code_1,code_1,3,code_1,code_2,0,1,1,0,15635911763170325670
code_1,22.5,0.125,code_1,code_4,code_4,0.125,code_0,code_0,0,code_0,code_2,200,71,0,1,15964636555964569709
code_1,33.17,3.04,code_1,code_8,code_8,2.04,code_1,code_1,1,code_1,code_2,180,18028,1,0,16319250428232863782
code_0,30.67,12.0,code_2,code_8,code_4,2.0,code_1,code_1,1,code_0,code_2,220,20,1,0,14272942931945603152
code_1,23.08,2.5,code_2,code_8,code_4,1.085,code_1,code_1,11,code_1,code_2,60,2185,1,0,17002888724695783296
code_1,27.0,0.75,code_2,code_8,code_8,4.25,code_1,code_1,3,code_1,code_2,312,151,1,0,12513792902819237773
code_0,20.42,10.5,code_1,code_14,code_8,0.0,code_0,code_0,0,code_1,code_2,154,33,0,1,17010112139891644844
code_1,52.33,1.375,code_1,code_8,code_8,9.46,code_1,code_0,0,code_1,code_2,200,101,0,1,11388377375796256813
code_1,23.08,11.5,code_2,code_9,code_8,2.125,code_1,code_1,11,code_1,code_2,290,285,1,0,4840990721412182807
code_1,42.83,1.25,code_2,code_7,code_4,13.875,code_0,code_1,1,code_1,code_2,352,113,0,1,14824036370129154875
code_1,74.83,19.0,code_1,code_1,code_1,0.04,code_0,code_1,2,code_0,code_2,0,352,0,1,7912972693889967003
code_1,25.0,12.5,code_2,code_6,code_4,3.0,code_1,code_0,0,code_1,code_1,20,1,1,0,17303316612639511831
code_1,39.58,13.915,code_2,code_9,code_4,8.625,code_1,code_1,6,code_1,code_2,70,1,1,0,5849597375860498528
code_0,47.75,8.0,code_2,code_8,code_4,7.875,code_1,code_1,6,code_1,code_2,0,1261,1,0,11334942167177831429
code_0,47.42,3.0,code_2,code_14,code_4,13.875,code_1,code_1,2,code_1,code_2,519,1705,1,0,4803514620803559876
code_1,23.17,0.0,code_2,code_13,code_4,0.085,code_1,code_0,0,code_0,code_2,0,1,1,0,3451340507035449244
code_1,22.58,1.5,code_1,code_6,code_4,0.54,code_0,code_0,0,code_1,code_2,120,68,0,1,712178480313010979
code_1,26.75,1.125,code_2,code_14,code_8,1.25,code_1,code_0,0,code_0,code_2,0,5299,1,0,11481443420799612516
code_1,63.33,0.54,code_2,code_8,code_4,0.585,code_1,code_1,3,code_1,code_2,180,1,0,1,6959633810252767840
code_1,23.75,0.415,code_1,code_8,code_4,0.04,code_0,code_1,2,code_0,code_2,128,7,0,1,17678650967897717036
code_0,20.75,10.25,code_2,code_11,code_4,0.71,code_1,code_1,2,code_1,code_2,49,1,1,0,7471451336438580544
code_0,24.5,1.75,code_1,code_8,code_4,0.165,code_0,code_0,0,code_0,code_2,132,1,0,1,3803400094943276858
code_1,16.17,0.04,code_2,code_8,code_4,0.04,code_0,code_0,0,code_0,code_2,0,1,1,0,2420522423527748031
code_0,29.5,2.0,code_1,code_10,code_8,2.0,code_0,code_0,0,code_0,code_2,256,18,0,1,16734556902473785348
code_0,52.83,15.0,code_2,code_8,code_4,5.5,code_1,code_1,14,code_0,code_2,0,2201,1,0,15533256299644257494
code_1,32.33,3.5,code_2,code_4,code_4,0.5,code_0,code_0,0,code_1,code_2,232,1,0,1,7189496104654197797
code_1,21.08,4.125,code_1,code_3,code_8,0.04,code_0,code_0,0,code_0,code_2,140,101,0,1,474083763253535509
code_1,28.17,0.125,code_1,code_4,code_4,0.085,code_0,code_0,0,code_0,code_2,216,2101,0,1,400359556966094893
code_1,19.0,1.75,code_1,code_8,code_4,2.335,code_0,code_0,0,code_1,code_2,112,7,0,1,7540547940811510201
code_1,27.58,3.25,code_1,code_11,code_8,5.085,code_0,code_1,2,code_1,code_2,369,2,0,1,14296152885688587852
code_1,27.83,1.5,code_2,code_9,code_4,2.0,code_1,code_1,11,code_1,code_2,434,36,1,0,17289376179059799145
code_1,40.0,6.5,code_2,code_6,code_5,3.5,code_1,code_1,1,code_0,code_2,0,501,1,0,17307294347945711457
code_0,37.33,2.5,code_2,code_3,code_8,0.21,code_0,code_0,0,code_0,code_2,260,247,0,1,3621114907277550738
code_1,42.5,4.915,code_1,code_9,code_4,3.165,code_1,code_0,0,code_1,code_2,52,1443,1,0,5469854730074572637
code_1,56.75,12.25,code_2,code_7,code_4,1.25,code_1,code_1,4,code_1,code_2,200,1,1,0,17214983963768304509
code_1,43.17,5.0,code_2,code_3,code_5,2.25,code_0,code_0,0,code_1,code_2,141,1,0,1,2211691978478252212
code_0,23.75,0.71,code_2,code_9,code_4,0.25,code_0,code_1,1,code_1,code_2,240,5,0,1,12420616196011527117
code_1,18.5,2.0,code_2,code_3,code_4,1.5,code_1,code_1,2,code_0,code_2,120,301,1,0,12758968433048537794
code_0,40.83,3.5,code_2,code_3,code_5,0.5,code_0,code_0,0,code_0,code_1,1160,1,0,1,401400179109351046
code_0,24.5,0.5,code_2,code_11,code_8,1.5,code_1,code_0,0,code_0,code_2,280,825,1,0,15051401269789598346
code_1,42.0,9.79,code_2,code_14,code_8,7.96,code_1,code_1,8,code_0,code_2,0,1,1,0,3736661352766225948
code_0,19.5,0.165,code_2,code_11,code_4,0.04,code_0,code_0,0,code_1,code_2,380,1,0,1,8564336841929822173
code_1,21.5,11.5,code_2,code_3,code_4,0.5,code_1,code_0,0,code_1,code_2,100,69,0,1,10646960062484445382
code_1,31.25,2.835,code_2,code_1,code_1,0.0,code_0,code_1,5,code_0,code_2,176,147,0,1,1473089610367784051
code_1,27.25,1.585,code_2,code_13,code_8,1.835,code_1,code_1,12,code_1,code_2,583,714,1,0,8549640817610425914
code_1,48.75,26.335,code_1,code_1,code_1,0.0,code_1,code_0,0,code_1,code_2,0,1,0,1,534519482898782393
code_0,30.42,1.375,code_2,code_9,code_8,0.04,code_0,code_1,3,code_0,code_2,0,34,0,1,15431610065005734878
