status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,adverse_target,profile_group_id
... < 100 DM,6,critical account/other credits existing,domestic appliances,1169,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,1,0,4690601434300589765
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,no,yes,0,1,3177520690204061584
no checking account,12,critical account/other credits existing,retraining,2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1,0,2337653951314806909
... < 100 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,no,yes,1,0,16603777226532841442
... < 100 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,0,1,5644668940294840149
no checking account,36,existing credits paid back duly till now,retraining,9055,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,35,none,for free,1,unskilled - resident,2,yes,yes,1,0,9621356536159106215
no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,1,0,8461618141697626606
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,16775560139219270467
no checking account,12,existing credits paid back duly till now,domestic appliances,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1,0,18053381503618326367
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,1,9387902437252407744
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,no,yes,0,1,17157874185147602898
... < 100 DM,48,existing credits paid back duly till now,others,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,0,1,18300586653684527079
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,yes,yes,1,0,899697616531180577
... < 100 DM,24,critical account/other credits existing,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,60,none,own,2,unskilled - resident,1,no,yes,0,1,12107638063192080386
... < 100 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,no,yes,1,0,1924255618074212634
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,no,yes,0,1,15312828681386771187
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,1,0,3380737711348360986
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,25,bank,own,3,skilled employee/official,1,no,yes,1,0,9395591424250794367
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,1729477209730898270
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,31,none,own,1,skilled employee/official,2,yes,yes,1,0,7744035440001048076
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,48,none,own,3,skilled employee/official,1,yes,yes,1,0,216914236416555089
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,1,0,16335152348835479554
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1,0,634941574773556095
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,1,0,17464836306407699647
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,no,no,1,0,17606814944776998912
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1,0,5584512748085517972
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,39,none,own,1,unskilled - resident,1,no,yes,1,0,15626377280615365628
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,1,0,18017077735464561941
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,1,0,5156712481717412996
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,yes,yes,0,1,14698662409563632415
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,1,0,10668307883485222216
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,27,stores,own,1,skilled employee/official,1,no,yes,1,0,5381215055571789962
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee/official,1,yes,yes,1,0,10687643941445214415
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,57,none,rent,1,unskilled - resident,1,no,yes,1,0,3513874304299255958
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,7201344129907451149
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,0,1,12816603638940579108
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,1,0,15455636814733399086
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,0,1,14094544615354138793
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,0,8082729356258157168
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,0,2296227711252755694
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,7588425942370737096
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes,1,0,14438064835818725245
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1,0,12999972346841993275
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,no,yes,1,0,8782352474998833873
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,no,yes,0,1,9728925545918427764
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,5885302638965115082
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,no,yes,1,0,8188505036327701286
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1,0,18175521476600784444
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,1,0,8978968469895959001
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,0,8040626898366151870
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1,0,12381824428684759090
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,7089755579183474431
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,0,11876743938024686542
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,1,0,12561602741825471173
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,0,1,13009539390048447902
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1,0,10957088686358584777
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,8918781098310946362
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,no,yes,1,0,2460537822512813868
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,6136913488510650912
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,0,1,1815158605975694644
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,1,0,17453794510753037974
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,1,0,12824957461722131959
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,10218515202138884898
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes,0,1,10239074729703236949
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1,0,169037582852904140
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,1,0,16836928571628682487
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1,0,18174727776904599543
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,1,0,13526376826587488662
