dataset,run_id,repeat,fold,model,train_records,test_records,original_predictors,transformed_features,runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R1_F1,1,1,LR,552,138,14,42,0.08612859999993816,0.8478260869565217,0.9285714285714286,0.8024691358024691,0.9122807017543859,0.8609271523178808,0.8573749187784275,0.7039317050432141,0.9194282001299545,0.9451472766613565,0.8556150456520223,0.7147498375568551,52,5,16,65
Australian Credit Approval,R1_F1,1,1,SVM,552,138,14,42,0.09148149995598942,0.8405797101449275,0.9402985074626866,0.7777777777777778,0.9298245614035088,0.8513513513513513,0.8538011695906433,0.6971121007998781,0.9287416071041802,0.9565666664012885,0.8504098312529189,0.7816764132553606,53,4,18,63
Australian Credit Approval,R1_F1,1,1,KNN,552,138,14,42,0.7839725000085309,0.7898550724637681,0.8333333333333334,0.8024691358024691,0.7719298245614035,0.8176100628930818,0.7871994801819363,0.5705197141258087,0.8861815031405675,0.9045463532528304,0.7870513701251914,0.6458739441195581,44,13,16,65
Australian Credit Approval,R1_F1,1,1,DT,552,138,14,42,0.0842986999778077,0.7898550724637681,0.8611111111111112,0.7654320987654321,0.8245614035087719,0.8104575163398693,0.794996751137102,0.581552530731848,0.794996751137102,0.7968032444683009,0.7944468299695642,0.589993502274204,47,10,19,62
Australian Credit Approval,R1_F1,1,1,RF,552,138,14,42,1.0995185999781825,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9230019493177388,0.9507696532230097,0.8602853992490769,0.7446393762183235,51,6,14,67
Australian Credit Approval,R1_F1,1,1,XGB,552,138,14,42,0.5774468999588862,0.8405797101449275,0.9041095890410958,0.8148148148148148,0.8771929824561403,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.9287416071041802,0.9469172564880869,0.8454287891696468,0.7322936972059779,50,7,15,66
Australian Credit Approval,R1_F2,1,2,LR,552,138,14,42,0.11104129999876022,0.8695652173913043,0.92,0.8518518518518519,0.8947368421052632,0.8846153846153846,0.8732943469785575,0.7380069296171955,0.9350227420402859,0.9411218426677157,0.8730310623726091,0.7803768680961662,51,6,12,69
Australian Credit Approval,R1_F2,1,2,SVM,552,138,14,42,0.08261260000290349,0.855072463768116,0.9295774647887324,0.8148148148148148,0.9122807017543859,0.868421052631579,0.8635477582846003,0.7163162909045578,0.9215941087286116,0.928700930376984,0.8621715786658298,0.7907732293697205,52,5,15,66
Australian Credit Approval,R1_F2,1,2,KNN,552,138,14,42,0.0749789999681525,0.8623188405797102,0.8875,0.8765432098765432,0.8421052631578947,0.8819875776397516,0.8593242365172189,0.7168651272549078,0.9053497942386832,0.9014989408509085,0.8591517039628986,0.718648473034438,48,9,10,71
Australian Credit Approval,R1_F2,1,2,DT,552,138,14,42,0.05950920004397631,0.855072463768116,0.8588235294117647,0.9012345679012346,0.7894736842105263,0.8795180722891566,0.8453541260558805,0.6992414815334496,0.8453541260558805,0.8319724669255786,0.8435051716847203,0.6907082521117609,45,12,8,73
Australian Credit Approval,R1_F2,1,2,RF,552,138,14,42,1.1573964999988675,0.8840579710144928,0.922077922077922,0.8765432098765432,0.8947368421052632,0.8987341772151899,0.8856400259909032,0.7646835652004254,0.9353476283300844,0.9407949450049808,0.8855933059671065,0.7979207277452891,51,6,10,71
Australian Credit Approval,R1_F2,1,2,XGB,552,138,14,42,0.5206338000134565,0.855072463768116,0.9066666666666666,0.8395061728395061,0.8771929824561403,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.9369720597790773,0.9471047518813246,0.8581427174680365,0.7569850552306693,50,7,13,68
Australian Credit Approval,R1_F3,1,3,LR,552,138,14,42,0.11599489999935031,0.855072463768116,0.8947368421052632,0.85,0.8620689655172413,0.8717948717948718,0.8560344827586206,0.7066077679947536,0.9254310344827587,0.9199447021393272,0.8560132129176834,0.7560344827586206,50,8,12,68
Australian Credit Approval,R1_F3,1,3,SVM,552,138,14,42,0.08661599998595193,0.8478260869565217,0.9041095890410958,0.825,0.8793103448275862,0.8627450980392157,0.852155172413793,0.6964740653372284,0.9170258620689654,0.9461207639227106,0.8517223928503692,0.7306034482758621,51,7,14,66
Australian Credit Approval,R1_F3,1,3,KNN,552,138,14,42,0.06435270002111793,0.8478260869565217,0.8554216867469879,0.8875,0.7931034482758621,0.8711656441717791,0.840301724137931,0.686171608546814,0.8811422413793104,0.8702560205079178,0.8389751547839945,0.680603448275862,46,12,9,71
Australian Credit Approval,R1_F3,1,3,DT,552,138,14,42,0.06348830001661554,0.8043478260869565,0.8533333333333334,0.8,0.8103448275862069,0.8258064516129032,0.8051724137931034,0.6048300389582784,0.8051724137931034,0.798608695652174,0.8051557998728975,0.6103448275862069,47,11,16,64
Australian Credit Approval,R1_F3,1,3,RF,552,138,14,42,1.0798113000346348,0.8840579710144928,0.8902439024390244,0.9125,0.8448275862068966,0.9012345679012346,0.8786637931034482,0.7612754544142956,0.930926724137931,0.9329023318128877,0.8780120571004666,0.8012931034482758,49,9,7,73
Australian Credit Approval,R1_F3,1,3,XGB,552,138,14,42,0.5210971999913454,0.8695652173913043,0.9078947368421053,0.8625,0.8793103448275862,0.8846153846153846,0.8709051724137931,0.7361210464400549,0.934051724137931,0.9433906687929983,0.8708646119884498,0.7698275862068966,51,7,11,69
Australian Credit Approval,R1_F4,1,4,LR,552,138,14,42,0.0959953999845311,0.8768115942028986,0.8289473684210527,0.9402985074626866,0.8169014084507042,0.8811188811188811,0.8785999579566954,0.7608069861579639,0.9281059491276014,0.8871739339576376,0.876430930028353,0.7571999159133909,58,13,4,63
Australian Credit Approval,R1_F4,1,4,SVM,552,138,14,42,0.0770450999843888,0.8333333333333334,0.84375,0.8059701492537313,0.8591549295774648,0.8244274809160306,0.832562539415598,0.6665980705277463,0.9318898465419381,0.911550485350392,0.8321377451021125,0.7878915282741223,61,10,13,54
Australian Credit Approval,R1_F4,1,4,KNN,552,138,14,42,0.06207909999648109,0.8405797101449275,0.7647058823529411,0.9701492537313433,0.7183098591549296,0.8552631578947368,0.8442295564431365,0.7074525738295824,0.8866932940929156,0.8078634734520378,0.834786064693836,0.6884591128862729,51,20,2,65
Australian Credit Approval,R1_F4,1,4,DT,552,138,14,42,0.08152809995226562,0.8115942028985508,0.7469879518072289,0.9253731343283582,0.704225352112676,0.8266666666666667,0.8147992432205171,0.642702308854905,0.8147992432205171,0.7274744663273469,0.8072615569677517,0.6295984864410342,50,21,5,62
Australian Credit Approval,R1_F4,1,4,RF,552,138,14,42,1.090566199971363,0.8695652173913043,0.8181818181818182,0.9402985074626866,0.8028169014084507,0.875,0.8715577044355687,0.7478466668234028,0.9147571999159134,0.8515207570605628,0.8688426406203744,0.7431154088711374,57,14,4,63
Australian Credit Approval,R1_F4,1,4,XGB,552,138,14,42,0.4944277000031434,0.8623188405797102,0.8076923076923077,0.9402985074626866,0.7887323943661971,0.8689655172413793,0.8645154509144419,0.7350038036331852,0.9217994534370402,0.8816515481189896,0.8611874901611184,0.7555181837292411,56,15,4,63
Australian Credit Approval,R1_F5,1,5,LR,552,138,14,42,0.12612110003829002,0.8913043478260869,0.927536231884058,0.8648648648648649,0.921875,0.8951048951048951,0.8933699324324325,0.7846715615207802,0.9543918918918919,0.9653262890014012,0.8929150560368536,0.8179898648648649,59,5,10,64
Australian Credit Approval,R1_F5,1,5,SVM,552,138,14,42,0.08865630003856495,0.8768115942028986,0.9672131147540983,0.7972972972972973,0.96875,0.8740740740740741,0.8830236486486487,0.7692210342209089,0.934543918918919,0.9524674700516371,0.8788525227572352,0.7660472972972973,62,2,15,59
Australian Credit Approval,R1_F5,1,5,KNN,552,138,14,42,0.07624800002668053,0.855072463768116,0.8648648648648649,0.8648648648648649,0.84375,0.8648648648648649,0.8543074324324325,0.7086148648648649,0.9246199324324325,0.920121412932446,0.8542421961772492,0.7086148648648649,54,10,10,64
Australian Credit Approval,R1_F5,1,5,DT,552,138,14,42,0.06647299998439848,0.8188405797101449,0.8656716417910447,0.7837837837837838,0.859375,0.8226950354609929,0.8215793918918919,0.6417375862286712,0.8215793918918919,0.7944414239028126,0.8207095644557758,0.6431587837837838,55,9,16,58
Australian Credit Approval,R1_F5,1,5,RF,552,138,14,42,1.1014757999801077,0.8695652173913043,0.9375,0.8108108108108109,0.9375,0.8695652173913043,0.8741554054054055,0.7483108108108109,0.9482685810810811,0.9524092024307973,0.8718572905786447,0.7888513513513513,60,4,14,60
Australian Credit Approval,R1_F5,1,5,XGB,552,138,14,42,0.5001033999724314,0.9202898550724637,0.9565217391304348,0.8918918918918919,0.953125,0.9230769230769231,0.9225084459459459,0.8427953808926898,0.9451013513513514,0.9548840161032203,0.9220002491645322,0.856418918918919,61,3,8,66
Australian Credit Approval,R2_F1,2,1,LR,552,138,14,42,0.07168890000320971,0.8405797101449275,0.8591549295774648,0.8356164383561644,0.8461538461538461,0.8472222222222222,0.8408851422550052,0.6809098252468508,0.9064278187565858,0.9155725990132361,0.8408686361284067,0.7125395152792413,55,10,12,61
Australian Credit Approval,R2_F1,2,1,SVM,552,138,14,42,0.08015049999812618,0.8115942028985508,0.8507462686567164,0.7808219178082192,0.8461538461538461,0.8142857142857143,0.8134878819810327,0.626184460621138,0.9081138040042149,0.9252929706610269,0.8128317592925655,0.7091675447839831,55,10,16,57
