dataset,model,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Adverse_Recall_mean,Adverse_Precision_mean,F1_mean,Balanced_Accuracy_mean,MCC_mean,MCC_std,GMean_mean,KS_mean,Runtime_mean_seconds,Transformed_Features
Australian Credit Approval,DT,0.8161,0.032,0.7897,0.0443,0.8336,0.8363,0.8335,0.8161,0.6316,0.0637,0.8149,0.6321,0.0667,42.0
Australian Credit Approval,KNN,0.8969,0.0219,0.8826,0.0333,0.8742,0.839,0.8553,0.8329,0.6698,0.06,0.8313,0.6794,0.0994,42.0
Australian Credit Approval,LR,0.9274,0.0201,0.9289,0.0283,0.8552,0.8948,0.8738,0.8656,0.7275,0.0543,0.8652,0.7597,0.1066,42.0
Australian Credit Approval,RF,0.9308,0.0169,0.9269,0.0297,0.8753,0.8946,0.884,0.8735,0.7449,0.0425,0.8729,0.7789,1.1262,42.0
Australian Credit Approval,SVM,0.9242,0.0174,0.9353,0.0186,0.8091,0.9173,0.859,0.8599,0.7151,0.051,0.8579,0.761,0.0909,42.0
Australian Credit Approval,XGB,0.9316,0.0153,0.9328,0.0235,0.879,0.8894,0.8833,0.8721,0.7423,0.0594,0.8717,0.7772,0.5124,42.0
German Credit,DT,0.6164,0.0365,0.3768,0.0573,0.4746,0.4576,0.4635,0.6164,0.2308,0.0748,0.5982,0.2327,0.077,61.0
German Credit,KNN,0.7123,0.0342,0.4921,0.0614,0.341,0.5989,0.4316,0.6215,0.2953,0.0694,0.5527,0.343,0.0694,61.0
German Credit,LR,0.7838,0.031,0.608,0.0625,0.4869,0.6109,0.5389,0.6768,0.3797,0.0616,0.6476,0.4755,0.1455,61.0
German Credit,RF,0.788,0.0203,0.637,0.049,0.3741,0.6976,0.4823,0.6516,0.3777,0.0598,0.5873,0.4652,1.1454,61.0
German Credit,SVM,0.7889,0.0292,0.6398,0.0674,0.3839,0.6837,0.4869,0.6535,0.3753,0.0683,0.5929,0.4664,0.1847,61.0
German Credit,XGB,0.7904,0.0238,0.6324,0.061,0.4783,0.6401,0.5443,0.6817,0.3988,0.0757,0.6485,0.4788,0.4844,61.0
Taiwan Credit Card Default,DT,0.6137,0.0062,0.2895,0.0056,0.4142,0.3855,0.3993,0.6133,0.221,0.0119,0.58,0.2278,1.3978,29.0
Taiwan Credit Card Default,KNN,0.7039,0.0063,0.415,0.0112,0.3523,0.5461,0.4282,0.6345,0.3193,0.0138,0.5682,0.3242,1.3301,29.0
Taiwan Credit Card Default,LR,0.7242,0.0089,0.5049,0.0142,0.2417,0.7142,0.361,0.607,0.3377,0.0121,0.4847,0.3795,0.3344,29.0
Taiwan Credit Card Default,RF,0.7678,0.0071,0.5425,0.014,0.3743,0.6496,0.4749,0.6585,0.3944,0.0158,0.5939,0.4127,6.5625,29.0
Taiwan Credit Card Default,SVM,0.721,0.0097,0.509,0.0169,0.3381,0.6855,0.4527,0.647,0.3914,0.0156,0.5684,0.3647,81.26,29.0
Taiwan Credit Card Default,XGB,0.7832,0.0069,0.5605,0.0118,0.368,0.6715,0.4753,0.6584,0.4029,0.016,0.5908,0.4366,1.3745,29.0
