dataset,run_id,repeat,fold,train_records,test_records,train_adverse_rate,test_adverse_rate,shared_profile_groups
Australian Credit Approval,R1_F1,1,1,552,138,0.5471014492753623,0.5869565217391305,0
Australian Credit Approval,R1_F2,1,2,552,138,0.5471014492753623,0.5869565217391305,0
Australian Credit Approval,R1_F3,1,3,552,138,0.5489130434782609,0.5797101449275363,0
Australian Credit Approval,R1_F4,1,4,552,138,0.572463768115942,0.4855072463768116,0
Australian Credit Approval,R1_F5,1,5,552,138,0.5597826086956522,0.5362318840579711,0
Australian Credit Approval,R2_F1,2,1,552,138,0.5615942028985508,0.5289855072463768,0
Australian Credit Approval,R2_F2,2,2,552,138,0.5362318840579711,0.6304347826086957,0
Australian Credit Approval,R2_F3,2,3,552,138,0.5634057971014492,0.5217391304347826,0
Australian Credit Approval,R2_F4,2,4,552,138,0.5579710144927537,0.5434782608695652,0
Australian Credit Approval,R2_F5,2,5,552,138,0.5561594202898551,0.5507246376811594,0
Australian Credit Approval,R3_F1,3,1,552,138,0.5634057971014492,0.5217391304347826,0
Australian Credit Approval,R3_F2,3,2,552,138,0.5561594202898551,0.5507246376811594,0
Australian Credit Approval,R3_F3,3,3,552,138,0.5561594202898551,0.5507246376811594,0
Australian Credit Approval,R3_F4,3,4,552,138,0.5597826086956522,0.5362318840579711,0
Australian Credit Approval,R3_F5,3,5,552,138,0.5398550724637681,0.6159420289855072,0
Australian Credit Approval,R4_F1,4,1,552,138,0.5597826086956522,0.5362318840579711,0
Australian Credit Approval,R4_F2,4,2,552,138,0.5615942028985508,0.5289855072463768,0
Australian Credit Approval,R4_F3,4,3,552,138,0.5652173913043478,0.5144927536231884,0
Australian Credit Approval,R4_F4,4,4,552,138,0.5307971014492754,0.6521739130434783,0
Australian Credit Approval,R4_F5,4,5,552,138,0.5579710144927537,0.5434782608695652,0
Australian Credit Approval,R5_F1,5,1,552,138,0.5579710144927537,0.5434782608695652,0
Australian Credit Approval,R5_F2,5,2,552,138,0.5507246376811594,0.572463768115942,0
Australian Credit Approval,R5_F3,5,3,552,138,0.5615942028985508,0.5289855072463768,0
Australian Credit Approval,R5_F4,5,4,552,138,0.5489130434782609,0.5797101449275363,0
Australian Credit Approval,R5_F5,5,5,552,138,0.5561594202898551,0.5507246376811594,0
German Credit,R1_F1,1,1,800,200,0.29125,0.335,0
German Credit,R1_F2,1,2,800,200,0.315,0.24,0
German Credit,R1_F3,1,3,800,200,0.29625,0.315,0
German Credit,R1_F4,1,4,800,200,0.29,0.34,0
German Credit,R1_F5,1,5,800,200,0.3075,0.27,0
German Credit,R2_F1,2,1,800,200,0.29625,0.315,0
German Credit,R2_F2,2,2,800,200,0.3175,0.23,0
German Credit,R2_F3,2,3,800,200,0.29375,0.325,0
German Credit,R2_F4,2,4,800,200,0.3025,0.29,0
German Credit,R2_F5,2,5,800,200,0.29,0.34,0
German Credit,R3_F1,3,1,800,200,0.3075,0.27,0
German Credit,R3_F2,3,2,800,200,0.2925,0.33,0
German Credit,R3_F3,3,3,800,200,0.31375,0.245,0
German Credit,R3_F4,3,4,800,200,0.28875,0.345,0
German Credit,R3_F5,3,5,800,200,0.2975,0.31,0
German Credit,R4_F1,4,1,800,200,0.29875,0.305,0
German Credit,R4_F2,4,2,800,200,0.3075,0.27,0
German Credit,R4_F3,4,3,800,200,0.2975,0.31,0
German Credit,R4_F4,4,4,800,200,0.29375,0.325,0
German Credit,R4_F5,4,5,800,200,0.3025,0.29,0
German Credit,R5_F1,5,1,800,200,0.305,0.28,0
German Credit,R5_F2,5,2,800,200,0.2875,0.35,0
German Credit,R5_F3,5,3,800,200,0.30125,0.295,0
German Credit,R5_F4,5,4,800,200,0.3025,0.29,0
German Credit,R5_F5,5,5,800,200,0.30375,0.285,0
Taiwan Credit Card Default,R1_F1,1,1,24001,5999,0.22228240489979584,0.2168694782463744,0
Taiwan Credit Card Default,R1_F2,1,2,24003,5997,0.22072240969878765,0.22311155577788894,0
Taiwan Credit Card Default,R1_F3,1,3,23998,6002,0.2221018418201517,0.21759413528823726,0
Taiwan Credit Card Default,R1_F4,1,4,24000,6000,0.221125,0.2215,0
Taiwan Credit Card Default,R1_F5,1,5,23998,6002,0.21976831402616884,0.22692435854715096,0
Taiwan Credit Card Default,R2_F1,2,1,24005,5995,0.22162049573005624,0.2195162635529608,0
Taiwan Credit Card Default,R2_F2,2,2,23999,6001,0.2219675819825826,0.21813031161473087,0
Taiwan Credit Card Default,R2_F3,2,3,23998,6002,0.2213517793149429,0.22059313562145952,0
Taiwan Credit Card Default,R2_F4,2,4,23997,6003,0.22027753469183647,0.22488755622188905,0
Taiwan Credit Card Default,R2_F5,2,5,24001,5999,0.2207824673971918,0.22287047841306884,0
Taiwan Credit Card Default,R3_F1,3,1,24001,5999,0.22044914795216866,0.2242040340056676,0
Taiwan Credit Card Default,R3_F2,3,2,23998,6002,0.22201850154179514,0.21792735754748419,0
Taiwan Credit Card Default,R3_F3,3,3,24001,5999,0.22132411149535436,0.22070345057509586,0
Taiwan Credit Card Default,R3_F4,3,4,24000,6000,0.2205,0.224,0
Taiwan Credit Card Default,R3_F5,3,5,24000,6000,0.22170833333333334,0.21916666666666668,0
Taiwan Credit Card Default,R4_F1,4,1,24002,5998,0.22098158486792768,0.22207402467489162,0
Taiwan Credit Card Default,R4_F2,4,2,23998,6002,0.22239353279439952,0.21642785738087303,0
Taiwan Credit Card Default,R4_F3,4,3,24000,6000,0.22004166666666666,0.22583333333333333,0
Taiwan Credit Card Default,R4_F4,4,4,24005,5995,0.22162049573005624,0.2195162635529608,0
Taiwan Credit Card Default,R4_F5,4,5,23995,6005,0.22096270056261721,0.22214820982514571,0
Taiwan Credit Card Default,R5_F1,5,1,24001,5999,0.22215741010791218,0.21736956159359894,0
Taiwan Credit Card Default,R5_F2,5,2,24002,5998,0.2203566369469211,0.22457485828609536,0
Taiwan Credit Card Default,R5_F3,5,3,24002,5998,0.2213565536205316,0.2205735245081694,0
Taiwan Credit Card Default,R5_F4,5,4,23995,6005,0.22042092102521357,0.22431307243963364,0
Taiwan Credit Card Default,R5_F5,5,5,24000,6000,0.22170833333333334,0.21916666666666668,0
