calibration_method,bin_number,mean_predicted_probability,observed_adverse_rate,records
Uncalibrated,1,0.0405749444778688,0.034,500
Uncalibrated,2,0.08733542471564844,0.078,500
Uncalibrated,3,0.14217094301102057,0.106,500
Uncalibrated,4,0.20725641583861049,0.182,500
Uncalibrated,5,0.2798840791103968,0.18,500
Uncalibrated,6,0.37129997276300714,0.272,500
Uncalibrated,7,0.46942643275086937,0.346,500
Uncalibrated,8,0.5667402299683927,0.474,500
Uncalibrated,9,0.6750036013931425,0.586,500
Uncalibrated,10,0.7992016895449084,0.742,500
Sigmoid,1,0.03560333864405638,0.03,500
Sigmoid,2,0.07321206970087174,0.074,500
Sigmoid,3,0.11586335454117781,0.116,500
Sigmoid,4,0.16573235902023062,0.176,500
Sigmoid,5,0.22206654080157637,0.188,500
Sigmoid,6,0.295085280573722,0.268,500
Sigmoid,7,0.3771915523303922,0.354,500
Sigmoid,8,0.46471443542181884,0.47,500
Sigmoid,9,0.5701469834229382,0.58,500
Sigmoid,10,0.7082823320327979,0.744,500
Isotonic,1,0.01657267771920956,0.049523809523809526,525
Isotonic,2,0.07497790260539675,0.07058823529411765,510
Isotonic,3,0.1217836663506685,0.12738853503184713,471
Isotonic,4,0.1677015797211786,0.17519685039370078,508
Isotonic,5,0.2148376542711144,0.1927710843373494,498
Isotonic,6,0.28339388174658514,0.25557809330628806,493
Isotonic,7,0.36170553025264196,0.3438735177865613,506
Isotonic,8,0.4684680531526955,0.4990138067061144,507
Isotonic,9,0.591355087749208,0.5742574257425742,505
Isotonic,10,0.7503452600055827,0.7337526205450734,477
