dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R1_F1,1,1,Uncalibrated,15,0.39400672314414065,0.335,0.15266237117180956,0.4655013305412028,0.10438054358039386,-0.30108703845861273,1.4078141624511418,0.8517562563124228,0.7205742037480634,0.765,0.6388888888888888,0.6865671641791045,0.8045112781954887,0.6618705035971223,0.7455392211872967,0.48288404762831877,0.7432032204052827,0.5345079115699697,107,26,21,46
German Credit,R1_F1,1,1,Sigmoid,15,0.3168455127735514,0.335,0.1530858549691176,0.46367605743860424,0.08543385467054943,0.41759061723698515,1.578210620408624,0.8517562563124228,0.7205742037480634,0.79,0.7777777777777778,0.5223880597014925,0.924812030075188,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,0.5345079115699697,123,10,32,35
German Credit,R1_F1,1,1,Isotonic,15,0.31815156895819047,0.335,0.1501401902326984,0.45925133557086384,0.06783817670839463,0.3193844504586785,1.3793614946894983,0.8492873975984737,0.7062639624988061,0.785,0.75,0.5373134328358209,0.9097744360902256,0.6260869565217392,0.7235439344630232,0.49409868181780364,0.6991666649389917,0.5268768937268544,121,12,31,36
German Credit,R1_F2,1,2,Uncalibrated,15,0.3481441744626494,0.24,0.16706531986757636,0.5085739500425841,0.1174466380850727,-0.7368465422938033,0.789841854889089,0.7711074561403509,0.5323199913587472,0.75,0.4838709677419355,0.625,0.7894736842105263,0.5454545454545454,0.7072368421052632,0.3827401178155846,0.7024393586862705,0.4868421052631579,120,32,18,30
German Credit,R1_F2,1,2,Sigmoid,15,0.2970876105587931,0.24,0.15471777896245129,0.4794717034614884,0.0858628728260616,-0.4404594893221221,0.8648350707937917,0.7711074561403509,0.5323199913587472,0.785,0.5555555555555556,0.5208333333333334,0.868421052631579,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,0.4868421052631579,132,20,23,25
German Credit,R1_F2,1,2,Isotonic,15,0.29434504276478685,0.24,0.15777923601539817,0.4957300759567103,0.08825483079308014,-0.5252314038018799,0.6826343567191369,0.765282346491228,0.5025085854715948,0.795,0.6,0.4375,0.9078947368421053,0.5060240963855421,0.6726973684210527,0.3882237799894312,0.6302411819045317,0.4407894736842105,138,14,27,21
German Credit,R1_F3,1,3,Uncalibrated,15,0.35708392802748035,0.315,0.168153369181547,0.5045305490213002,0.08039561329906232,-0.2562222337773789,0.9787711332604966,0.7880894450237516,0.662621900775157,0.76,0.631578947368421,0.5714285714285714,0.8467153284671532,0.6,0.7090719499478624,0.43027971984653157,0.6955841649668708,0.4708608504228943,116,21,27,36
German Credit,R1_F3,1,3,Sigmoid,15,0.29603324524770436,0.315,0.1657203870499056,0.5007506281462617,0.06566105408026339,0.16212982831882833,1.0716851428847418,0.7880894450237516,0.662621900775157,0.76,0.6923076923076923,0.42857142857142855,0.9124087591240876,0.5294117647058824,0.670490093847758,0.39977392328872996,0.6253257753674437,0.4708608504228943,125,12,36,27
German Credit,R1_F3,1,3,Isotonic,15,0.29626961960197057,0.315,0.16616218004720687,0.49917829517807233,0.020635072302791223,0.07583611791519862,0.938449064885403,0.7867570385818561,0.5953678758068766,0.755,0.6590909090909091,0.4603174603174603,0.8905109489051095,0.5420560747663551,0.6754142046112849,0.3934021011120476,0.6402481849914856,0.4451396130228247,122,15,34,29
German Credit,R1_F4,1,4,Uncalibrated,15,0.3485819780654286,0.34,0.18353206165430913,0.5505111605674942,0.06309669114402286,-0.15875204032480691,0.7571210345056761,0.7571301247771836,0.6442694729163634,0.75,0.6607142857142857,0.5441176470588235,0.8560606060606061,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.682493723567805,0.42290552584670227,113,19,31,37
German Credit,R1_F4,1,4,Sigmoid,15,0.2893799064858766,0.34,0.183831850793669,0.5553082383714916,0.07519637317593204,0.15237797193554328,0.8048751649011942,0.7571301247771836,0.6442694729163634,0.74,0.7105263157894737,0.39705882352941174,0.9166666666666666,0.5094339622641509,0.6568627450980392,0.3788278707002149,0.6032997499048828,0.42290552584670227,121,11,41,27
German Credit,R1_F4,1,4,Isotonic,15,0.2896475141025195,0.34,0.19124482759022107,0.5728523047881185,0.06585638534247927,0.03924798617522053,0.6508458247457145,0.7413101604278074,0.5573654876474363,0.725,0.6031746031746031,0.5588235294117647,0.8106060606060606,0.5801526717557252,0.6847147950089126,0.376740701073173,0.6730421530264249,0.3694295900178253,107,25,30,38
German Credit,R1_F5,1,5,Uncalibrated,15,0.38218558311385636,0.27,0.1700411244755748,0.5039207453734463,0.11305405238194367,-0.6964487371018168,0.9485464702375109,0.7957889396245561,0.5885740627605509,0.75,0.5285714285714286,0.6851851851851852,0.773972602739726,0.5967741935483871,0.7295788939624557,0.42738036592071604,0.7282269983572972,0.4708269913749366,113,33,17,37
German Credit,R1_F5,1,5,Sigmoid,15,0.317528622347166,0.27,0.15698623431759512,0.4724970244700056,0.06923278613824371,-0.30222275941621196,0.9947880561094978,0.7957889396245561,0.5885740627605509,0.775,0.5849056603773585,0.5740740740740741,0.8493150684931506,0.5794392523364486,0.7116945712836124,0.42590861262538904,0.6982619576794687,0.4708269913749366,124,22,23,31
German Credit,R1_F5,1,5,Isotonic,15,0.31614643211165416,0.27,0.15587909994772442,0.46876449263587316,0.06925574470525203,-0.34109891934534003,0.9127431622863886,0.7974378488077117,0.5596209065612924,0.77,0.5909090909090909,0.48148148148148145,0.8767123287671232,0.5306122448979592,0.6790969051243023,0.3838864181916032,0.6497082044178557,0.4393708777270421,128,18,28,26
German Credit,R2_F1,2,1,Uncalibrated,15,0.37192931318872413,0.315,0.1603025466309868,0.4899123333695474,0.0690481822045647,-0.33111421366584887,1.0512045916602977,0.8126520681265207,0.7066453060193015,0.77,0.6307692307692307,0.6507936507936508,0.8248175182481752,0.640625,0.737805584520913,0.4716925756426876,0.7326568118425493,0.5283281195689955,113,24,22,41
German Credit,R2_F1,2,1,Sigmoid,15,0.30519394307646425,0.315,0.15556323020807675,0.48094632540201276,0.054372674366198234,0.10971643722172959,1.082865604406051,0.8126520681265207,0.7066453060193015,0.77,0.673469387755102,0.5238095238095238,0.8832116788321168,0.5892857142857143,0.7035106013208203,0.43960343555155945,0.6801725434858873,0.5283281195689955,121,16,30,33
German Credit,R2_F1,2,1,Isotonic,15,0.3036620101908094,0.315,0.1574046849099874,0.48295488359471905,0.04424148431319944,0.056599385006902626,0.9746002937888446,0.8045417680454177,0.6427778239062457,0.77,0.6545454545454545,0.5714285714285714,0.8613138686131386,0.6101694915254238,0.716371220020855,0.4501888163335722,0.7015549540080392,0.5013324064418955,118,19,27,36
German Credit,R2_F2,2,2,Uncalibrated,15,0.3520289322854387,0.23,0.1540101902069716,0.4681012049725122,0.12298978527942465,-0.7724264169870245,1.0744857402587074,0.814652738565782,0.5658233292675998,0.76,0.48333333333333334,0.6304347826086957,0.7987012987012987,0.5471698113207547,0.7145680406549972,0.39408931897634075,0.7095978294893778,0.53613777526821,123,31,17,29
