dataset,run_id,repeat,fold,calibration_method,selected_source_features,mean_predicted_probability,observed_adverse_rate,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp,reference_brier_score,reference_log_loss,reference_ece_10bin,reference_roc_auc,reference_pr_auc,reference_recall_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,delta_brier_score,delta_log_loss,delta_ece_10bin,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc
German Credit,R1_F1,1,1,Uncalibrated,15,0.39400672314414065,0.335,0.15266237117180956,0.4655013305412028,0.10438054358039386,-0.30108703845861273,1.4078141624511418,0.8517562563124228,0.7205742037480634,0.765,0.6388888888888888,0.6865671641791045,0.8045112781954887,0.6618705035971223,0.7455392211872967,0.48288404762831877,0.7432032204052827,0.5345079115699697,107,26,21,46,0.15266237117180956,0.4655013305412028,0.10438054358039386,0.8517562563124228,0.7205742037480634,0.6865671641791045,0.6618705035971223,0.7455392211872967,0.48288404762831877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F1,1,1,Sigmoid,15,0.3168455127735514,0.335,0.1530858549691176,0.46367605743860424,0.08543385467054943,0.41759061723698515,1.578210620408624,0.8517562563124228,0.7205742037480634,0.79,0.7777777777777778,0.5223880597014925,0.924812030075188,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,0.5345079115699697,123,10,32,35,0.15266237117180956,0.4655013305412028,0.10438054358039386,0.8517562563124228,0.7205742037480634,0.6865671641791045,0.6618705035971223,0.7455392211872967,0.48288404762831877,0.0004234837973080552,-0.001825273102598557,-0.01894668890984444,0.0,0.0,-0.16417910447761197,-0.036870503597122295,-0.021939176298956475,0.022583174082116353
German Credit,R1_F1,1,1,Isotonic,15,0.31815156895819047,0.335,0.1501401902326984,0.45925133557086384,0.06783817670839463,0.3193844504586785,1.3793614946894983,0.8492873975984737,0.7062639624988061,0.785,0.75,0.5373134328358209,0.9097744360902256,0.6260869565217392,0.7235439344630232,0.49409868181780364,0.6991666649389917,0.5268768937268544,121,12,31,36,0.15266237117180956,0.4655013305412028,0.10438054358039386,0.8517562563124228,0.7205742037480634,0.6865671641791045,0.6618705035971223,0.7455392211872967,0.48288404762831877,-0.0025221809391111627,-0.006249994970338957,-0.03654236687199923,-0.0024688587139490847,-0.014310241249257283,-0.14925373134328357,-0.035783547075383115,-0.021995286724273422,0.011214634189484873
German Credit,R1_F2,1,2,Uncalibrated,15,0.3481441744626494,0.24,0.16706531986757636,0.5085739500425841,0.1174466380850727,-0.7368465422938033,0.789841854889089,0.7711074561403509,0.5323199913587472,0.75,0.4838709677419355,0.625,0.7894736842105263,0.5454545454545454,0.7072368421052632,0.3827401178155846,0.7024393586862705,0.4868421052631579,120,32,18,30,0.16706531986757636,0.5085739500425841,0.1174466380850727,0.7711074561403509,0.5323199913587472,0.625,0.5454545454545454,0.7072368421052632,0.3827401178155846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F2,1,2,Sigmoid,15,0.2970876105587931,0.24,0.15471777896245129,0.4794717034614884,0.0858628728260616,-0.4404594893221221,0.8648350707937917,0.7711074561403509,0.5323199913587472,0.785,0.5555555555555556,0.5208333333333334,0.868421052631579,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,0.4868421052631579,132,20,23,25,0.16706531986757636,0.5085739500425841,0.1174466380850727,0.7711074561403509,0.5323199913587472,0.625,0.5454545454545454,0.7072368421052632,0.3827401178155846,-0.012347540905125076,-0.029102246581095725,-0.031583765259011104,0.0,0.0,-0.10416666666666663,-0.00782013685239491,-0.012609649122807043,0.01537055575047136
German Credit,R1_F2,1,2,Isotonic,15,0.29434504276478685,0.24,0.15777923601539817,0.4957300759567103,0.08825483079308014,-0.5252314038018799,0.6826343567191369,0.765282346491228,0.5025085854715948,0.795,0.6,0.4375,0.9078947368421053,0.5060240963855421,0.6726973684210527,0.3882237799894312,0.6302411819045317,0.4407894736842105,138,14,27,21,0.16706531986757636,0.5085739500425841,0.1174466380850727,0.7711074561403509,0.5323199913587472,0.625,0.5454545454545454,0.7072368421052632,0.3827401178155846,-0.00928608385217819,-0.012843874085873785,-0.02919180729199257,-0.005825109649122973,-0.029811405887152365,-0.1875,-0.03943044906900328,-0.03453947368421051,0.005483662173846604
German Credit,R1_F3,1,3,Uncalibrated,15,0.35708392802748035,0.315,0.168153369181547,0.5045305490213002,0.08039561329906232,-0.2562222337773789,0.9787711332604966,0.7880894450237516,0.662621900775157,0.76,0.631578947368421,0.5714285714285714,0.8467153284671532,0.6,0.7090719499478624,0.43027971984653157,0.6955841649668708,0.4708608504228943,116,21,27,36,0.168153369181547,0.5045305490213002,0.08039561329906232,0.7880894450237516,0.662621900775157,0.5714285714285714,0.6,0.7090719499478624,0.43027971984653157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F3,1,3,Sigmoid,15,0.29603324524770436,0.315,0.1657203870499056,0.5007506281462617,0.06566105408026339,0.16212982831882833,1.0716851428847418,0.7880894450237516,0.662621900775157,0.76,0.6923076923076923,0.42857142857142855,0.9124087591240876,0.5294117647058824,0.670490093847758,0.39977392328872996,0.6253257753674437,0.4708608504228943,125,12,36,27,0.168153369181547,0.5045305490213002,0.08039561329906232,0.7880894450237516,0.662621900775157,0.5714285714285714,0.6,0.7090719499478624,0.43027971984653157,-0.0024329821316413924,-0.003779920875038534,-0.014734559218798932,0.0,0.0,-0.14285714285714285,-0.07058823529411762,-0.03858185610010434,-0.030505796557801612
German Credit,R1_F3,1,3,Isotonic,15,0.29626961960197057,0.315,0.16616218004720687,0.49917829517807233,0.020635072302791223,0.07583611791519862,0.938449064885403,0.7867570385818561,0.5953678758068766,0.755,0.6590909090909091,0.4603174603174603,0.8905109489051095,0.5420560747663551,0.6754142046112849,0.3934021011120476,0.6402481849914856,0.4451396130228247,122,15,34,29,0.168153369181547,0.5045305490213002,0.08039561329906232,0.7880894450237516,0.662621900775157,0.5714285714285714,0.6,0.7090719499478624,0.43027971984653157,-0.0019911891343401267,-0.005352253843227905,-0.059760540996271094,-0.0013324064418954729,-0.06725402496828048,-0.1111111111111111,-0.05794392523364489,-0.033657745336577505,-0.036877618734483975
German Credit,R1_F4,1,4,Uncalibrated,15,0.3485819780654286,0.34,0.18353206165430913,0.5505111605674942,0.06309669114402286,-0.15875204032480691,0.7571210345056761,0.7571301247771836,0.6442694729163634,0.75,0.6607142857142857,0.5441176470588235,0.8560606060606061,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.682493723567805,0.42290552584670227,113,19,31,37,0.18353206165430913,0.5505111605674942,0.06309669114402286,0.7571301247771836,0.6442694729163634,0.5441176470588235,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F4,1,4,Sigmoid,15,0.2893799064858766,0.34,0.183831850793669,0.5553082383714916,0.07519637317593204,0.15237797193554328,0.8048751649011942,0.7571301247771836,0.6442694729163634,0.74,0.7105263157894737,0.39705882352941174,0.9166666666666666,0.5094339622641509,0.6568627450980392,0.3788278707002149,0.6032997499048828,0.42290552584670227,121,11,41,27,0.18353206165430913,0.5505111605674942,0.06309669114402286,0.7571301247771836,0.6442694729163634,0.5441176470588235,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.0002997891393598795,0.004797077803997407,0.012099682031909184,0.0,0.0,-0.14705882352941174,-0.08734023128423618,-0.04322638146167557,-0.04337350734307227
German Credit,R1_F4,1,4,Isotonic,15,0.2896475141025195,0.34,0.19124482759022107,0.5728523047881185,0.06585638534247927,0.03924798617522053,0.6508458247457145,0.7413101604278074,0.5573654876474363,0.725,0.6031746031746031,0.5588235294117647,0.8106060606060606,0.5801526717557252,0.6847147950089126,0.376740701073173,0.6730421530264249,0.3694295900178253,107,25,30,38,0.18353206165430913,0.5505111605674942,0.06309669114402286,0.7571301247771836,0.6442694729163634,0.5441176470588235,0.5967741935483871,0.7000891265597148,0.42220137804328717,0.007712765935911942,0.022341144220624387,0.002759694198456411,-0.01581996434937616,-0.08690398526892706,0.014705882352941235,-0.016621521792661964,-0.015374331550802145,-0.04546067697011419
German Credit,R1_F5,1,5,Uncalibrated,15,0.38218558311385636,0.27,0.1700411244755748,0.5039207453734463,0.11305405238194367,-0.6964487371018168,0.9485464702375109,0.7957889396245561,0.5885740627605509,0.75,0.5285714285714286,0.6851851851851852,0.773972602739726,0.5967741935483871,0.7295788939624557,0.42738036592071604,0.7282269983572972,0.4708269913749366,113,33,17,37,0.1700411244755748,0.5039207453734463,0.11305405238194367,0.7957889396245561,0.5885740627605509,0.6851851851851852,0.5967741935483871,0.7295788939624557,0.42738036592071604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F5,1,5,Sigmoid,15,0.317528622347166,0.27,0.15698623431759512,0.4724970244700056,0.06923278613824371,-0.30222275941621196,0.9947880561094978,0.7957889396245561,0.5885740627605509,0.775,0.5849056603773585,0.5740740740740741,0.8493150684931506,0.5794392523364486,0.7116945712836124,0.42590861262538904,0.6982619576794687,0.4708269913749366,124,22,23,31,0.1700411244755748,0.5039207453734463,0.11305405238194367,0.7957889396245561,0.5885740627605509,0.6851851851851852,0.5967741935483871,0.7295788939624557,0.42738036592071604,-0.01305489015797967,-0.031423720903440755,-0.04382126624369996,0.0,0.0,-0.11111111111111116,-0.01733494121193857,-0.017884322678843323,-0.0014717532953270052
German Credit,R1_F5,1,5,Isotonic,15,0.31614643211165416,0.27,0.15587909994772442,0.46876449263587316,0.06925574470525203,-0.34109891934534003,0.9127431622863886,0.7974378488077117,0.5596209065612924,0.77,0.5909090909090909,0.48148148148148145,0.8767123287671232,0.5306122448979592,0.6790969051243023,0.3838864181916032,0.6497082044178557,0.4393708777270421,128,18,28,26,0.1700411244755748,0.5039207453734463,0.11305405238194367,0.7957889396245561,0.5885740627605509,0.6851851851851852,0.5967741935483871,0.7295788939624557,0.42738036592071604,-0.01416202452785037,-0.03515625273757317,-0.04379830767669164,0.0016489091831556335,-0.028953156199258534,-0.20370370370370378,-0.0661619486504279,-0.05048198883815336,-0.04349394772911286
German Credit,R2_F1,2,1,Uncalibrated,15,0.37192931318872413,0.315,0.1603025466309868,0.4899123333695474,0.0690481822045647,-0.33111421366584887,1.0512045916602977,0.8126520681265207,0.7066453060193015,0.77,0.6307692307692307,0.6507936507936508,0.8248175182481752,0.640625,0.737805584520913,0.4716925756426876,0.7326568118425493,0.5283281195689955,113,24,22,41,0.1603025466309868,0.4899123333695474,0.0690481822045647,0.8126520681265207,0.7066453060193015,0.6507936507936508,0.640625,0.737805584520913,0.4716925756426876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R2_F1,2,1,Sigmoid,15,0.30519394307646425,0.315,0.15556323020807675,0.48094632540201276,0.054372674366198234,0.10971643722172959,1.082865604406051,0.8126520681265207,0.7066453060193015,0.77,0.673469387755102,0.5238095238095238,0.8832116788321168,0.5892857142857143,0.7035106013208203,0.43960343555155945,0.6801725434858873,0.5283281195689955,121,16,30,33,0.1603025466309868,0.4899123333695474,0.0690481822045647,0.8126520681265207,0.7066453060193015,0.6507936507936508,0.640625,0.737805584520913,0.4716925756426876,-0.0047393164229100615,-0.008966007967534662,-0.014675507838366464,0.0,0.0,-0.12698412698412698,-0.0513392857142857,-0.03429498320009272,-0.03208914009112812
