dataset,run_id,repeat,fold,selected_source_features,selected_features,feature_selection_runtime_seconds
Australian Credit Approval,R1_F1,1,1,11,a8;a9;a7;a10;a4;a3;a14;a5;a11;a2;a6,0.02175610000267625
Australian Credit Approval,R1_F2,1,2,11,a8;a9;a10;a7;a14;a4;a3;a2;a5;a6;a12,0.0381385000073351
Australian Credit Approval,R1_F3,1,3,11,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6,0.037980400025844574
Australian Credit Approval,R1_F4,1,4,11,a8;a9;a10;a7;a4;a3;a14;a5;a12;a2;a6,0.03819240001030266
Australian Credit Approval,R1_F5,1,5,11,a8;a9;a10;a7;a14;a3;a5;a4;a2;a12;a6,0.03821389999939129
Australian Credit Approval,R2_F1,2,1,11,a8;a9;a10;a7;a4;a3;a14;a5;a2;a12;a6,0.037896000023465604
Australian Credit Approval,R2_F2,2,2,11,a8;a9;a10;a7;a4;a14;a3;a6;a5;a2;a12,0.03823109995573759
Australian Credit Approval,R2_F3,2,3,11,a8;a9;a7;a10;a14;a4;a3;a5;a2;a12;a6,0.03903310000896454
Australian Credit Approval,R2_F4,2,4,11,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6,0.0386902000172995
Australian Credit Approval,R2_F5,2,5,11,a8;a9;a10;a7;a14;a3;a4;a5;a2;a6;a13,0.03796739998506382
Australian Credit Approval,R3_F1,3,1,11,a8;a9;a10;a7;a3;a4;a14;a2;a5;a6;a12,0.039082399976905435
Australian Credit Approval,R3_F2,3,2,11,a8;a9;a10;a7;a14;a3;a4;a5;a2;a12;a6,0.03944719996070489
Australian Credit Approval,R3_F3,3,3,11,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6,0.03960289998212829
Australian Credit Approval,R3_F4,3,4,11,a8;a9;a10;a7;a14;a4;a3;a5;a2;a6;a12,0.03924610000103712
Australian Credit Approval,R3_F5,3,5,11,a8;a9;a10;a7;a14;a4;a3;a5;a2;a12;a6,0.03960620000725612
Australian Credit Approval,R4_F1,4,1,11,a8;a9;a10;a7;a4;a14;a3;a5;a2;a11;a6,0.039670799975283444
Australian Credit Approval,R4_F2,4,2,11,a8;a9;a10;a7;a14;a4;a3;a5;a2;a6;a12,0.03950400004396215
Australian Credit Approval,R4_F3,4,3,11,a8;a9;a10;a7;a14;a3;a4;a2;a5;a12;a6,0.04101380001520738
Australian Credit Approval,R4_F4,4,4,11,a8;a9;a10;a7;a3;a4;a14;a5;a2;a12;a6,0.043318499985616654
Australian Credit Approval,R4_F5,4,5,11,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6,0.04108460003044456
Australian Credit Approval,R5_F1,5,1,11,a8;a9;a7;a10;a4;a3;a14;a2;a5;a6;a12,0.04198679997352883
Australian Credit Approval,R5_F2,5,2,11,a8;a9;a10;a7;a14;a4;a3;a5;a2;a12;a6,0.04152819997398183
