dataset,feature_regime,weight_strategy,Delta_ROC_AUC,Delta_PR_AUC,Delta_Recall,Delta_Precision,Delta_F1,Delta_Balanced_Accuracy,Delta_MCC,Delta_Cost_2_1,Delta_Cost_5_1,Delta_Cost_10_1
Australian Credit Approval,AllFeatures,Balanced,0.0006887482366305786,0.00023763648693148287,-0.0011213439077483,0.004064921755064285,0.0015096506737242432,0.0022601307605121866,0.004088836025676197,-0.14492753623188456,0.028985507246377152,0.31884057971014385
Australian Credit Approval,AllFeatures,Cost2,-0.0005347531209215628,0.00033263947878469757,0.01562659647223164,-0.01688087863285019,-0.0006662979278072578,-0.005755174326180046,-0.007695256576193952,-0.5507246376811598,-3.159420289855072,-7.507246376811594
Australian Credit Approval,AllFeatures,Cost5,-0.0012044533635662536,-0.0005788602595223446,0.04131709202636121,-0.038942892394826,-7.295752800230204e-05,-0.013078276146198463,-0.014337694442915461,-1.6231884057971018,-8.492753623188404,-19.942028985507246
Australian Credit Approval,AllFeatures,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,FrozenChi2Top75,Balanced,-0.005403298384378235,-0.0030450401630897827,-0.017736720203147982,-0.00506852061084635,-0.011372173109898518,-0.011848548509801948,-0.023941713905282686,2.115942028985507,4.985507246376812,9.768115942028984
Australian Credit Approval,FrozenChi2Top75,Cost2,-0.0062234365883686,-0.0021248516886601234,0.0050044623197407654,-0.024683126930956725,-0.009995016268277132,-0.016745246181183872,-0.02920293667359057,1.0724637681159417,0.20289855072463817,-1.2463768115942027
Australian Credit Approval,FrozenChi2Top75,Cost5,-0.007263605023576578,-0.003022445919207697,0.028858557114422808,-0.05116285400574342,-0.012750417359268068,-0.027515513390471848,-0.04304480092511681,0.5217391304347825,-4.26086956521739,-12.231884057971012
Australian Credit Approval,FrozenChi2Top75,Unweighted,-0.005627711822329223,-0.002337714246720197,-0.007911832935902141,-0.012381671887853272,-0.009969798980859906,-0.012620289511695365,-0.02459156730294888,1.5942028985507244,2.8985507246376825,5.0724637681159415
German Credit,AllFeatures,Balanced,-0.00028095047642628045,-0.0003586196821096288,0.13039756291871724,-0.07030441876236516,0.04206365637638407,0.024037761857146206,0.0055230373378163415,-2.12,-13.94,-33.64
German Credit,AllFeatures,Cost2,-0.003962081249345273,-0.004606045739653551,0.22785323092686152,-0.10748958608413407,0.06082128393986428,0.03847167786469155,0.013186960080419537,-3.0,-23.34,-57.24
German Credit,AllFeatures,Cost5,-0.006368396070008866,-0.008884817739072933,0.2899033594444782,-0.15746660423951797,0.046755114447630815,0.02608024372429131,-0.017993143021427408,-0.66,-26.58,-69.78
German Credit,AllFeatures,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,FrozenChi2Top75,Balanced,-0.0030941983946044306,-0.0130541736509591,0.16291300409549458,-0.07473190862732328,0.053744333414866806,0.033306690017159316,0.01712308833326963,-2.98,-17.56,-41.86
German Credit,FrozenChi2Top75,Cost2,-0.006823487860558908,-0.018292825539290333,0.24042009210293588,-0.12039483288782876,0.05645346091370078,0.03553502044908899,0.005127696291905059,-2.46,-23.94,-59.74
German Credit,FrozenChi2Top75,Cost5,-0.009149790956791382,-0.01762766363065532,0.30553425876333423,-0.16546680009250272,0.045082437701831665,0.024161696408798526,-0.021608729601969738,-0.24,-27.6,-73.2
German Credit,FrozenChi2Top75,Unweighted,-0.0019351707445557898,-0.010082566867512553,0.012238105801453056,-0.00719835965001562,0.0032453373548123454,0.002277124992598201,-9.426677360323987e-05,-0.08,-1.04,-2.64
Taiwan Credit Card Default,AllFeatures,Balanced,-0.00025436944354976897,-0.0004300282556853796,0.26093515762702685,-0.20026564064891234,0.06337354035555759,0.055793198694885346,-0.013042095865198193,0.08597522040923238,-17.231897820178894,-46.09501955449244
Taiwan Credit Card Default,AllFeatures,Cost2,-0.0011065043165595157,-0.0013779188624421712,0.45593061957636716,-0.33695867964287485,0.0005373784695658035,0.020822276653424465,-0.10412997805113157,12.093959741294967,-18.161961573075576,-68.58849709702649
Taiwan Credit Card Default,AllFeatures,Cost5,-0.0033520340205799525,-0.0036158756770553334,0.5852252126263122,-0.41696992187686044,-0.07352635104796333,-0.07820657808787906,-0.22633502455339435,31.869388717956387,-6.966570052284648,-71.69316800268638
Taiwan Credit Card Default,AllFeatures,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan Credit Card Default,FrozenChi2Top75,Balanced,-0.0006824680602412014,-0.0012832764669501494,0.26190383652228616,-0.2008102223854526,0.06334976840282171,0.05588891735979415,-0.013162800088998412,0.10396556034513708,-17.277884174016133,-46.24763373128492
Taiwan Credit Card Default,FrozenChi2Top75,Cost2,-0.0016068770689422296,-0.002501904946515694,0.4606169717076313,-0.34021090122371705,-0.0019905864921141146,0.018410339215452213,-0.10766688660073383,12.62803304538367,-17.937823652515878,-68.88091814901513
Taiwan Credit Card Default,FrozenChi2Top75,Cost5,-0.0032747237916303717,-0.003753902477991802,0.5883469258418899,-0.41773287278048893,-0.07420078919270362,-0.07955143750578257,-0.22716110999642317,32.18340118628281,-6.860556949612334,-71.93382050943757
Taiwan Credit Card Default,FrozenChi2Top75,Unweighted,-0.0006165152096423165,-0.00041997538713226754,-0.0009648867653751791,0.0033906361191760404,5.13849922875087e-05,-2.4519359675401198e-05,0.0012741690476811552,-0.028669565341455153,0.03531376597335907,0.14195265149804415
