dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,AllFeatures,Unweighted,1.0,14,42,0.0,0.2760668999981135,0.8405797101449275,0.9041095890410958,0.8148148148148148,0.8771929824561403,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.9287416071041802,0.9469172564880869,0.8454287891696468,0.7322936972059779,50,7,15,66,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898
Australian Credit Approval,R1_F1,1,1,AllFeatures,Balanced,0.8278145695364238,14,42,0.0,0.2568727000034414,0.8478260869565217,0.9166666666666666,0.8148148148148148,0.8947368421052632,0.8627450980392157,0.854775828460039,0.6994001801312533,0.9315572882824344,0.9483142081425484,0.8538412231252319,0.7270955165692008,51,6,15,66,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R1_F1,1,1,AllFeatures,Cost2,1.6556291390728477,14,42,0.0,0.25937009998597205,0.8188405797101449,0.868421052631579,0.8148148148148148,0.8245614035087719,0.8407643312101911,0.8196881091617934,0.6328980753553142,0.9285250162443144,0.946087835710327,0.8196736224275146,0.737491877842755,47,10,15,66,18.115942028985508,28.985507246376812,61.594202898550726,115.94202898550725
Australian Credit Approval,R1_F1,1,1,AllFeatures,Cost5,4.139072847682119,14,42,0.0,0.2550331999664195,0.8405797101449275,0.8641975308641975,0.8641975308641975,0.8070175438596491,0.8641975308641975,0.8356075373619233,0.6712150747238467,0.9252761533463288,0.9459496140713641,0.8351182962716108,0.7270955165692008,46,11,11,70,15.942028985507246,23.91304347826087,47.82608695652174,87.68115942028986
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Unweighted,1.0,11,36,0.02175610000267625,0.22737280000001192,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9189950184102231,0.9503117771225328,0.8602853992490769,0.7322936972059779,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Balanced,0.8278145695364238,11,36,0.02175610000267625,0.23205260001122952,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9166125189517003,0.9490030610700749,0.8602853992490769,0.7218973359324237,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Cost2,1.6556291390728477,11,36,0.02175610000267625,0.25230290001491085,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9187784275503574,0.9509582723912499,0.8602853992490769,0.7342430149447693,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Cost5,4.139072847682119,11,36,0.02175610000267625,0.23870869999518618,0.8260869565217391,0.8607594936708861,0.8395061728395061,0.8070175438596491,0.85,0.8232618583495777,0.6434648776556792,0.9161793372319689,0.9487755137967742,0.8231015791868901,0.7218973359324237,46,11,13,68,17.391304347826086,26.81159420289855,55.072463768115945,102.17391304347827
Australian Credit Approval,R1_F2,1,2,AllFeatures,Unweighted,1.0,14,42,0.0,0.25826400000369176,0.855072463768116,0.9066666666666666,0.8395061728395061,0.8771929824561403,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.9369720597790773,0.9471047518813246,0.8581427174680365,0.7569850552306693,50,7,13,68,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058
Australian Credit Approval,R1_F2,1,2,AllFeatures,Balanced,0.8278145695364238,14,42,0.0,0.25262590002967045,0.8623188405797102,0.918918918918919,0.8395061728395061,0.8947368421052632,0.8774193548387097,0.8671215074723846,0.7249597817163093,0.9378384232185402,0.9492987272455853,0.8666816612887889,0.7569850552306693,51,6,13,68,13.768115942028986,23.18840579710145,51.44927536231884,98.55072463768116
Australian Credit Approval,R1_F2,1,2,AllFeatures,Cost2,1.6556291390728477,14,42,0.0,0.2587370000546798,0.8333333333333334,0.8625,0.8518518518518519,0.8070175438596491,0.8571428571428571,0.8294346978557505,0.657234393342203,0.9354559237600173,0.9453706951730466,0.8291317080016751,0.7641325536062378,46,11,12,69,16.666666666666668,25.36231884057971,51.44927536231884,94.92753623188406
