dataset,feature_regime,weight_strategy,Scale_Pos_Weight_Mean,Source_Features,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC,GMean,KS,Cost_1_1,Cost_2_1,Cost_5_1,Cost_10_1,Runtime_Seconds
Australian Credit Approval,AllFeatures,Balanced,0.8020810353667197,14.0,0.9322563974609318,0.9330743075064092,0.8778362330749343,0.8934179440582531,0.8848455776637636,0.8743900652511329,0.7464202811006075,0.8739958947016521,0.7776863666644968,12.608695652173912,19.42028985507246,39.85507246376812,73.91304347826087,0.27069253200432286
Australian Credit Approval,AllFeatures,Cost2,1.6041620707334394,14.0,0.9310328961033797,0.9331693104982623,0.8945841734549143,0.8724721436703387,0.8826696290622321,0.8663747601644407,0.7346361884987374,0.865511428440758,0.7762783031708677,13.130434782608695,19.014492753623188,36.666666666666664,66.08695652173913,0.2757198560028337
Australian Credit Approval,AllFeatures,Cost5,4.010405176833598,14.0,0.9303631958607349,0.9322578107599553,0.9202746690090439,0.8504101299083628,0.883262969462037,0.8590516583444223,0.7279937506320158,0.8563776455425826,0.7745930384167887,13.478260869565217,17.942028985507246,31.333333333333336,53.65217391304348,0.2785811599949375
Australian Credit Approval,AllFeatures,Unweighted,1.0,14.0,0.9315676492243011,0.9328366710194778,0.8789575769826825,0.8893530223031888,0.8833359269900393,0.8721299344906208,0.7423314450749313,0.8716798921744342,0.7771970589581915,12.81159420289855,19.565217391304348,39.82608695652174,73.59420289855072,0.2743576279934496
Australian Credit Approval,FrozenChi2Top75,Balanced,0.8020810353667197,11.0,0.926164350839923,0.9297916308563878,0.8612208567795346,0.8842845016923424,0.8719637538801408,0.8602813859808188,0.7183897311696487,0.8598743365010142,0.7623151637714,13.971014492753623,21.681159420289855,44.81159420289855,83.36231884057972,0.24977322400547564
Australian Credit Approval,FrozenChi2Top75,Cost2,1.6041620707334394,11.0,0.9253442126359326,0.9307118193308176,0.8839620393024233,0.864669895372232,0.8733409107217622,0.8553846883094368,0.7131285084013408,0.8542841156494396,0.7607530783130063,14.17391304347826,20.63768115942029,40.028985507246375,72.34782608695652,0.2561355760018341
Australian Credit Approval,FrozenChi2Top75,Cost5,4.010405176833598,11.0,0.9243040442007247,0.92981422510027,0.9078161340971055,0.8381901682974454,0.8705855096307712,0.844614421100149,0.6992866441498146,0.8415071806870869,0.7526051267434787,14.927536231884057,20.08695652173913,35.56521739130435,61.36231884057971,0.25854456399567427
Australian Credit Approval,FrozenChi2Top75,Unweighted,1.0,11.0,0.9259399374019719,0.9304989567727574,0.8710457440467805,0.8769713504153356,0.8733661280091795,0.8595096449789255,0.7177398777719824,0.8590704761274222,0.7605968467402472,13.971014492753623,21.15942028985507,42.72463768115942,78.66666666666667,0.25297081200173127
German Credit,AllFeatures,Balanced,2.335804633739304,20.0,0.7900878596849281,0.6320070865962305,0.6087355982812561,0.5698413408513531,0.586397669305311,0.7057138945174386,0.4043444372046768,0.6977143454747292,0.4777944904131936,25.5,37.18,72.22,130.62,0.2876795639982447
German Credit,AllFeatures,Cost2,4.671609267478608,20.0,0.786406728912009,0.6277596605386865,0.7061912662894003,0.5326561735295843,0.6051552968687911,0.7201478105249839,0.41200835994727997,0.7192239564325117,0.47490243978773733,27.46,36.3,62.82,107.02,0.2919165839930065
