dataset,column,value,count,percentage
Australian Credit Approval,a1,1.0,468,67.8261
Australian Credit Approval,a1,0.0,222,32.1739
Australian Credit Approval,a4,2.0,525,76.087
Australian Credit Approval,a4,1.0,163,23.6232
Australian Credit Approval,a4,3.0,2,0.2899
Australian Credit Approval,a5,8.0,146,21.1594
Australian Credit Approval,a5,11.0,78,11.3043
Australian Credit Approval,a5,9.0,64,9.2754
Australian Credit Approval,a5,3.0,59,8.5507
Australian Credit Approval,a5,6.0,54,7.8261
Australian Credit Approval,a5,1.0,53,7.6812
Australian Credit Approval,a5,4.0,51,7.3913
Australian Credit Approval,a5,13.0,41,5.942
Australian Credit Approval,a5,14.0,38,5.5072
Australian Credit Approval,a5,7.0,38,5.5072
Australian Credit Approval,a5,2.0,30,4.3478
Australian Credit Approval,a5,10.0,25,3.6232
Australian Credit Approval,a5,5.0,10,1.4493
Australian Credit Approval,a5,12.0,3,0.4348
Australian Credit Approval,a6,4.0,408,59.1304
Australian Credit Approval,a6,8.0,138,20.0
Australian Credit Approval,a6,5.0,59,8.5507
Australian Credit Approval,a6,1.0,57,8.2609
Australian Credit Approval,a6,3.0,8,1.1594
Australian Credit Approval,a6,9.0,8,1.1594
Australian Credit Approval,a6,2.0,6,0.8696
Australian Credit Approval,a6,7.0,6,0.8696
Australian Credit Approval,a8,1.0,361,52.3188
Australian Credit Approval,a8,0.0,329,47.6812
Australian Credit Approval,a9,0.0,395,57.2464
Australian Credit Approval,a9,1.0,295,42.7536
Australian Credit Approval,a11,0.0,374,54.2029
Australian Credit Approval,a11,1.0,316,45.7971
Australian Credit Approval,a12,2.0,625,90.5797
Australian Credit Approval,a12,1.0,57,8.2609
Australian Credit Approval,a12,3.0,8,1.1594
