dataset,column,missing_values,missing_percentage
Australian Credit Approval,a1,0,0.0
Australian Credit Approval,a2,0,0.0
Australian Credit Approval,a3,0,0.0
Australian Credit Approval,a4,0,0.0
Australian Credit Approval,a5,0,0.0
Australian Credit Approval,a6,0,0.0
Australian Credit Approval,a7,0,0.0
Australian Credit Approval,a8,0,0.0
Australian Credit Approval,a9,0,0.0
Australian Credit Approval,a10,0,0.0
Australian Credit Approval,a11,0,0.0
Australian Credit Approval,a12,0,0.0
Australian Credit Approval,a13,0,0.0
Australian Credit Approval,a14,0,0.0
Australian Credit Approval,class,0,0.0
Australian Credit Approval,adverse_target,0,0.0
