dataset,column,role,pandas_dtype,unique_values,missing_values,missing_percentage
Australian Credit Approval,a1,categorical,int64,2,0,0.0
Australian Credit Approval,a2,numerical,float64,350,0,0.0
Australian Credit Approval,a3,numerical,float64,215,0,0.0
Australian Credit Approval,a4,categorical,int64,3,0,0.0
Australian Credit Approval,a5,categorical,int64,14,0,0.0
Australian Credit Approval,a6,categorical,int64,8,0,0.0
Australian Credit Approval,a7,numerical,float64,132,0,0.0
Australian Credit Approval,a8,categorical,int64,2,0,0.0
Australian Credit Approval,a9,categorical,int64,2,0,0.0
Australian Credit Approval,a10,numerical,int64,23,0,0.0
Australian Credit Approval,a11,categorical,int64,2,0,0.0
Australian Credit Approval,a12,categorical,int64,3,0,0.0
Australian Credit Approval,a13,numerical,int64,171,0,0.0
Australian Credit Approval,a14,numerical,int64,240,0,0.0
Australian Credit Approval,class,original_target,int32,2,0,0.0
Australian Credit Approval,adverse_target,unified_target,int32,2,0,0.0
German Credit,status,categorical,object,4,0,0.0
German Credit,duration,numerical,int64,33,0,0.0
German Credit,credit_history,categorical,object,5,0,0.0
German Credit,purpose,categorical,object,10,0,0.0
German Credit,amount,numerical,int64,921,0,0.0
German Credit,savings,categorical,object,5,0,0.0
German Credit,employment_duration,categorical,object,5,0,0.0
German Credit,installment_rate,numerical,int64,4,0,0.0
German Credit,personal_status_sex,categorical,object,4,0,0.0
German Credit,other_debtors,categorical,object,3,0,0.0
German Credit,present_residence,numerical,int64,4,0,0.0
German Credit,property,categorical,object,4,0,0.0
German Credit,age,numerical,int64,53,0,0.0
German Credit,other_installment_plans,categorical,object,3,0,0.0
German Credit,housing,categorical,object,3,0,0.0
German Credit,number_credits,numerical,int64,4,0,0.0
German Credit,job,categorical,object,4,0,0.0
German Credit,people_liable,numerical,int64,2,0,0.0
German Credit,telephone,categorical,object,2,0,0.0
German Credit,foreign_worker,categorical,object,2,0,0.0
German Credit,credit_risk,original_target,int32,2,0,0.0
German Credit,adverse_target,unified_target,int32,2,0,0.0
Taiwan Credit Card Default,id,identifier,int64,30000,0,0.0
Taiwan Credit Card Default,limit_bal,numerical,int64,81,0,0.0
Taiwan Credit Card Default,sex,categorical,int64,2,0,0.0
Taiwan Credit Card Default,education,categorical,int64,7,0,0.0
Taiwan Credit Card Default,marriage,categorical,int64,4,0,0.0
Taiwan Credit Card Default,age,numerical,int64,56,0,0.0
Taiwan Credit Card Default,pay_0,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_2,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_3,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_4,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_5,ordinal,int64,10,0,0.0
Taiwan Credit Card Default,pay_6,ordinal,int64,10,0,0.0
Taiwan Credit Card Default,bill_amt1,numerical,int64,22723,0,0.0
Taiwan Credit Card Default,bill_amt2,numerical,int64,22346,0,0.0
Taiwan Credit Card Default,bill_amt3,numerical,int64,22026,0,0.0
Taiwan Credit Card Default,bill_amt4,numerical,int64,21548,0,0.0
Taiwan Credit Card Default,bill_amt5,numerical,int64,21010,0,0.0
Taiwan Credit Card Default,bill_amt6,numerical,int64,20604,0,0.0
Taiwan Credit Card Default,pay_amt1,numerical,int64,7943,0,0.0
Taiwan Credit Card Default,pay_amt2,numerical,int64,7899,0,0.0
Taiwan Credit Card Default,pay_amt3,numerical,int64,7518,0,0.0
Taiwan Credit Card Default,pay_amt4,numerical,int64,6937,0,0.0
Taiwan Credit Card Default,pay_amt5,numerical,int64,6897,0,0.0
Taiwan Credit Card Default,pay_amt6,numerical,int64,6939,0,0.0
Taiwan Credit Card Default,default_payment_next_month,original_target,int32,2,0,0.0
Taiwan Credit Card Default,adverse_target,unified_target,int32,2,0,0.0
