dataset,column,value,count,percentage
Taiwan Credit Card Default,sex,2.0,18112,60.3733
Taiwan Credit Card Default,sex,1.0,11888,39.6267
Taiwan Credit Card Default,education,2.0,14030,46.7667
Taiwan Credit Card Default,education,1.0,10585,35.2833
Taiwan Credit Card Default,education,3.0,4917,16.39
Taiwan Credit Card Default,education,5.0,280,0.9333
Taiwan Credit Card Default,education,4.0,123,0.41
Taiwan Credit Card Default,education,6.0,51,0.17
Taiwan Credit Card Default,education,0.0,14,0.0467
Taiwan Credit Card Default,marriage,2.0,15964,53.2133
Taiwan Credit Card Default,marriage,1.0,13659,45.53
Taiwan Credit Card Default,marriage,3.0,323,1.0767
Taiwan Credit Card Default,marriage,0.0,54,0.18
Taiwan Credit Card Default,pay_0,0.0,14737,49.1233
Taiwan Credit Card Default,pay_0,-1.0,5686,18.9533
Taiwan Credit Card Default,pay_0,1.0,3688,12.2933
Taiwan Credit Card Default,pay_0,-2.0,2759,9.1967
Taiwan Credit Card Default,pay_0,2.0,2667,8.89
Taiwan Credit Card Default,pay_0,3.0,322,1.0733
Taiwan Credit Card Default,pay_0,4.0,76,0.2533
Taiwan Credit Card Default,pay_0,5.0,26,0.0867
Taiwan Credit Card Default,pay_0,8.0,19,0.0633
Taiwan Credit Card Default,pay_0,6.0,11,0.0367
Taiwan Credit Card Default,pay_0,7.0,9,0.03
Taiwan Credit Card Default,pay_2,0.0,15730,52.4333
Taiwan Credit Card Default,pay_2,-1.0,6050,20.1667
Taiwan Credit Card Default,pay_2,2.0,3927,13.09
Taiwan Credit Card Default,pay_2,-2.0,3782,12.6067
Taiwan Credit Card Default,pay_2,3.0,326,1.0867
Taiwan Credit Card Default,pay_2,4.0,99,0.33
Taiwan Credit Card Default,pay_2,1.0,28,0.0933
Taiwan Credit Card Default,pay_2,5.0,25,0.0833
Taiwan Credit Card Default,pay_2,7.0,20,0.0667
Taiwan Credit Card Default,pay_2,6.0,12,0.04
Taiwan Credit Card Default,pay_2,8.0,1,0.0033
Taiwan Credit Card Default,pay_3,0.0,15764,52.5467
Taiwan Credit Card Default,pay_3,-1.0,5938,19.7933
Taiwan Credit Card Default,pay_3,-2.0,4085,13.6167
Taiwan Credit Card Default,pay_3,2.0,3819,12.73
Taiwan Credit Card Default,pay_3,3.0,240,0.8
Taiwan Credit Card Default,pay_3,4.0,76,0.2533
Taiwan Credit Card Default,pay_3,7.0,27,0.09
Taiwan Credit Card Default,pay_3,6.0,23,0.0767
Taiwan Credit Card Default,pay_3,5.0,21,0.07
Taiwan Credit Card Default,pay_3,1.0,4,0.0133
Taiwan Credit Card Default,pay_3,8.0,3,0.01
Taiwan Credit Card Default,pay_4,0.0,16455,54.85
Taiwan Credit Card Default,pay_4,-1.0,5687,18.9567
Taiwan Credit Card Default,pay_4,-2.0,4348,14.4933
Taiwan Credit Card Default,pay_4,2.0,3159,10.53
Taiwan Credit Card Default,pay_4,3.0,180,0.6
Taiwan Credit Card Default,pay_4,4.0,69,0.23
Taiwan Credit Card Default,pay_4,7.0,58,0.1933
Taiwan Credit Card Default,pay_4,5.0,35,0.1167
Taiwan Credit Card Default,pay_4,6.0,5,0.0167
Taiwan Credit Card Default,pay_4,1.0,2,0.0067
Taiwan Credit Card Default,pay_4,8.0,2,0.0067
Taiwan Credit Card Default,pay_5,0.0,16947,56.49
Taiwan Credit Card Default,pay_5,-1.0,5539,18.4633
Taiwan Credit Card Default,pay_5,-2.0,4546,15.1533
Taiwan Credit Card Default,pay_5,2.0,2626,8.7533
Taiwan Credit Card Default,pay_5,3.0,178,0.5933
Taiwan Credit Card Default,pay_5,4.0,84,0.28
Taiwan Credit Card Default,pay_5,7.0,58,0.1933
Taiwan Credit Card Default,pay_5,5.0,17,0.0567
Taiwan Credit Card Default,pay_5,6.0,4,0.0133
Taiwan Credit Card Default,pay_5,8.0,1,0.0033
Taiwan Credit Card Default,pay_6,0.0,16286,54.2867
Taiwan Credit Card Default,pay_6,-1.0,5740,19.1333
Taiwan Credit Card Default,pay_6,-2.0,4895,16.3167
Taiwan Credit Card Default,pay_6,2.0,2766,9.22
Taiwan Credit Card Default,pay_6,3.0,184,0.6133
Taiwan Credit Card Default,pay_6,4.0,49,0.1633
Taiwan Credit Card Default,pay_6,7.0,46,0.1533
Taiwan Credit Card Default,pay_6,6.0,19,0.0633
Taiwan Credit Card Default,pay_6,5.0,13,0.0433
Taiwan Credit Card Default,pay_6,8.0,2,0.0067
