dataset,column,role,pandas_dtype,unique_values,missing_values,missing_percentage
Taiwan Credit Card Default,id,identifier,int64,30000,0,0.0
Taiwan Credit Card Default,limit_bal,numerical,int64,81,0,0.0
Taiwan Credit Card Default,sex,categorical,int64,2,0,0.0
Taiwan Credit Card Default,education,categorical,int64,7,0,0.0
Taiwan Credit Card Default,marriage,categorical,int64,4,0,0.0
Taiwan Credit Card Default,age,numerical,int64,56,0,0.0
Taiwan Credit Card Default,pay_0,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_2,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_3,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_4,ordinal,int64,11,0,0.0
Taiwan Credit Card Default,pay_5,ordinal,int64,10,0,0.0
Taiwan Credit Card Default,pay_6,ordinal,int64,10,0,0.0
Taiwan Credit Card Default,bill_amt1,numerical,int64,22723,0,0.0
Taiwan Credit Card Default,bill_amt2,numerical,int64,22346,0,0.0
Taiwan Credit Card Default,bill_amt3,numerical,int64,22026,0,0.0
Taiwan Credit Card Default,bill_amt4,numerical,int64,21548,0,0.0
Taiwan Credit Card Default,bill_amt5,numerical,int64,21010,0,0.0
Taiwan Credit Card Default,bill_amt6,numerical,int64,20604,0,0.0
Taiwan Credit Card Default,pay_amt1,numerical,int64,7943,0,0.0
Taiwan Credit Card Default,pay_amt2,numerical,int64,7899,0,0.0
Taiwan Credit Card Default,pay_amt3,numerical,int64,7518,0,0.0
Taiwan Credit Card Default,pay_amt4,numerical,int64,6937,0,0.0
Taiwan Credit Card Default,pay_amt5,numerical,int64,6897,0,0.0
Taiwan Credit Card Default,pay_amt6,numerical,int64,6939,0,0.0
Taiwan Credit Card Default,default_payment_next_month,original_target,int32,2,0,0.0
Taiwan Credit Card Default,adverse_target,unified_target,int32,2,0,0.0
