dataset,column,missing_values,missing_percentage
Taiwan Credit Card Default,id,0,0.0
Taiwan Credit Card Default,limit_bal,0,0.0
Taiwan Credit Card Default,sex,0,0.0
Taiwan Credit Card Default,education,0,0.0
Taiwan Credit Card Default,marriage,0,0.0
Taiwan Credit Card Default,age,0,0.0
Taiwan Credit Card Default,pay_0,0,0.0
Taiwan Credit Card Default,pay_2,0,0.0
Taiwan Credit Card Default,pay_3,0,0.0
Taiwan Credit Card Default,pay_4,0,0.0
Taiwan Credit Card Default,pay_5,0,0.0
Taiwan Credit Card Default,pay_6,0,0.0
Taiwan Credit Card Default,bill_amt1,0,0.0
Taiwan Credit Card Default,bill_amt2,0,0.0
Taiwan Credit Card Default,bill_amt3,0,0.0
Taiwan Credit Card Default,bill_amt4,0,0.0
Taiwan Credit Card Default,bill_amt5,0,0.0
Taiwan Credit Card Default,bill_amt6,0,0.0
Taiwan Credit Card Default,pay_amt1,0,0.0
Taiwan Credit Card Default,pay_amt2,0,0.0
Taiwan Credit Card Default,pay_amt3,0,0.0
Taiwan Credit Card Default,pay_amt4,0,0.0
Taiwan Credit Card Default,pay_amt5,0,0.0
Taiwan Credit Card Default,pay_amt6,0,0.0
Taiwan Credit Card Default,default_payment_next_month,0,0.0
Taiwan Credit Card Default,adverse_target,0,0.0
