dataset,column,count,mean,std,min,25%,50%,75%,max
Taiwan Credit Card Default,limit_bal,30000.0,167484.32266666667,129747.66156720239,10000.0,50000.0,140000.0,240000.0,1000000.0
Taiwan Credit Card Default,age,30000.0,35.4855,9.217904068090188,21.0,28.0,34.0,41.0,79.0
Taiwan Credit Card Default,bill_amt1,30000.0,51223.3309,73635.86057552956,-165580.0,3558.75,22381.5,67091.0,964511.0
Taiwan Credit Card Default,bill_amt2,30000.0,49179.07516666667,71173.76878252835,-69777.0,2984.75,21200.0,64006.25,983931.0
Taiwan Credit Card Default,bill_amt3,30000.0,47013.1548,69349.38742703684,-157264.0,2666.25,20088.5,60164.75,1664089.0
Taiwan Credit Card Default,bill_amt4,30000.0,43262.94896666666,64332.85613391631,-170000.0,2326.75,19052.0,54506.0,891586.0
Taiwan Credit Card Default,bill_amt5,30000.0,40311.40096666667,60797.15577026487,-81334.0,1763.0,18104.5,50190.5,927171.0
Taiwan Credit Card Default,bill_amt6,30000.0,38871.7604,59554.10753674573,-339603.0,1256.0,17071.0,49198.25,961664.0
Taiwan Credit Card Default,pay_amt1,30000.0,5663.5805,16563.280354025766,0.0,1000.0,2100.0,5006.0,873552.0
Taiwan Credit Card Default,pay_amt2,30000.0,5921.1635,23040.87040205724,0.0,833.0,2009.0,5000.0,1684259.0
Taiwan Credit Card Default,pay_amt3,30000.0,5225.6815,17606.961469803104,0.0,390.0,1800.0,4505.0,896040.0
Taiwan Credit Card Default,pay_amt4,30000.0,4826.076866666666,15666.159744032007,0.0,296.0,1500.0,4013.25,621000.0
Taiwan Credit Card Default,pay_amt5,30000.0,4799.387633333334,15278.305679144789,0.0,252.5,1500.0,4031.5,426529.0
Taiwan Credit Card Default,pay_amt6,30000.0,5215.502566666667,17777.4657754353,0.0,117.75,1500.0,4000.0,528666.0
