feature_regime,Source_Features,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC,GMean,KS,Cost_2_1,Cost_5_1,Cost_10_1,training_regime,ensemble_type
AllFeatures,20.0,0.7900878596849281,0.6320070865962305,0.6087355982812561,0.5698413408513531,0.586397669305311,0.7057138945174386,0.4043444372046768,0.6977143454747292,0.4777944904131936,37.18,72.22,130.62,Balanced,Single_XGB
AllFeatures,20.0,0.7903688101613544,0.6323657062783401,0.4783380353625389,0.6401457596137183,0.5443340129289268,0.6816761326602924,0.39882139986686044,0.6485086510656459,0.4787709927071437,39.3,86.16,164.26,Unweighted,Single_XGB
FrozenChi2Top75,15.0,0.78727461176675,0.619311532627381,0.6412510394580334,0.5654138509863951,0.5980783463437936,0.7149828226774517,0.4159444882001301,0.7095942838169994,0.4852430348642941,36.32,68.6,122.4,Balanced,Single_XGB
FrozenChi2Top75,15.0,0.7884336394167986,0.6222831394108276,0.49057614116399195,0.6329473999637026,0.5475793502837392,0.6839532576528906,0.3987271330932572,0.6535942436099149,0.4857727254782616,39.22,85.12,161.62,Unweighted,Single_XGB
AllFeatures,20.0,0.8002876546907189,0.6502826227571157,0.6037885939615296,0.5887919652349517,0.59383912318332,0.7111736428066345,0.419291309844262,0.7019910689662823,0.4930519917806296,36.5,72.2,131.7,Balanced,SoftVote
AllFeatures,20.0,0.7989606708553372,0.6484926662426683,0.7123934265564061,0.5269612095444621,0.603991080975515,0.7192467355582457,0.40900617579236104,0.7182144483753828,0.48984388836088855,36.44,62.36,105.56,Balanced,Stack
AllFeatures,20.0,0.8004881027453671,0.6479684008941811,0.4579423784280193,0.6582840490841039,0.5366405458770532,0.6780983440860388,0.40098668185538533,0.6392517602738141,0.49415305364915,39.7,88.54,169.94,Unweighted,SoftVote
AllFeatures,20.0,0.7998804482331938,0.6486722405662643,0.4430642284180547,0.6606573416908197,0.526711199551493,0.6726429604404135,0.39412869460683103,0.6300111944696126,0.49008660569713264,40.3,90.46,174.06,Unweighted,Stack
FrozenChi2Top75,15.0,0.7988015059442607,0.6348971004203964,0.6265063083613087,0.5865047616054124,0.6030748803699565,0.7183547481403739,0.4285895190336244,0.7113467010364013,0.49429030863913426,35.78,69.5,125.7,Balanced,SoftVote
FrozenChi2Top75,15.0,0.7976465683479312,0.6313458842271339,0.7239050513566693,0.5252513378118246,0.6069855701229356,0.7218835244841408,0.41275769977588717,0.7206469520667841,0.49359489215984353,36.18,61.08,102.58,Balanced,Stack
FrozenChi2Top75,15.0,0.7992302812107664,0.6335527610454623,0.46485839570841947,0.6594742458824387,0.541201298747282,0.6809954128899885,0.4053994382468425,0.6436478735472027,0.4960426158848506,39.42,87.72,168.22,Unweighted,SoftVote
FrozenChi2Top75,15.0,0.7983779330396906,0.6318739803131925,0.4395990543372891,0.6633879182359097,0.5245431551948115,0.6719962211590808,0.39415951410575906,0.6279779574218647,0.4916146815998496,40.38,90.9,175.1,Unweighted,Stack
