dataset,run_id,repeat,fold,feature_regime,training_regime,selected_outer_source_features,selected_outer_features,base_model_runtime_seconds,meta_runtime_seconds,ensemble_type,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R1_F1,1,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9202756000449881,0.008011900004930794,SoftVote,0.795,0.782608695652174,0.5373134328358209,0.924812030075188,0.6371681415929203,0.7310627314555045,0.5183031451143186,0.8425541465604309,0.7151126845204977,0.7049212201427644,0.5203680843900796,123,10,31,36,20.5,36.0,82.5,160.0
German Credit,R1_F1,1,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9202756000449881,0.008011900004930794,Stack,0.79,0.7777777777777778,0.5223880597014925,0.924812030075188,0.625,0.7236000448883402,0.5054672217104351,0.8431152508136013,0.7201348093701876,0.6950616965274203,0.5349567949725059,123,10,32,35,21.0,37.0,85.0,165.0
German Credit,R1_F1,1,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9350967000355013,0.011174499988555908,SoftVote,0.745,0.6111111111111112,0.6567164179104478,0.7894736842105263,0.6330935251798561,0.723095051060487,0.4387447379730794,0.8453596678262821,0.7222750612032616,0.7200418945653794,0.5350690158231399,105,28,23,44,25.5,37.0,71.5,129.0
German Credit,R1_F1,1,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9350967000355013,0.011174499988555908,Stack,0.745,0.5833333333333334,0.835820895522388,0.6992481203007519,0.6871165644171779,0.76753450791157,0.5054995097440109,0.8455841095275503,0.718570116645221,0.7644908044588378,0.5427000336662553,93,40,11,56,25.5,31.0,47.5,75.0
German Credit,R1_F1,1,1,FrozenChi2Top75,Unweighted,15,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose;employment_duration;personal_status_sex;installment_rate;other_debtors;age,0.9422379999887198,0.008027600008063018,SoftVote,0.78,0.7346938775510204,0.5373134328358209,0.9022556390977443,0.6206896551724138,0.7197845359667826,0.4823961533412663,0.8500729435529122,0.709809960592908,0.6962715524413492,0.5438222421725958,120,13,31,36,22.0,37.5,84.0,161.5
German Credit,R1_F1,1,1,FrozenChi2Top75,Unweighted,15,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose;employment_duration;personal_status_sex;installment_rate;other_debtors;age,0.9422379999887198,0.008027600008063018,Stack,0.785,0.7608695652173914,0.5223880597014925,0.9172932330827067,0.6194690265486725,0.7198406463920997,0.4931305785716126,0.8518684771630569,0.7166365591911474,0.6922304762197227,0.5364156660307485,122,11,32,35,21.5,37.5,85.5,165.5
German Credit,R1_F1,1,1,FrozenChi2Top75,Balanced,15,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose;employment_duration;personal_status_sex;installment_rate;other_debtors;age,0.8873784000752494,0.010339900036342442,SoftVote,0.765,0.6388888888888888,0.6865671641791045,0.8045112781954887,0.6618705035971223,0.7455392211872967,0.48288404762831877,0.8517562563124228,0.7205742037480634,0.7432032204052827,0.5345079115699697,107,26,21,46,23.5,34.0,65.5,118.0
German Credit,R1_F1,1,1,FrozenChi2Top75,Balanced,15,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose;employment_duration;personal_status_sex;installment_rate;other_debtors;age,0.8873784000752494,0.010339900036342442,Stack,0.72,0.5567010309278351,0.8059701492537313,0.6766917293233082,0.6585365853658537,0.7413309392885198,0.4558287791092864,0.8526540231174952,0.7190624676565216,0.7385075044178443,0.5494332847042981,90,43,13,54,28.0,34.5,54.0,86.5
German Credit,R1_F2,1,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9423035000800155,0.010083600005600601,SoftVote,0.785,0.5714285714285714,0.4166666666666667,0.9013157894736842,0.4819277108433735,0.6589912280701754,0.3574123688791589,0.7639802631578947,0.5258969756311396,0.6128199128732968,0.47258771929824556,137,15,28,20,21.5,35.5,77.5,147.5
German Credit,R1_F2,1,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9423035000800155,0.010083600005600601,Stack,0.79,0.5882352941176471,0.4166666666666667,0.9078947368421053,0.4878048780487805,0.662280701754386,0.36901649783557855,0.7680921052631579,0.5358050234065239,0.6150524153958024,0.5054824561403508,138,14,28,20,21.0,35.0,77.0,147.0
