run_id,inner_fold,feature_regime,training_regime,selected_source_features,selected_features
R1_F1,1,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,2,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,4,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,5,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,1,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F1,1,FrozenChi2Top75,Unweighted,15,status;savings;other_installment_plans;housing;credit_history;duration;foreign_worker;amount;purpose;personal_status_sex;employment_duration;property;other_debtors;age;installment_rate
R1_F1,2,FrozenChi2Top75,Unweighted,15,status;housing;duration;savings;credit_history;other_installment_plans;amount;employment_duration;property;purpose;foreign_worker;personal_status_sex;other_debtors;telephone;installment_rate
R1_F1,3,FrozenChi2Top75,Unweighted,15,status;savings;other_installment_plans;credit_history;purpose;housing;employment_duration;property;duration;amount;foreign_worker;other_debtors;personal_status_sex;job;age
R1_F1,4,FrozenChi2Top75,Unweighted,15,status;housing;savings;duration;credit_history;other_installment_plans;amount;foreign_worker;property;purpose;other_debtors;installment_rate;employment_duration;job;people_liable
R1_F1,5,FrozenChi2Top75,Unweighted,15,housing;credit_history;savings;status;duration;other_installment_plans;amount;property;employment_duration;foreign_worker;other_debtors;purpose;personal_status_sex;installment_rate;job
R1_F1,1,FrozenChi2Top75,Balanced,15,status;savings;other_installment_plans;housing;credit_history;duration;foreign_worker;amount;purpose;personal_status_sex;employment_duration;property;other_debtors;age;installment_rate
