dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R1_F1,1,1,GroupAware_Chi2,0.75,14,11,36,21.42857142857143,0.032326399988960475,0.30109490000177175,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9189950184102231,0.9503117771225328,0.8602853992490769,0.7322936972059779,51,6,14,67
Australian Credit Approval,R1_F2,1,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04539779998594895,0.2788265999988653,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9315572882824344,0.9451552333715687,0.8469645375546981,0.7621832358674463,48,9,12,69
Australian Credit Approval,R1_F3,1,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045207299990579486,0.2818976999842562,0.8768115942028986,0.8888888888888888,0.9,0.8448275862068966,0.8944099378881988,0.8724137931034484,0.7466804942112601,0.9344827586206896,0.9487628443437309,0.8719775384642697,0.7793103448275862,49,9,8,72
Australian Credit Approval,R1_F4,1,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04449379997095093,0.28773600002750754,0.8478260869565217,0.8026315789473685,0.9104477611940298,0.7887323943661971,0.8531468531468531,0.8495900777801135,0.7025108373018846,0.911709060332142,0.8618599544264596,0.847407601235622,0.7298717679209585,56,15,6,61
Australian Credit Approval,R1_F5,1,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04518580000149086,0.3456468000076711,0.8913043478260869,0.927536231884058,0.8648648648648649,0.921875,0.8951048951048951,0.8933699324324325,0.7846715615207802,0.9410895270270271,0.9551626817156764,0.8929150560368536,0.8023648648648649,59,5,10,64
Australian Credit Approval,R2_F1,2,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04431599995587021,0.3098476000013761,0.8115942028985508,0.8051948051948052,0.8493150684931506,0.7692307692307693,0.8266666666666667,0.80927291886196,0.6216983533884065,0.9032665964172814,0.9029604216661754,0.8082816857112808,0.6680716543730242,50,15,11,62
Australian Credit Approval,R2_F2,2,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04481260001193732,0.28431800001999363,0.8478260869565217,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.8727272727272727,0.8549695740365111,0.6912623650661462,0.8988054992111787,0.9278412072608369,0.8545309378438276,0.7295469912102772,45,6,15,72
Australian Credit Approval,R2_F3,2,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045583800005260855,0.3009396999841556,0.8913043478260869,0.9014084507042254,0.8888888888888888,0.8939393939393939,0.8951048951048951,0.8914141414141414,0.7824167660659824,0.9305555555555556,0.9197986421920159,0.8914105645620286,0.8156565656565657,59,7,8,64
Australian Credit Approval,R2_F4,2,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04675310000311583,0.27977279998594895,0.8405797101449275,0.8533333333333334,0.8533333333333334,0.8253968253968254,0.8533333333333334,0.8393650793650793,0.6787301587301587,0.9161904761904762,0.9081723529122141,0.8392488453007394,0.7320634920634921,52,11,11,64
Australian Credit Approval,R2_F5,2,5,GroupAware_Chi2,0.75,14,11,35,21.42857142857143,0.04351170000154525,0.29619799996726215,0.9057971014492754,0.8987341772151899,0.9342105263157895,0.8709677419354839,0.9161290322580645,0.9025891341256367,0.8095713569330298,0.9800509337860781,0.9834648294010678,0.9020350506480461,0.8887945670628183,54,8,5,71
