dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_precision_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
Australian Credit Approval,R1_F1,1,1,GroupAware_Chi2,0.75,14,11,36,21.42857142857143,0.032326399988960475,0.30109490000177175,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9189950184102231,0.9503117771225328,0.8602853992490769,0.7322936972059779,51,6,14,67,0.9287416071041802,0.9469172564880868,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,-0.009746588693957059,0.0033945206344460077,0.012345679012345734,0.013698630136986356,0.012987012987012991,0.014944769330734298,0.02948363599386772,0.014856610079430066,0.0
Australian Credit Approval,R1_F2,1,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04539779998594895,0.2788265999988653,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9315572882824344,0.9451552333715687,0.8469645375546981,0.7621832358674463,48,9,12,69,0.9369720597790772,0.9471047518813246,0.8395061728395061,0.9066666666666666,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.8581427174680365,0.7569850552306693,-0.005414771496642712,-0.0019495185097558876,0.012345679012345734,-0.02205128205128204,-0.0038703434929849845,-0.011371020142949884,-0.019190536431909933,-0.01117817991333836,0.005198180636777017
Australian Credit Approval,R1_F3,1,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045207299990579486,0.2818976999842562,0.8768115942028986,0.8888888888888888,0.9,0.8448275862068966,0.8944099378881988,0.8724137931034484,0.7466804942112601,0.9344827586206896,0.9487628443437309,0.8719775384642697,0.7793103448275862,49,9,8,72,0.934051724137931,0.9433906687929984,0.8625,0.9078947368421052,0.8846153846153846,0.8709051724137931,0.7361210464400549,0.8708646119884498,0.7698275862068966,0.0004310344827586077,0.00537217555073255,0.03749999999999998,-0.01900584795321636,0.0097945532728142,0.0015086206896552934,0.01055944777120521,0.001112926475819953,0.00948275862068959
Australian Credit Approval,R1_F4,1,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04449379997095093,0.28773600002750754,0.8478260869565217,0.8026315789473685,0.9104477611940298,0.7887323943661971,0.8531468531468531,0.8495900777801135,0.7025108373018846,0.911709060332142,0.8618599544264596,0.847407601235622,0.7298717679209585,56,15,6,61,0.9217994534370402,0.8816515481189896,0.9402985074626866,0.8076923076923077,0.8689655172413793,0.8645154509144419,0.7350038036331852,0.8611874901611184,0.7555181837292411,-0.010090393104898121,-0.01979159369253003,-0.029850746268656803,-0.005060728744939236,-0.015818664094526147,-0.014925373134328401,-0.03249296633130061,-0.01377988892549642,-0.02564641580828253
Australian Credit Approval,R1_F5,1,5,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04518580000149086,0.3456468000076711,0.8913043478260869,0.927536231884058,0.8648648648648649,0.921875,0.8951048951048951,0.8933699324324325,0.7846715615207802,0.9410895270270271,0.9551626817156764,0.8929150560368536,0.8023648648648649,59,5,10,64,0.9451013513513514,0.9548840161032204,0.8918918918918919,0.9565217391304348,0.9230769230769232,0.922508445945946,0.8427953808926898,0.9220002491645322,0.856418918918919,-0.004011824324324342,0.0002786656124560416,-0.027027027027026973,-0.02898550724637683,-0.027972027972028135,-0.029138513513513598,-0.05812381937190958,-0.029085193127678544,-0.05405405405405406
Australian Credit Approval,R2_F1,2,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04431599995587021,0.3098476000013761,0.8115942028985508,0.8051948051948052,0.8493150684931506,0.7692307692307693,0.8266666666666667,0.80927291886196,0.6216983533884065,0.9032665964172814,0.9029604216661754,0.8082816857112808,0.6680716543730242,50,15,11,62,0.8998946259220232,0.886221752477256,0.863013698630137,0.8513513513513513,0.8571428571428571,0.8468914646996839,0.694441827491691,0.8467379916799929,0.7262381454162276,0.0033719704952581697,0.01673866918891942,-0.013698630136986356,-0.046156546156546074,-0.030476190476190435,-0.03761854583772395,-0.07274347410328452,-0.03845630596871208,-0.05816649104320337
Australian Credit Approval,R2_F2,2,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04481260001193732,0.28431800001999363,0.8478260869565217,0.9230769230769231,0.8275862068965517,0.8823529411764706,0.8727272727272727,0.8549695740365111,0.6912623650661462,0.8988054992111787,0.9278412072608369,0.8545309378438276,0.7295469912102772,45,6,15,72,0.9168356997971604,0.9376983636499536,0.7931034482758621,0.9452054794520548,0.8625,0.8573360378634212,0.6910881071087144,0.8549264624833096,0.749154834347532,-0.018030200585981704,-0.009857156389116772,0.03448275862068961,-0.02212855637513167,0.01022727272727264,-0.0023664638269100813,0.000174257957431867,-0.00039552463948200334,-0.019607843137254832
Australian Credit Approval,R2_F3,2,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045583800005260855,0.3009396999841556,0.8913043478260869,0.9014084507042254,0.8888888888888888,0.8939393939393939,0.8951048951048951,0.8914141414141414,0.7824167660659824,0.9305555555555556,0.9197986421920159,0.8914105645620286,0.8156565656565657,59,7,8,64,0.9307659932659932,0.9242566475016016,0.9027777777777778,0.8783783783783784,0.8904109589041096,0.8832070707070707,0.7677076683116035,0.882990213519786,0.7840909090909091,-0.0002104377104376054,-0.004458005309585733,-0.01388888888888895,0.023030072325846973,0.004693936200785509,0.008207070707070718,0.014709097754378897,0.008420351042242591,0.031565656565656686
Australian Credit Approval,R2_F4,2,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04675310000311583,0.27977279998594895,0.8405797101449275,0.8533333333333334,0.8533333333333334,0.8253968253968254,0.8533333333333334,0.8393650793650793,0.6787301587301587,0.9161904761904762,0.9081723529122141,0.8392488453007394,0.7320634920634921,52,11,11,64,0.926137566137566,0.9208141138139276,0.88,0.868421052631579,0.8741721854304636,0.8606349206349206,0.7222641164819655,0.8604170269802083,0.7447619047619047,-0.009947089947089816,-0.012641760901713539,-0.026666666666666616,-0.015087719298245594,-0.02083885209713021,-0.021269841269841328,-0.043533957751806795,-0.021168181679468878,-0.012698412698412653
Australian Credit Approval,R2_F5,2,5,GroupAware_Chi2,0.75,14,11,35,21.42857142857143,0.04351170000154525,0.29619799996726215,0.9057971014492754,0.8987341772151899,0.9342105263157895,0.8709677419354839,0.9161290322580645,0.9025891341256367,0.8095713569330298,0.9800509337860781,0.9834648294010678,0.9020350506480461,0.8887945670628183,54,8,5,71,0.9785653650254668,0.9824965916378956,0.9342105263157896,0.8987341772151899,0.9161290322580644,0.9025891341256368,0.8095713569330298,0.902035050648046,0.8565365025466893,0.0014855687606113444,0.0009682377631722305,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.032258064516129004
Australian Credit Approval,R3_F1,3,1,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.044415000011213124,0.28127480001421645,0.8115942028985508,0.8026315789473685,0.8472222222222222,0.7727272727272727,0.8243243243243243,0.8099747474747474,0.6225752987168809,0.9143518518518519,0.934252866616817,0.809117863584606,0.6994949494949495,51,15,11,61,0.9105639730639732,0.9167151334441678,0.8472222222222222,0.8026315789473685,0.8243243243243243,0.8099747474747474,0.6225752987168809,0.809117863584606,0.7007575757575757,0.0037878787878786735,0.017537733172649173,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012626262626261875
Australian Credit Approval,R3_F2,3,2,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04450850002467632,0.2862662000115961,0.8768115942028986,0.9041095890410958,0.868421052631579,0.8870967741935484,0.8859060402684564,0.8777589134125636,0.7528860472241714,0.9168081494057725,0.913704725513597,0.8777092425349293,0.7584889643463497,55,7,10,66,0.9293293718166384,0.9355792333170568,0.881578947368421,0.8933333333333333,0.8874172185430463,0.8762733446519524,0.7515107268324677,0.8762572824960341,0.765704584040747,-0.012521222410865951,-0.021874507803459786,-0.013157894736842035,0.010776255707762528,-0.0015111782745899083,0.0014855687606112333,0.0013753203917037382,0.0014519600388952503,-0.007215619694397324
Australian Credit Approval,R3_F3,3,3,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.04400669998722151,0.2838712999946438,0.8478260869565217,0.8571428571428571,0.868421052631579,0.8225806451612904,0.8627450980392157,0.8455008488964346,0.6921041848489684,0.9410016977928692,0.9567910137246585,0.8451901263889274,0.7775891341256367,51,11,10,66,0.961799660441426,0.9740906255348892,0.9078947368421052,0.8961038961038961,0.9019607843137256,0.8894312393887946,0.7801051469274306,0.8892395790013391,0.8111205432937182,-0.02079796264855671,-0.017299611810230764,-0.039473684210526216,-0.038961038961038974,-0.03921568627450989,-0.04393039049236003,-0.0880009620784622,-0.044049452612411666,-0.033531409168081505
Australian Credit Approval,R3_F4,3,4,GroupAware_Chi2,0.75,14,11,37,21.42857142857143,0.045263700012583286,0.28775339998537675,0.9057971014492754,0.9066666666666666,0.918918918918919,0.890625,0.912751677852349,0.9047719594594594,0.8104856973673661,0.9343327702702703,0.9357990946574605,0.9046613521988005,0.809543918918919,57,7,6,68,0.928420608108108,0.9092611680835676,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.8902027027027026,0.7813132857250352,0.8900728788867402,0.8074324324324325,0.005912162162162282,0.026537926573892867,0.013513513513513598,0.013333333333333308,0.01342281879194629,0.014569256756756799,0.029172411642330864,0.014588473312060257,0.0021114864864865135
