dataset,run_id,repeat,fold,selector,retained_fraction,total_source_features,selected_source_features,feature_reduction_pct,selected_features
Australian Credit Approval,R1_F1,1,1,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a7;a10;a4;a3;a14;a5;a11;a2;a6
Australian Credit Approval,R1_F2,1,2,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a4;a3;a2;a5;a6;a12
Australian Credit Approval,R1_F3,1,3,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6
Australian Credit Approval,R1_F4,1,4,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a3;a14;a5;a12;a2;a6
Australian Credit Approval,R1_F5,1,5,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a3;a5;a4;a2;a12;a6
Australian Credit Approval,R2_F1,2,1,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a3;a14;a5;a2;a12;a6
Australian Credit Approval,R2_F2,2,2,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a6;a5;a2;a12
Australian Credit Approval,R2_F3,2,3,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a7;a10;a14;a4;a3;a5;a2;a12;a6
Australian Credit Approval,R2_F4,2,4,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6
Australian Credit Approval,R2_F5,2,5,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a3;a4;a5;a2;a6;a13
Australian Credit Approval,R3_F1,3,1,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a3;a4;a14;a2;a5;a6;a12
Australian Credit Approval,R3_F2,3,2,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a3;a4;a5;a2;a12;a6
Australian Credit Approval,R3_F3,3,3,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6
Australian Credit Approval,R3_F4,3,4,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a4;a3;a5;a2;a6;a12
Australian Credit Approval,R3_F5,3,5,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a4;a3;a5;a2;a12;a6
Australian Credit Approval,R4_F1,4,1,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a5;a2;a11;a6
Australian Credit Approval,R4_F2,4,2,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a4;a3;a5;a2;a6;a12
Australian Credit Approval,R4_F3,4,3,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a3;a4;a2;a5;a12;a6
Australian Credit Approval,R4_F4,4,4,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a3;a4;a14;a5;a2;a12;a6
Australian Credit Approval,R4_F5,4,5,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a4;a14;a3;a5;a12;a2;a6
Australian Credit Approval,R5_F1,5,1,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a7;a10;a4;a3;a14;a2;a5;a6;a12
Australian Credit Approval,R5_F2,5,2,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a4;a3;a5;a2;a12;a6
Australian Credit Approval,R5_F3,5,3,GroupAware_Chi2,0.75,14,11,21.42857142857143,a8;a9;a10;a7;a14;a3;a4;a5;a2;a6;a12
