source_feature,group_score,transformed_columns,source_rank,dataset,run_id,repeat,fold
a8,0.9878048780487805,2,1.0,Australian Credit Approval,R1_F1,1,1
a9,0.9390243902439024,2,2.0,Australian Credit Approval,R1_F1,1,1
a7,0.7804878048780488,1,3.0,Australian Credit Approval,R1_F1,1,1
a10,0.7317073170731707,1,4.0,Australian Credit Approval,R1_F1,1,1
a4,0.6829268292682927,3,5.0,Australian Credit Approval,R1_F1,1,1
a3,0.6097560975609756,1,6.0,Australian Credit Approval,R1_F1,1,1
a14,0.5853658536585367,1,7.0,Australian Credit Approval,R1_F1,1,1
a5,0.47560975609756095,14,8.0,Australian Credit Approval,R1_F1,1,1
a11,0.4268292682926829,2,9.0,Australian Credit Approval,R1_F1,1,1
a2,0.41463414634146345,1,10.0,Australian Credit Approval,R1_F1,1,1
a6,0.3597560975609756,8,11.0,Australian Credit Approval,R1_F1,1,1
a12,0.34959349593495936,3,12.0,Australian Credit Approval,R1_F1,1,1
a13,0.19512195121951215,1,13.0,Australian Credit Approval,R1_F1,1,1
a1,0.17073170731707316,2,14.0,Australian Credit Approval,R1_F1,1,1
a8,0.9878048780487805,2,1.0,Australian Credit Approval,R1_F2,1,2
a9,0.9390243902439024,2,2.0,Australian Credit Approval,R1_F2,1,2
a10,0.9024390243902439,1,3.0,Australian Credit Approval,R1_F2,1,2
a7,0.7560975609756098,1,4.0,Australian Credit Approval,R1_F2,1,2
a14,0.6585365853658536,1,5.0,Australian Credit Approval,R1_F2,1,2
a4,0.6178861788617885,3,6.0,Australian Credit Approval,R1_F2,1,2
a3,0.6097560975609756,1,7.0,Australian Credit Approval,R1_F2,1,2
a2,0.4878048780487805,1,8.0,Australian Credit Approval,R1_F2,1,2
a5,0.48257839721254353,14,9.0,Australian Credit Approval,R1_F2,1,2
a6,0.4085365853658537,8,10.0,Australian Credit Approval,R1_F2,1,2
a12,0.3333333333333333,3,11.0,Australian Credit Approval,R1_F2,1,2
a13,0.31707317073170727,1,12.0,Australian Credit Approval,R1_F2,1,2
a11,0.25609756097560976,2,13.0,Australian Credit Approval,R1_F2,1,2
a1,0.012195121951219523,2,14.0,Australian Credit Approval,R1_F2,1,2
a8,0.9878048780487805,2,1.0,Australian Credit Approval,R1_F3,1,3
a9,0.9390243902439024,2,2.0,Australian Credit Approval,R1_F3,1,3
a10,0.7560975609756098,1,3.0,Australian Credit Approval,R1_F3,1,3
a7,0.7317073170731707,1,4.0,Australian Credit Approval,R1_F3,1,3
a4,0.6178861788617886,3,5.0,Australian Credit Approval,R1_F3,1,3
a14,0.5853658536585367,1,6.0,Australian Credit Approval,R1_F3,1,3
a3,0.5365853658536586,1,7.0,Australian Credit Approval,R1_F3,1,3
a5,0.5078397212543554,14,8.0,Australian Credit Approval,R1_F3,1,3
a12,0.42276422764227634,3,9.0,Australian Credit Approval,R1_F3,1,3
a2,0.3902439024390244,1,10.0,Australian Credit Approval,R1_F3,1,3
a6,0.37347560975609756,8,11.0,Australian Credit Approval,R1_F3,1,3
a13,0.29268292682926833,1,12.0,Australian Credit Approval,R1_F3,1,3
a11,0.23170731707317072,2,13.0,Australian Credit Approval,R1_F3,1,3
a1,0.0853658536585366,2,14.0,Australian Credit Approval,R1_F3,1,3
a8,0.9878048780487805,2,1.0,Australian Credit Approval,R1_F4,1,4
a9,0.9390243902439024,2,2.0,Australian Credit Approval,R1_F4,1,4
a10,0.8048780487804879,1,3.0,Australian Credit Approval,R1_F4,1,4
a7,0.7317073170731707,1,4.0,Australian Credit Approval,R1_F4,1,4
a4,0.6260162601626016,3,5.0,Australian Credit Approval,R1_F4,1,4
a3,0.5853658536585367,1,6.0,Australian Credit Approval,R1_F4,1,4
a14,0.5609756097560976,1,7.0,Australian Credit Approval,R1_F4,1,4
a5,0.5209059233449478,14,8.0,Australian Credit Approval,R1_F4,1,4
a12,0.4796747967479675,3,9.0,Australian Credit Approval,R1_F4,1,4
a2,0.46341463414634143,1,10.0,Australian Credit Approval,R1_F4,1,4
a6,0.36890243902439024,8,11.0,Australian Credit Approval,R1_F4,1,4
