selector,subset,selected_source_features,feature_reduction_pct,ROC_AUC_mean,PR_AUC_mean,Recall_mean,F1_mean,Balanced_Accuracy_mean,MCC_mean,mean_jaccard,Delta_ROC_AUC,Delta_PR_AUC,Delta_Recall,Delta_F1,Delta_BalAcc,Delta_MCC
Chi2,Top25,5,75.0,0.7308364854112783,0.5613439126804355,0.4417855727893618,0.4901384623786809,0.6471496199572472,0.3184137065705959,0.7590476190476191,-0.05953232475007605,-0.07102179359790461,-0.036552462573177055,-0.054195550550245886,-0.034526512703045194,-0.0804076932962645
Chi2,Top50,10,50.0,0.7753732010036556,0.6072067838638682,0.48476794420456065,0.541588760679311,0.6793235946281945,0.3878547258925095,0.76994560994561,-0.014995609157698802,-0.025158922414471846,0.006429908842021734,-0.002745252249615804,-0.0023525380320978772,-0.010966673974350926
Chi2,Top75,15,25.0,0.7884336394167986,0.6222831394108276,0.49057614116399195,0.5475793502837392,0.6839532576528906,0.3987271330932572,0.8866666666666667,-0.0019351707445557898,-0.01008256686751255,0.012238105801453075,0.0032453373548123523,0.002277124992598201,-9.426677360321767e-05
EqualConsensus,Top25,5,75.0,0.7465959585152517,0.568167630240663,0.4512574189572786,0.5038331849194164,0.6555930599254538,0.3383952383727867,0.6711904761904763,-0.043772851646102645,-0.06419807603767709,-0.027080616405260292,-0.04050082800951051,-0.026083072734838664,-0.06042616149407374
EqualConsensus,Top50,10,50.0,0.7649906196219465,0.5958783110777489,0.47038454945942315,0.5253670828895295,0.6688110959980132,0.3649914145297395,0.6782306582306582,-0.02537819053940792,-0.03648739520059116,-0.007953485903115766,-0.018966930039397378,-0.01286503666227914,-0.03382998533712093
EqualConsensus,Top75,15,25.0,0.7817916261534945,0.6178777027462049,0.4820972557184616,0.544830247656417,0.6814644269446458,0.3963260267605345,0.8129248366013071,-0.008577184007859846,-0.014488003532135162,0.0037592203559227476,0.0004962347274900703,-0.00021170571564653516,-0.0024953731063258842
L1,Top25,5,75.0,0.7179346459532688,0.5334634764742137,0.41122357013496286,0.4637778894969103,0.6321692774233746,0.28906633648502933,0.5903174603174602,-0.07243416420808554,-0.0989022298041264,-0.06711446522757608,-0.08055612343201657,-0.04950685523691776,-0.10975506338183108
L1,Top50,10,50.0,0.7687978944165966,0.593123476975109,0.4820010134881091,0.5325519308844364,0.6732127234025778,0.37250220540844514,0.6786280386280387,-0.02157091574475771,-0.03924222930323104,0.003662978125570213,-0.01178208204449036,-0.008463409257714579,-0.02631919445841523
L1,Top75,15,25.0,0.7842489158527668,0.6147000413655984,0.47335135672377127,0.5338291781117097,0.6747252471320212,0.3806917153446749,0.761047901616787,-0.006119894308587548,-0.017665664912741703,-0.00498667863876759,-0.010504834817217099,-0.0069508855282711,-0.018129684522185534
MI,Top25,5,75.0,0.7149106768162977,0.5216198481486507,0.3912087355133864,0.447485830438427,0.6248941125375262,0.27560700681851946,0.4780952380952381,-0.0754581333450566,-0.11074585812968944,-0.08712929984915252,-0.09684818249049984,-0.05678202012276616,-0.12321439304834092
MI,Top50,10,50.0,0.7662571689936613,0.595514544080249,0.4592830520033506,0.5165800075123422,0.6629566542166835,0.3556526474451479,0.6566733266733267,-0.024111641167693133,-0.036851162198091134,-0.019054983359188257,-0.027754005416584567,-0.01871947844360887,-0.04316875242171248
MI,Top75,15,25.0,0.7850228865609195,0.6210397509074242,0.4895090234349203,0.547716313128462,0.6828038407587601,0.39547165447528854,0.7635741314069487,-0.005345923600434901,-0.011325955370915804,0.011170988072381429,0.003382300199535193,0.0011277080984678234,-0.0033497453915718434
RF,Top25,5,75.0,0.6491792107882646,0.44704972687388944,0.28617033269077224,0.3511918944801644,0.5721478848024625,0.17001500480812307,1.0,-0.1411895993730899,-0.18531597940445063,-0.19216770267176664,-0.19314211844876245,-0.10952824785782989,-0.22880639505873732
RF,Top50,10,50.0,0.7541192973714307,0.5791901612353975,0.4329641398171122,0.494585066376979,0.6513244023008404,0.33479628445808934,0.872020202020202,-0.03624951278992371,-0.05317554504294259,-0.045373895545426715,-0.04974894655194788,-0.030351730359451965,-0.06402511540877104
RF,Top75,15,25.0,0.7731403246103319,0.6015107503734773,0.4657305047003899,0.5219784564942791,0.6682103191050136,0.36548728245879686,0.8772058823529413,-0.017228485551022427,-0.0308549559048628,-0.01260753066214896,-0.022355556434647837,-0.013465813555278712,-0.033334117408063545
RFE,Top25,5,75.0,0.7189578240469064,0.5235621622092217,0.4024981314415567,0.4526898568928104,0.627297203546064,0.2781910884208886,0.5068915343915343,-0.07141098611444788,-0.10880354406911832,-0.07583990392098212,-0.09164415603611648,-0.05437892911422834,-0.12063031144597183
RFE,Top50,10,50.0,0.7654575631058301,0.6005965065765868,0.474433490344001,0.5294008156768086,0.671142183580851,0.3705531188671823,0.7313120213120214,-0.024911247055524263,-0.03176919970175327,-0.0039045450185378906,-0.014933197252118193,-0.010533949079441359,-0.02826828099967811
RFE,Top75,15,25.0,0.7821893566559655,0.6137424791071957,0.48467357950670736,0.5458257362811868,0.6818473184929946,0.39584431805214765,0.7983023735810114,-0.008179453505388894,-0.018623227171144334,0.006335544144168508,0.0014917233522599683,0.00017118583270231636,-0.0029770818147127898
