selector,subset,Delta_ROC_AUC,Delta_PR_AUC,Delta_Recall,Delta_F1,Delta_BalAcc,Delta_MCC,Delta_GMean,Delta_KS
Chi2,Top25,-0.05953232475007605,-0.07102179359790461,-0.036552462573177055,-0.054195550550245886,-0.034526512703045194,-0.0804076932962645,-0.03794783437287735,-0.07350703653901144
Chi2,Top50,-0.014995609157698802,-0.025158922414471846,0.006429908842021734,-0.002745252249615804,-0.0023525380320978772,-0.010966673974350926,0.0005550972008905575,-0.01762219477510851
Chi2,Top75,-0.0019351707445557898,-0.01008256686751255,0.012238105801453075,0.0032453373548123523,0.002277124992598201,-9.426677360321767e-05,0.005085592544269004,0.0070017327711178945
EqualConsensus,Top25,-0.043772851646102645,-0.06419807603767709,-0.027080616405260292,-0.04050082800951051,-0.026083072734838664,-0.06042616149407374,-0.028371706138138143,-0.049768982652580805
EqualConsensus,Top50,-0.02537819053940792,-0.03648739520059116,-0.007953485903115766,-0.018966930039397378,-0.01286503666227914,-0.03382998533712093,-0.011587144104486656,-0.030587031690524683
EqualConsensus,Top75,-0.008577184007859846,-0.014488003532135162,0.0037592203559227476,0.0004962347274900703,-0.00021170571564653516,-0.0024953731063258842,0.0015084944983507099,-0.008844804476966601
L1,Top25,-0.07243416420808554,-0.0989022298041264,-0.06711446522757608,-0.08055612343201657,-0.04950685523691776,-0.10975506338183108,-0.05970330275936489,-0.1021472443682443
L1,Top50,-0.02157091574475771,-0.03924222930323104,0.003662978125570213,-0.01178208204449036,-0.008463409257714579,-0.02631919445841523,-0.0052805696687725145,-0.020225251769205074
L1,Top75,-0.006119894308587548,-0.017665664912741703,-0.00498667863876759,-0.010504834817217099,-0.0069508855282711,-0.018129684522185534,-0.0064721412261920805,-0.0025823189216053243
MI,Top25,-0.0754581333450566,-0.11074585812968944,-0.08712929984915252,-0.09684818249049984,-0.05678202012276616,-0.12321439304834092,-0.0746288464147462,-0.10683413133735284
MI,Top50,-0.024111641167693133,-0.036851162198091134,-0.019054983359188257,-0.027754005416584567,-0.01871947844360887,-0.04316875242171248,-0.019139382392827052,-0.020685860336368954
MI,Top75,-0.005345923600434901,-0.011325955370915804,0.011170988072381429,0.003382300199535193,0.0011277080984678234,-0.0033497453915718434,0.004750364420793769,-0.0019406482546472591
RF,Top25,-0.1411895993730899,-0.18531597940445063,-0.19216770267176664,-0.19314211844876245,-0.10952824785782989,-0.22880639505873732,-0.15528647038413843,-0.20961327639863672
RF,Top50,-0.03624951278992371,-0.05317554504294259,-0.045373895545426715,-0.04974894655194788,-0.030351730359451965,-0.06402511540877104,-0.037571475498708165,-0.05123402325717943
RF,Top75,-0.017228485551022427,-0.0308549559048628,-0.01260753066214896,-0.022355556434647837,-0.013465813555278712,-0.033334117408063545,-0.015597195819295324,-0.028746053981513853
RFE,Top25,-0.07141098611444788,-0.10880354406911832,-0.07583990392098212,-0.09164415603611648,-0.05437892911422834,-0.12063031144597183,-0.06827294440974675,-0.09054827536384258
RFE,Top50,-0.024911247055524263,-0.03176919970175327,-0.0039045450185378906,-0.014933197252118193,-0.010533949079441359,-0.02826828099967811,-0.008911286138643844,-0.03427559621700065
RFE,Top75,-0.008179453505388894,-0.018623227171144334,0.006335544144168508,0.0014917233522599683,0.00017118583270231636,-0.0029770818147127898,0.002733796239526116,-0.005646371090348512
