dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp
German Credit,R1_F1,1,1,Chi2,Top25,0.25,5,20,75.0,0.8908753999858163,0.21555139997508377,0.705,0.6111111111111112,0.3283582089552239,0.8947368421052632,0.42718446601941745,0.6115475255302435,0.27408166495234626,0.7530019077544609,0.5911845816249472,0.542027847033653,0.39299741892043544,119,14,45,22
German Credit,R1_F1,1,1,Chi2,Top50,0.5,10,38,50.0,0.8908753999858163,0.27177799999481067,0.76,0.6792452830188679,0.5373134328358209,0.8721804511278195,0.6,0.7047469419818202,0.43793942049855566,0.8133767253955785,0.6813059082111685,0.684568676063829,0.5356301200763102,116,17,31,36
German Credit,R1_F1,1,1,Chi2,Top75,0.75,15,52,25.0,0.8908753999858163,0.2872211000067182,0.785,0.7222222222222222,0.582089552238806,0.8872180451127819,0.6446280991735537,0.734653798675794,0.49893905350521156,0.8350353495679497,0.7150964496777249,0.7186378466361816,0.5348445741218718,118,15,28,39
German Credit,R1_F1,1,1,MI,Top25,0.25,5,9,75.0,0.8908753999858163,0.22220219997689128,0.73,0.6226415094339622,0.4925373134328358,0.849624060150376,0.55,0.6710806867916059,0.3659296500685383,0.7780271574458535,0.5978875415937719,0.6468937718160257,0.45168892380204245,113,20,34,33
German Credit,R1_F1,1,1,MI,Top50,0.5,10,26,50.0,0.8908753999858163,0.26532579999184236,0.735,0.6296296296296297,0.5074626865671642,0.849624060150376,0.5619834710743802,0.67854337335877,0.3796327279420333,0.7972169229042756,0.6563303524161757,0.6566220435958663,0.5198069801369094,113,20,33,34
German Credit,R1_F1,1,1,MI,Top75,0.75,15,50,25.0,0.8908753999858163,0.3309237000066787,0.78,0.7254901960784313,0.5522388059701493,0.8947368421052632,0.6271186440677966,0.7234878240377063,0.48402619106467726,0.8381775333857031,0.7237944741658896,0.7029284496602144,0.5579620693524856,119,14,30,37
German Credit,R1_F1,1,1,L1,Top25,0.25,5,12,75.0,0.8908753999858163,0.22926410002401099,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7481203007518796,0.6061718320022729,0.6537101798308285,0.42251150263719,112,21,33,34
German Credit,R1_F1,1,1,L1,Top50,0.5,10,24,50.0,0.8908753999858163,0.26081130001693964,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7972169229042757,0.6441772351342241,0.6537101798308285,0.5204803052407138,112,21,33,34
German Credit,R1_F1,1,1,L1,Top75,0.75,15,46,25.0,0.8908753999858163,0.29271270002936944,0.795,0.7321428571428571,0.6119402985074627,0.8872180451127819,0.6666666666666666,0.7495791718101223,0.5247184043106148,0.8203344181348895,0.7002739125395888,0.736834089444512,0.5505554932106386,118,15,26,41
German Credit,R1_F1,1,1,RF,Top25,0.25,5,5,75.0,0.8908753999858163,0.2067119000130333,0.67,0.5142857142857142,0.26865671641791045,0.8721804511278195,0.35294117647058826,0.570418583772865,0.1749461984185615,0.6880260352373472,0.48916220984881836,0.4840631530326304,0.32443047918303225,116,17,49,18
German Credit,R1_F1,1,1,RF,Top50,0.5,10,21,50.0,0.8908753999858163,0.25608809996629134,0.75,0.6888888888888889,0.4626865671641791,0.8947368421052632,0.5535714285714286,0.6787117046347211,0.4039932499743378,0.7985635731118843,0.6720488743709423,0.6434148879137025,0.48322298283020987,119,14,36,31
German Credit,R1_F1,1,1,RF,Top75,0.75,15,37,25.0,0.8908753999858163,0.3023585000191815,0.785,0.7608695652173914,0.5223880597014925,0.9172932330827067,0.6194690265486725,0.7198406463920997,0.4931305785716126,0.8325664908540007,0.6927267211378334,0.6922304762197227,0.49814835596453827,122,11,32,35
German Credit,R1_F1,1,1,RFE,Top25,0.25,5,17,75.0,0.8908753999858163,0.32356270001037046,0.685,0.5384615384615384,0.417910447761194,0.8195488721804511,0.47058823529411764,0.6187296599708225,0.2555170660121482,0.7401526203568624,0.5955762804954324,0.585233317690572,0.39198743126472896,109,24,39,28
German Credit,R1_F1,1,1,RFE,Top50,0.5,10,35,50.0,0.8908753999858163,0.32828340004198253,0.745,0.6333333333333333,0.5671641791044776,0.8345864661654135,0.5984251968503937,0.7008753226349456,0.41379016278472114,0.8094489956233868,0.6623905820533246,0.6880025784649456,0.5350690158231399,111,22,29,38
German Credit,R1_F1,1,1,RFE,Top75,0.75,15,48,25.0,0.8908753999858163,0.30701379996025935,0.775,0.7037037037037037,0.5671641791044776,0.8796992481203008,0.628099173553719,0.7234317136123891,0.4750777883925759,0.8103467624284592,0.6536709130808207,0.7063525337386258,0.5432611379194254,117,16,29,38
German Credit,R1_F1,1,1,EqualConsensus,Top25,0.25,5,12,75.0,0.8908753999858163,0.23193919996265322,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7481203007518796,0.6061718320022729,0.6537101798308285,0.42251150263719,112,21,33,34
German Credit,R1_F1,1,1,EqualConsensus,Top50,0.5,10,26,50.0,0.8908753999858163,0.2684336999664083,0.77,0.6981132075471698,0.5522388059701493,0.8796992481203008,0.6166666666666667,0.715969027045225,0.4619426773085614,0.8096734373246549,0.6702156439551186,0.6969964579499619,0.4826618785770396,117,16,30,37
German Credit,R1_F1,1,1,EqualConsensus,Top75,0.75,15,45,25.0,0.8908753999858163,0.2781661000335589,0.77,0.6842105263157895,0.582089552238806,0.8646616541353384,0.6290322580645161,0.7233756031870722,0.4671146725985211,0.8139378296487487,0.6768080758628892,0.7094438068611949,0.5575131859499496,115,18,28,39
German Credit,R1_F2,1,2,Chi2,Top25,0.25,5,18,75.0,0.8768827000167221,0.22024559997953475,0.73,0.44642857142857145,0.5208333333333334,0.7960526315789473,0.4807692307692308,0.6584429824561404,0.301418675789559,0.7023711622807017,0.5048420644452769,0.6439027454624147,0.3771929824561403,121,31,23,25
German Credit,R1_F2,1,2,Chi2,Top50,0.5,10,35,50.0,0.8768827000167221,0.2763169000390917,0.77,0.5227272727272727,0.4791666666666667,0.8618421052631579,0.5,0.6705043859649122,0.3515760851814769,0.7458881578947368,0.5005204717397537,0.642624313866142,0.4473684210526316,131,21,25,23
German Credit,R1_F2,1,2,Chi2,Top75,0.75,15,53,25.0,0.8768827000167221,0.29095689998939633,0.755,0.4897959183673469,0.5,0.8355263157894737,0.4948453608247423,0.6677631578947368,0.333182733684121,0.7543859649122807,0.49122415224635857,0.646346004779744,0.4298245614035087,127,25,24,24
German Credit,R1_F2,1,2,MI,Top25,0.25,5,8,75.0,0.8768827000167221,0.2371234000311233,0.725,0.43137254901960786,0.4583333333333333,0.8092105263157895,0.4444444444444444,0.6337719298245614,0.2621556236299369,0.695860745614035,0.4298850709740381,0.609005876732513,0.3717105263157895,123,29,26,22
German Credit,R1_F2,1,2,MI,Top50,0.5,10,24,50.0,0.8768827000167221,0.2544726000051014,0.765,0.5111111111111111,0.4791666666666667,0.8552631578947368,0.4946236559139785,0.6672149122807017,0.34203874771168186,0.7101151315789473,0.5047126125814664,0.6401668505094809,0.38815789473684215,130,22,25,23
German Credit,R1_F2,1,2,MI,Top75,0.75,15,48,25.0,0.8768827000167221,0.2965272999717854,0.77,0.5217391304347826,0.5,0.8552631578947368,0.5106382978723404,0.6776315789473684,0.3605398786970459,0.752467105263158,0.5063509391460814,0.6539354547257462,0.4287280701754386,130,22,24,24
German Credit,R1_F2,1,2,L1,Top25,0.25,5,12,75.0,0.8768827000167221,0.25709259998984635,0.75,0.48148148148148145,0.5416666666666666,0.8157894736842105,0.5098039215686274,0.6787280701754386,0.34386808225730703,0.6947642543859649,0.413984922445079,0.6647450375236212,0.3629385964912281,124,28,22,26
