dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
German Credit,R1_F1,1,1,Chi2,Top25,0.25,5,20,75.0,0.8908753999858163,0.21555139997508377,0.705,0.6111111111111112,0.3283582089552239,0.8947368421052632,0.42718446601941745,0.6115475255302435,0.27408166495234626,0.7530019077544609,0.5911845816249472,0.542027847033653,0.39299741892043544,119,14,45,22,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.077544607788127,-0.11173295488209067,-0.2537313432835821,-0.24522932708403083,-0.14190326562675348,-0.28220718484150104,-0.19167742110303365,-0.13488946246212535
German Credit,R1_F1,1,1,Chi2,Top50,0.5,10,38,50.0,0.8908753999858163,0.27177799999481067,0.76,0.6792452830188679,0.5373134328358209,0.8721804511278195,0.6,0.7047469419818202,0.43793942049855566,0.8133767253955785,0.6813059082111685,0.684568676063829,0.5356301200763102,116,17,31,36,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.017169790147009367,-0.02161162829586938,-0.04477611940298509,-0.07241379310344831,-0.04870384917517678,-0.11834942929529163,-0.0491365920728577,0.007743238693749377
German Credit,R1_F1,1,1,Chi2,Top75,0.75,15,52,25.0,0.8908753999858163,0.2872211000067182,0.785,0.7222222222222222,0.582089552238806,0.8872180451127819,0.6446280991735537,0.734653798675794,0.49893905350521156,0.8350353495679497,0.7150964496777249,0.7186378466361816,0.5348445741218718,118,15,28,39,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,0.004488834025361821,0.012178913170686978,0.0,-0.027785693929894606,-0.018796992481203034,-0.057349796288635735,-0.015067421500505107,0.006957692739311017
German Credit,R1_F1,1,1,MI,Top25,0.25,5,9,75.0,0.8908753999858163,0.22220219997689128,0.73,0.6226415094339622,0.4925373134328358,0.849624060150376,0.55,0.6710806867916059,0.3659296500685383,0.7780271574458535,0.5978875415937719,0.6468937718160257,0.45168892380204245,113,20,34,33,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.05251935809673436,-0.10502999491326603,-0.08955223880597019,-0.12241379310344824,-0.08237010436539105,-0.19035919972530901,-0.08681149632066099,-0.07619795758051834
German Credit,R1_F1,1,1,MI,Top50,0.5,10,26,50.0,0.8908753999858163,0.26532579999184236,0.735,0.6296296296296297,0.5074626865671642,0.849624060150376,0.5619834710743802,0.67854337335877,0.3796327279420333,0.7972169229042756,0.6563303524161757,0.6566220435958663,0.5198069801369094,113,20,33,34,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.033329592638312255,-0.046587184090862266,-0.07462686567164178,-0.1104303220290681,-0.07490741779822696,-0.176656121851814,-0.0770832245408204,-0.008079901245651389
German Credit,R1_F1,1,1,MI,Top75,0.75,15,50,25.0,0.8908753999858163,0.3309237000066787,0.78,0.7254901960784313,0.5522388059701493,0.8947368421052632,0.6271186440677966,0.7234878240377063,0.48402619106467726,0.8381775333857031,0.7237944741658896,0.7029284496602144,0.5579620693524856,119,14,30,37,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,0.007631017843115262,0.02087693765885168,-0.02985074626865669,-0.04529514903565168,-0.029962967119290695,-0.07226265872917004,-0.03077681847647229,0.03007518796992481
German Credit,R1_F1,1,1,L1,Top25,0.25,5,12,75.0,0.8908753999858163,0.22926410002401099,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7481203007518796,0.6061718320022729,0.6537101798308285,0.42251150263719,112,21,33,34,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.08242621479070822,-0.09674570450476505,-0.07462686567164178,-0.11503674392312047,-0.07866681629446748,-0.18677605298080502,-0.07999508830585822,-0.10537537874537078
German Credit,R1_F1,1,1,L1,Top50,0.5,10,24,50.0,0.8908753999858163,0.26081130001693964,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7972169229042757,0.6441772351342241,0.6537101798308285,0.5204803052407138,112,21,33,34,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.033329592638312144,-0.05874030137281383,-0.07462686567164178,-0.11503674392312047,-0.07866681629446748,-0.18677605298080502,-0.07999508830585822,-0.007406576141847032
German Credit,R1_F1,1,1,L1,Top75,0.75,15,46,25.0,0.8908753999858163,0.29271270002936944,0.795,0.7321428571428571,0.6119402985074627,0.8872180451127819,0.6666666666666666,0.7495791718101223,0.5247184043106148,0.8203344181348895,0.7002739125395888,0.736834089444512,0.5505554932106386,118,15,26,41,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.01021209740769835,-0.0026436239674491047,0.02985074626865669,-0.005747126436781658,-0.003871619346874633,-0.03157044548323251,0.0031288213078253246,0.022668611828077778
German Credit,R1_F1,1,1,RF,Top25,0.25,5,5,75.0,0.8908753999858163,0.2067119000130333,0.67,0.5142857142857142,0.26865671641791045,0.8721804511278195,0.35294117647058826,0.570418583772865,0.1749461984185615,0.6880260352373472,0.48916220984881836,0.4840631530326304,0.32443047918303225,116,17,49,18,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.14252048030524067,-0.21375532665821956,-0.31343283582089554,-0.31947261663286003,-0.18303220738413195,-0.3813426513752858,-0.24964211510405626,-0.20345640219952854
