selector,subset,subset_fraction,selected_source_features,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Recall_mean,Precision_mean,F1_mean,Balanced_Accuracy_mean,MCC_mean,MCC_std,GMean_mean,KS_mean,XGB_Runtime_mean,mean_jaccard,std_jaccard,feature_reduction_pct
Chi2,Top25,0.25,5,0.7308364854112783,0.029607385023828862,0.5613439126804355,0.05293033537182613,0.4417855727893618,0.5655796072536754,0.4901384623786809,0.6471496199572472,0.3184137065705959,0.06993077755533658,0.6105608166927685,0.40526395616813227,0.23649820800637827,0.7590476190476191,0.17471240315544084,75.0
Chi2,Top50,0.5,10,0.7753732010036556,0.02239917568562095,0.6072067838638682,0.05072840116941031,0.48476794420456065,0.6224775929726739,0.541588760679311,0.6793235946281945,0.3878547258925095,0.052768523953062675,0.6490637482665365,0.4611487979320352,0.3245509039983153,0.76994560994561,0.10574719263690294,50.0
Chi2,Top75,0.75,15,0.7884336394167986,0.022247551505830392,0.6222831394108276,0.05599944555997346,0.49057614116399195,0.6329473999637026,0.5475793502837392,0.6839532576528906,0.3987271330932572,0.051125358299105646,0.6535942436099149,0.4857727254782616,0.3523420480056666,0.8866666666666667,0.07584961530496347,25.0
EqualConsensus,Top25,0.25,5,0.7465959585152517,0.024815184720027486,0.568167630240663,0.05893073552184423,0.4512574189572786,0.5844091502253872,0.5038331849194164,0.6555930599254538,0.3383952383727867,0.057770193196518965,0.6201369449275078,0.4290020100545629,0.2862553840014152,0.6711904761904763,0.18209831325647033,75.0
EqualConsensus,Top50,0.5,10,0.7649906196219465,0.02426234839441881,0.5958783110777489,0.05427719634368731,0.47038454945942315,0.6029131740554126,0.5253670828895295,0.6688110959980132,0.3649914145297395,0.05082852894479124,0.6369215069611593,0.44818396101661906,0.318307143994607,0.6782306582306582,0.11482816351737611,50.0
EqualConsensus,Top75,0.75,15,0.7817916261534945,0.020931190682081987,0.6178777027462049,0.05608660141585044,0.4820972557184616,0.6348734546187922,0.544830247656417,0.6814644269446458,0.3963260267605345,0.062893442805879,0.6500171455639966,0.46992618823017707,0.3473809680016711,0.8129248366013071,0.0758601127993495,25.0
L1,Top25,0.25,5,0.7179346459532688,0.03665876765606628,0.5334634764742137,0.062424095015563806,0.41122357013496286,0.5461660842822456,0.4637778894969103,0.6321692774233746,0.28906633648502933,0.0604147800335904,0.5888053483062811,0.37662374833889944,0.286001119997818,0.5903174603174602,0.17143977831983845,75.0
L1,Top50,0.5,10,0.7687978944165966,0.02338529667070269,0.593123476975109,0.05876549349440144,0.4820010134881091,0.6066044260119047,0.5325519308844364,0.6732127234025778,0.37250220540844514,0.05722674501802818,0.6432280813968734,0.45854574093793865,0.31772461999673396,0.6786280386280387,0.12124122737325449,50.0
L1,Top75,0.75,15,0.7842489158527668,0.023652061482291556,0.6147000413655984,0.059959576306607344,0.47335135672377127,0.6204568798301636,0.5338291781117097,0.6747252471320212,0.3806917153446749,0.06785855908903292,0.6420365098394538,0.47618867378553836,0.33708831599680705,0.761047901616787,0.07571073129672354,25.0
MI,Top25,0.25,5,0.7149106768162977,0.05417309707291838,0.5216198481486507,0.08259421355240185,0.3912087355133864,0.5378967826915279,0.447485830438427,0.6248941125375262,0.27560700681851946,0.09996496310029138,0.5738798046508997,0.37193686136979087,0.2797826600028202,0.4780952380952381,0.16470462527579763,75.0
MI,Top50,0.5,10,0.7662571689936613,0.027501521555897922,0.595514544080249,0.04899074556079107,0.4592830520033506,0.6001626116494373,0.5165800075123422,0.6629566542166835,0.3556526474451479,0.05698012158515032,0.629369268672819,0.45808513237077475,0.31278980799484996,0.6566733266733267,0.09762618428514161,50.0
MI,Top75,0.75,15,0.7850228865609195,0.026057112399171613,0.6210397509074242,0.052185662297666156,0.4895090234349203,0.6285470738027145,0.547716313128462,0.6828038407587601,0.39547165447528854,0.0740883554784661,0.6532590154864397,0.47683034445249645,0.3460690440027975,0.7635741314069487,0.08092771640898504,25.0
RF,Top25,0.25,5,0.6491792107882646,0.03026326825700833,0.44704972687388944,0.055422504540026424,0.28617033269077224,0.46382719522902244,0.3511918944801644,0.5721478848024625,0.17001500480812307,0.05217273264472016,0.4932221806815075,0.269157716308507,0.2538402640004642,1.0,0.0,75.0
RF,Top50,0.5,10,0.7541192973714307,0.021897364284156166,0.5791901612353975,0.06073123033852067,0.4329641398171122,0.5903815437020844,0.494585066376979,0.6513244023008404,0.33479628445808934,0.05671118177481026,0.6109371755669377,0.4275369694499643,0.3134254359942861,0.872020202020202,0.08807857731339212,50.0
RF,Top75,0.75,15,0.7731403246103319,0.02875512125701979,0.6015107503734773,0.06989400304352261,0.4657305047003899,0.6059067934051356,0.5219784564942791,0.6682103191050136,0.36548728245879686,0.09390494608558803,0.6329114552463506,0.4500249387256299,0.3370511079975404,0.8772058823529413,0.06463379947539231,25.0
RFE,Top25,0.25,5,0.7189578240469064,0.04188966704660534,0.5235621622092217,0.058111254672648716,0.4024981314415567,0.5373449710028676,0.4526898568928104,0.627297203546064,0.2781910884208886,0.07881130085282209,0.5802357066558992,0.38822271734330116,0.28194514400791376,0.5068915343915343,0.17080261735794822,75.0
RFE,Top50,0.5,10,0.7654575631058301,0.02525624296269676,0.6005965065765868,0.04987345181003756,0.474433490344001,0.6087146422880266,0.5294008156768086,0.671142183580851,0.3705531188671823,0.05305104182775323,0.6395973649270021,0.444495396490143,0.31408533999696375,0.7313120213120214,0.13882351713015345,50.0
RFE,Top75,0.75,15,0.7821893566559655,0.020101232038058525,0.6137424791071957,0.055287602134013236,0.48467357950670736,0.6326354675326665,0.5458257362811868,0.6818473184929946,0.39584431805214765,0.056642464514013335,0.651242447305172,0.4731246216167952,0.3435100160073489,0.7983023735810114,0.08192800505091061,25.0
