dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,total_source_features,feature_reduction_pct,selected_features
German Credit,R1_F1,1,1,Chi2,Top25,0.25,5,20,75.0,status;housing;savings;other_installment_plans;credit_history
German Credit,R1_F1,1,1,Chi2,Top50,0.5,10,20,50.0,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose
German Credit,R1_F1,1,1,Chi2,Top75,0.75,15,20,25.0,status;housing;savings;other_installment_plans;credit_history;duration;amount;property;foreign_worker;purpose;employment_duration;personal_status_sex;installment_rate;other_debtors;age
German Credit,R1_F1,1,1,MI,Top25,0.25,5,20,75.0,people_liable;installment_rate;duration;foreign_worker;status
German Credit,R1_F1,1,1,MI,Top50,0.5,10,20,50.0,people_liable;installment_rate;duration;foreign_worker;status;other_installment_plans;housing;savings;credit_history;amount
German Credit,R1_F1,1,1,MI,Top75,0.75,15,20,25.0,people_liable;installment_rate;duration;foreign_worker;status;other_installment_plans;housing;savings;credit_history;amount;age;property;employment_duration;purpose;personal_status_sex
German Credit,R1_F1,1,1,L1,Top25,0.25,5,20,75.0,amount;installment_rate;savings;status;duration
German Credit,R1_F1,1,1,L1,Top50,0.5,10,20,50.0,amount;installment_rate;savings;status;duration;number_credits;credit_history;other_debtors;foreign_worker;age
German Credit,R1_F1,1,1,L1,Top75,0.75,15,20,25.0,amount;installment_rate;savings;status;duration;number_credits;credit_history;other_debtors;foreign_worker;age;purpose;present_residence;personal_status_sex;housing;property
German Credit,R1_F1,1,1,RF,Top25,0.25,5,20,75.0,amount;age;duration;installment_rate;present_residence
German Credit,R1_F1,1,1,RF,Top50,0.5,10,20,50.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;employment_duration
German Credit,R1_F1,1,1,RF,Top75,0.75,15,20,25.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;telephone;employment_duration;other_installment_plans;people_liable;credit_history;personal_status_sex;housing
German Credit,R1_F1,1,1,RFE,Top25,0.25,5,20,75.0,foreign_worker;status;savings;credit_history;amount
German Credit,R1_F1,1,1,RFE,Top50,0.5,10,20,50.0,foreign_worker;status;savings;credit_history;amount;housing;other_debtors;purpose;duration;installment_rate
German Credit,R1_F1,1,1,RFE,Top75,0.75,15,20,25.0,foreign_worker;status;savings;credit_history;amount;housing;other_debtors;purpose;duration;installment_rate;age;number_credits;other_installment_plans;property;personal_status_sex
German Credit,R1_F1,1,1,EqualConsensus,Top25,0.25,5,20,75.0,status;amount;duration;installment_rate;savings
German Credit,R1_F1,1,1,EqualConsensus,Top50,0.5,10,20,50.0,status;amount;duration;installment_rate;savings;credit_history;foreign_worker;housing;age;other_installment_plans
German Credit,R1_F1,1,1,EqualConsensus,Top75,0.75,15,20,25.0,status;amount;duration;installment_rate;savings;credit_history;foreign_worker;housing;age;other_installment_plans;property;purpose;number_credits;other_debtors;people_liable
German Credit,R1_F2,1,2,Chi2,Top25,0.25,5,20,75.0,status;duration;credit_history;housing;savings
German Credit,R1_F2,1,2,Chi2,Top50,0.5,10,20,50.0,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex
German Credit,R1_F2,1,2,Chi2,Top75,0.75,15,20,25.0,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex;purpose;foreign_worker;number_credits;telephone;other_debtors
German Credit,R1_F2,1,2,MI,Top25,0.25,5,20,75.0,duration;number_credits;installment_rate;amount;status
German Credit,R1_F2,1,2,MI,Top50,0.5,10,20,50.0,duration;number_credits;installment_rate;amount;status;people_liable;housing;credit_history;savings;foreign_worker
German Credit,R1_F2,1,2,MI,Top75,0.75,15,20,25.0,duration;number_credits;installment_rate;amount;status;people_liable;housing;credit_history;savings;foreign_worker;other_installment_plans;telephone;property;employment_duration;purpose
German Credit,R1_F2,1,2,L1,Top25,0.25,5,20,75.0,duration;amount;installment_rate;status;savings
German Credit,R1_F2,1,2,L1,Top50,0.5,10,20,50.0,duration;amount;installment_rate;status;savings;other_debtors;credit_history;purpose;foreign_worker;age
German Credit,R1_F2,1,2,L1,Top75,0.75,15,20,25.0,duration;amount;installment_rate;status;savings;other_debtors;credit_history;purpose;foreign_worker;age;personal_status_sex;people_liable;employment_duration;other_installment_plans;telephone
German Credit,R1_F2,1,2,RF,Top25,0.25,5,20,75.0,amount;duration;age;present_residence;installment_rate
German Credit,R1_F2,1,2,RF,Top50,0.5,10,20,50.0,amount;duration;age;present_residence;installment_rate;number_credits;status;property;telephone;employment_duration
German Credit,R1_F2,1,2,RF,Top75,0.75,15,20,25.0,amount;duration;age;present_residence;installment_rate;number_credits;status;property;telephone;employment_duration;credit_history;other_installment_plans;personal_status_sex;job;savings
German Credit,R1_F2,1,2,RFE,Top25,0.25,5,20,75.0,duration;status;amount;foreign_worker;credit_history
German Credit,R1_F2,1,2,RFE,Top50,0.5,10,20,50.0,duration;status;amount;foreign_worker;credit_history;purpose;savings;other_debtors;installment_rate;property
German Credit,R1_F2,1,2,RFE,Top75,0.75,15,20,25.0,duration;status;amount;foreign_worker;credit_history;purpose;savings;other_debtors;installment_rate;property;employment_duration;telephone;housing;age;other_installment_plans
German Credit,R1_F2,1,2,EqualConsensus,Top25,0.25,5,20,75.0,duration;amount;status;credit_history;installment_rate
German Credit,R1_F2,1,2,EqualConsensus,Top50,0.5,10,20,50.0,duration;amount;status;credit_history;installment_rate;savings;foreign_worker;housing;employment_duration;property
German Credit,R1_F2,1,2,EqualConsensus,Top75,0.75,15,20,25.0,duration;amount;status;credit_history;installment_rate;savings;foreign_worker;housing;employment_duration;property;purpose;other_installment_plans;number_credits;telephone;age
German Credit,R1_F3,1,3,Chi2,Top25,0.25,5,20,75.0,status;duration;credit_history;savings;housing
German Credit,R1_F3,1,3,Chi2,Top50,0.5,10,20,50.0,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration
German Credit,R1_F3,1,3,Chi2,Top75,0.75,15,20,25.0,status;duration;credit_history;savings;housing;other_installment_plans;amount;property;purpose;employment_duration;age;personal_status_sex;foreign_worker;installment_rate;telephone
German Credit,R1_F3,1,3,MI,Top25,0.25,5,20,75.0,duration;installment_rate;amount;number_credits;status
German Credit,R1_F3,1,3,MI,Top50,0.5,10,20,50.0,duration;installment_rate;amount;number_credits;status;age;foreign_worker;other_installment_plans;credit_history;savings
German Credit,R1_F3,1,3,MI,Top75,0.75,15,20,25.0,duration;installment_rate;amount;number_credits;status;age;foreign_worker;other_installment_plans;credit_history;savings;housing;people_liable;property;purpose;personal_status_sex
German Credit,R1_F3,1,3,L1,Top25,0.25,5,20,75.0,duration;status;installment_rate;age;amount
German Credit,R1_F3,1,3,L1,Top50,0.5,10,20,50.0,duration;status;installment_rate;age;amount;purpose;number_credits;savings;foreign_worker;property
German Credit,R1_F3,1,3,L1,Top75,0.75,15,20,25.0,duration;status;installment_rate;age;amount;purpose;number_credits;savings;foreign_worker;property;credit_history;personal_status_sex;other_debtors;telephone;job
German Credit,R1_F3,1,3,RF,Top25,0.25,5,20,75.0,amount;age;duration;installment_rate;present_residence
German Credit,R1_F3,1,3,RF,Top50,0.5,10,20,50.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;employment_duration;credit_history
German Credit,R1_F3,1,3,RF,Top75,0.75,15,20,25.0,amount;age;duration;installment_rate;present_residence;number_credits;status;property;employment_duration;credit_history;telephone;other_installment_plans;personal_status_sex;people_liable;savings
German Credit,R1_F3,1,3,RFE,Top25,0.25,5,20,75.0,status;foreign_worker;purpose;duration;housing
German Credit,R1_F3,1,3,RFE,Top50,0.5,10,20,50.0,status;foreign_worker;purpose;duration;housing;age;installment_rate;savings;credit_history;job
German Credit,R1_F3,1,3,RFE,Top75,0.75,15,20,25.0,status;foreign_worker;purpose;duration;housing;age;installment_rate;savings;credit_history;job;personal_status_sex;amount;property;other_debtors;other_installment_plans
German Credit,R1_F3,1,3,EqualConsensus,Top25,0.25,5,20,75.0,duration;status;amount;age;installment_rate
German Credit,R1_F3,1,3,EqualConsensus,Top50,0.5,10,20,50.0,duration;status;amount;age;installment_rate;credit_history;savings;number_credits;purpose;foreign_worker
German Credit,R1_F3,1,3,EqualConsensus,Top75,0.75,15,20,25.0,duration;status;amount;age;installment_rate;credit_history;savings;number_credits;purpose;foreign_worker;property;other_installment_plans;housing;personal_status_sex;employment_duration
German Credit,R1_F4,1,4,Chi2,Top25,0.25,5,20,75.0,status;housing;savings;credit_history;duration
German Credit,R1_F4,1,4,Chi2,Top50,0.5,10,20,50.0,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age
German Credit,R1_F4,1,4,Chi2,Top75,0.75,15,20,25.0,status;housing;savings;credit_history;duration;amount;employment_duration;property;personal_status_sex;age;other_installment_plans;purpose;other_debtors;foreign_worker;telephone
German Credit,R1_F4,1,4,MI,Top25,0.25,5,20,75.0,age;duration;people_liable;amount;status
German Credit,R1_F4,1,4,MI,Top50,0.5,10,20,50.0,age;duration;people_liable;amount;status;housing;credit_history;savings;foreign_worker;personal_status_sex
German Credit,R1_F4,1,4,MI,Top75,0.75,15,20,25.0,age;duration;people_liable;amount;status;housing;credit_history;savings;foreign_worker;personal_status_sex;employment_duration;property;other_installment_plans;installment_rate;telephone
German Credit,R1_F4,1,4,L1,Top25,0.25,5,20,75.0,credit_history;status;duration;amount;installment_rate
German Credit,R1_F4,1,4,L1,Top50,0.5,10,20,50.0,credit_history;status;duration;amount;installment_rate;other_debtors;personal_status_sex;property;foreign_worker;number_credits
German Credit,R1_F4,1,4,L1,Top75,0.75,15,20,25.0,credit_history;status;duration;amount;installment_rate;other_debtors;personal_status_sex;property;foreign_worker;number_credits;savings;employment_duration;age;purpose;housing
German Credit,R1_F4,1,4,RF,Top25,0.25,5,20,75.0,amount;duration;age;installment_rate;present_residence
German Credit,R1_F4,1,4,RF,Top50,0.5,10,20,50.0,amount;duration;age;installment_rate;present_residence;number_credits;status;property;credit_history;telephone
German Credit,R1_F4,1,4,RF,Top75,0.75,15,20,25.0,amount;duration;age;installment_rate;present_residence;number_credits;status;property;credit_history;telephone;employment_duration;personal_status_sex;housing;other_installment_plans;job
German Credit,R1_F4,1,4,RFE,Top25,0.25,5,20,75.0,status;duration;foreign_worker;credit_history;other_debtors
German Credit,R1_F4,1,4,RFE,Top50,0.5,10,20,50.0,status;duration;foreign_worker;credit_history;other_debtors;savings;housing;amount;property;employment_duration
German Credit,R1_F4,1,4,RFE,Top75,0.75,15,20,25.0,status;duration;foreign_worker;credit_history;other_debtors;savings;housing;amount;property;employment_duration;purpose;installment_rate;number_credits;personal_status_sex;telephone
German Credit,R1_F4,1,4,EqualConsensus,Top25,0.25,5,20,75.0,duration;status;amount;credit_history;housing
German Credit,R1_F4,1,4,EqualConsensus,Top50,0.5,10,20,50.0,duration;status;amount;credit_history;housing;savings;age;property;employment_duration;personal_status_sex
German Credit,R1_F4,1,4,EqualConsensus,Top75,0.75,15,20,25.0,duration;status;amount;credit_history;housing;savings;age;property;employment_duration;personal_status_sex;foreign_worker;installment_rate;other_debtors;number_credits;purpose
German Credit,R1_F5,1,5,Chi2,Top25,0.25,5,20,75.0,status;duration;housing;credit_history;other_installment_plans
German Credit,R1_F5,1,5,Chi2,Top50,0.5,10,20,50.0,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker
German Credit,R1_F5,1,5,Chi2,Top75,0.75,15,20,25.0,status;duration;housing;credit_history;other_installment_plans;savings;amount;property;installment_rate;foreign_worker;purpose;employment_duration;other_debtors;personal_status_sex;age
German Credit,R1_F5,1,5,MI,Top25,0.25,5,20,75.0,present_residence;people_liable;duration;amount;number_credits
German Credit,R1_F5,1,5,MI,Top50,0.5,10,20,50.0,present_residence;people_liable;duration;amount;number_credits;status;foreign_worker;housing;credit_history;other_installment_plans
