source_feature,group_score,transformed_columns,source_rank,source_normalized_score,selector,run_id,repeat,fold
status,0.7583333333333333,4.0,1.0,1.0,Chi2,R1_F1,1,1
housing,0.7166666666666667,3.0,2.0,0.9473684210526316,Chi2,R1_F1,1,1
savings,0.6866666666666666,5.0,3.0,0.8947368421052632,Chi2,R1_F1,1,1
other_installment_plans,0.6833333333333332,3.0,4.0,0.8421052631578947,Chi2,R1_F1,1,1
credit_history,0.6333333333333333,5.0,5.0,0.7894736842105263,Chi2,R1_F1,1,1
duration,0.6,1.0,6.0,0.736842105263158,Chi2,R1_F1,1,1
amount,0.55,1.0,7.0,0.6842105263157895,Chi2,R1_F1,1,1
property,0.5041666666666667,4.0,8.0,0.631578947368421,Chi2,R1_F1,1,1
foreign_worker,0.5,2.0,9.0,0.5789473684210527,Chi2,R1_F1,1,1
purpose,0.49000000000000005,10.0,10.0,0.5263157894736843,Chi2,R1_F1,1,1
employment_duration,0.4800000000000001,5.0,11.0,0.4736842105263158,Chi2,R1_F1,1,1
personal_status_sex,0.4125,4.0,12.0,0.42105263157894735,Chi2,R1_F1,1,1
installment_rate,0.4,1.0,13.0,0.368421052631579,Chi2,R1_F1,1,1
other_debtors,0.39999999999999997,3.0,14.0,0.3157894736842105,Chi2,R1_F1,1,1
age,0.33333333333333337,1.0,15.0,0.26315789473684215,Chi2,R1_F1,1,1
job,0.2875,4.0,16.0,0.21052631578947367,Chi2,R1_F1,1,1
people_liable,0.15000000000000002,1.0,17.0,0.1578947368421053,Chi2,R1_F1,1,1
telephone,0.09999999999999998,2.0,18.0,0.10526315789473684,Chi2,R1_F1,1,1
present_residence,0.08333333333333337,1.0,19.0,0.052631578947368474,Chi2,R1_F1,1,1
number_credits,0.033333333333333326,1.0,20.0,0.0,Chi2,R1_F1,1,1
people_liable,0.9666666666666667,1.0,1.0,1.0,MI,R1_F1,1,1
installment_rate,0.9333333333333333,1.0,2.0,0.9473684210526316,MI,R1_F1,1,1
duration,0.8166666666666667,1.0,3.0,0.8947368421052632,MI,R1_F1,1,1
foreign_worker,0.7416666666666667,2.0,4.0,0.8421052631578947,MI,R1_F1,1,1
status,0.7333333333333334,4.0,5.0,0.7894736842105263,MI,R1_F1,1,1
other_installment_plans,0.7111111111111111,3.0,6.0,0.736842105263158,MI,R1_F1,1,1
housing,0.7000000000000001,3.0,7.0,0.6842105263157895,MI,R1_F1,1,1
savings,0.6599999999999999,5.0,8.0,0.631578947368421,MI,R1_F1,1,1
credit_history,0.5866666666666667,5.0,9.0,0.5789473684210527,MI,R1_F1,1,1
amount,0.55,1.0,10.0,0.5263157894736843,MI,R1_F1,1,1
age,0.5333333333333333,1.0,11.0,0.4736842105263158,MI,R1_F1,1,1
property,0.4708333333333333,4.0,12.0,0.42105263157894735,MI,R1_F1,1,1
employment_duration,0.41666666666666663,5.0,13.0,0.368421052631579,MI,R1_F1,1,1
purpose,0.41500000000000004,10.0,14.0,0.3157894736842105,MI,R1_F1,1,1
personal_status_sex,0.35,4.0,15.0,0.26315789473684215,MI,R1_F1,1,1
other_debtors,0.3333333333333333,3.0,16.0,0.21052631578947367,MI,R1_F1,1,1
job,0.2583333333333333,4.0,17.0,0.1578947368421053,MI,R1_F1,1,1
telephone,0.125,2.0,18.0,0.10526315789473684,MI,R1_F1,1,1
number_credits,0.008333333333333304,1.0,19.5,0.02631578947368418,MI,R1_F1,1,1
present_residence,0.008333333333333304,1.0,19.5,0.02631578947368418,MI,R1_F1,1,1
amount,0.7166666666666667,1.0,1.0,1.0,L1,R1_F1,1,1
installment_rate,0.7,1.0,2.5,0.9210526315789473,L1,R1_F1,1,1
savings,0.7,5.0,2.5,0.9210526315789473,L1,R1_F1,1,1
status,0.6625,4.0,4.0,0.8421052631578947,L1,R1_F1,1,1
duration,0.6333333333333333,1.0,5.0,0.7894736842105263,L1,R1_F1,1,1
