selector,subset,source_feature,selected_runs,total_runs,selection_frequency
Chi2,Top25,status,25,25,1.0
Chi2,Top25,credit_history,21,25,0.84
Chi2,Top25,purpose,0,25,0.0
Chi2,Top25,savings,22,25,0.88
Chi2,Top25,employment_duration,0,25,0.0
Chi2,Top25,personal_status_sex,0,25,0.0
Chi2,Top25,other_debtors,0,25,0.0
Chi2,Top25,property,0,25,0.0
Chi2,Top25,other_installment_plans,8,25,0.32
Chi2,Top25,housing,23,25,0.92
Chi2,Top25,job,0,25,0.0
Chi2,Top25,telephone,0,25,0.0
Chi2,Top25,foreign_worker,0,25,0.0
Chi2,Top25,duration,23,25,0.92
Chi2,Top25,amount,3,25,0.12
Chi2,Top25,installment_rate,0,25,0.0
Chi2,Top25,present_residence,0,25,0.0
Chi2,Top25,age,0,25,0.0
Chi2,Top25,number_credits,0,25,0.0
Chi2,Top25,people_liable,0,25,0.0
Chi2,Top50,status,25,25,1.0
Chi2,Top50,credit_history,25,25,1.0
Chi2,Top50,purpose,10,25,0.4
Chi2,Top50,savings,25,25,1.0
Chi2,Top50,employment_duration,22,25,0.88
Chi2,Top50,personal_status_sex,11,25,0.44
Chi2,Top50,other_debtors,1,25,0.04
Chi2,Top50,property,20,25,0.8
Chi2,Top50,other_installment_plans,22,25,0.88
Chi2,Top50,housing,25,25,1.0
Chi2,Top50,job,0,25,0.0
Chi2,Top50,telephone,1,25,0.04
Chi2,Top50,foreign_worker,10,25,0.4
Chi2,Top50,duration,25,25,1.0
Chi2,Top50,amount,25,25,1.0
Chi2,Top50,installment_rate,2,25,0.08
Chi2,Top50,present_residence,0,25,0.0
Chi2,Top50,age,1,25,0.04
Chi2,Top50,number_credits,0,25,0.0
Chi2,Top50,people_liable,0,25,0.0
Chi2,Top75,status,25,25,1.0
Chi2,Top75,credit_history,25,25,1.0
Chi2,Top75,purpose,25,25,1.0
Chi2,Top75,savings,25,25,1.0
Chi2,Top75,employment_duration,25,25,1.0
Chi2,Top75,personal_status_sex,25,25,1.0
Chi2,Top75,other_debtors,23,25,0.92
Chi2,Top75,property,25,25,1.0
Chi2,Top75,other_installment_plans,25,25,1.0
Chi2,Top75,housing,25,25,1.0
Chi2,Top75,job,0,25,0.0
Chi2,Top75,telephone,9,25,0.36
Chi2,Top75,foreign_worker,25,25,1.0
Chi2,Top75,duration,25,25,1.0
Chi2,Top75,amount,25,25,1.0
Chi2,Top75,installment_rate,17,25,0.68
Chi2,Top75,present_residence,0,25,0.0
Chi2,Top75,age,20,25,0.8
Chi2,Top75,number_credits,4,25,0.16
Chi2,Top75,people_liable,2,25,0.08
EqualConsensus,Top25,status,25,25,1.0
EqualConsensus,Top25,credit_history,20,25,0.8
EqualConsensus,Top25,purpose,0,25,0.0
EqualConsensus,Top25,savings,7,25,0.28
EqualConsensus,Top25,employment_duration,0,25,0.0
EqualConsensus,Top25,personal_status_sex,0,25,0.0
EqualConsensus,Top25,other_debtors,0,25,0.0
EqualConsensus,Top25,property,1,25,0.04
EqualConsensus,Top25,other_installment_plans,2,25,0.08
EqualConsensus,Top25,housing,2,25,0.08
EqualConsensus,Top25,job,0,25,0.0
EqualConsensus,Top25,telephone,0,25,0.0
EqualConsensus,Top25,foreign_worker,3,25,0.12
EqualConsensus,Top25,duration,24,25,0.96
EqualConsensus,Top25,amount,25,25,1.0
EqualConsensus,Top25,installment_rate,14,25,0.56
EqualConsensus,Top25,present_residence,0,25,0.0
EqualConsensus,Top25,age,2,25,0.08
EqualConsensus,Top25,number_credits,0,25,0.0
EqualConsensus,Top25,people_liable,0,25,0.0
EqualConsensus,Top50,status,25,25,1.0
EqualConsensus,Top50,credit_history,25,25,1.0
EqualConsensus,Top50,purpose,3,25,0.12
EqualConsensus,Top50,savings,24,25,0.96
EqualConsensus,Top50,employment_duration,5,25,0.2
EqualConsensus,Top50,personal_status_sex,5,25,0.2
EqualConsensus,Top50,other_debtors,3,25,0.12
EqualConsensus,Top50,property,11,25,0.44
EqualConsensus,Top50,other_installment_plans,16,25,0.64
EqualConsensus,Top50,housing,20,25,0.8
EqualConsensus,Top50,job,0,25,0.0
EqualConsensus,Top50,telephone,0,25,0.0
EqualConsensus,Top50,foreign_worker,22,25,0.88
EqualConsensus,Top50,duration,25,25,1.0
EqualConsensus,Top50,amount,25,25,1.0
EqualConsensus,Top50,installment_rate,23,25,0.92
EqualConsensus,Top50,present_residence,1,25,0.04
EqualConsensus,Top50,age,9,25,0.36
EqualConsensus,Top50,number_credits,7,25,0.28
EqualConsensus,Top50,people_liable,1,25,0.04
EqualConsensus,Top75,status,25,25,1.0
EqualConsensus,Top75,credit_history,25,25,1.0
EqualConsensus,Top75,purpose,25,25,1.0
EqualConsensus,Top75,savings,25,25,1.0
EqualConsensus,Top75,employment_duration,22,25,0.88
EqualConsensus,Top75,personal_status_sex,16,25,0.64
EqualConsensus,Top75,other_debtors,17,25,0.68
EqualConsensus,Top75,property,22,25,0.88
EqualConsensus,Top75,other_installment_plans,23,25,0.92
EqualConsensus,Top75,housing,24,25,0.96
EqualConsensus,Top75,job,0,25,0.0
EqualConsensus,Top75,telephone,5,25,0.2
