selector,subset,selected_source_features,pairwise_comparisons,mean_jaccard,std_jaccard,min_jaccard,max_jaccard
Chi2,Top25,5,300,0.7590476190476191,0.17471240315544084,0.42857142857142855,1.0
Chi2,Top50,10,300,0.76994560994561,0.10574719263690294,0.5384615384615384,1.0
Chi2,Top75,15,300,0.8866666666666667,0.07584961530496347,0.7647058823529411,1.0
EqualConsensus,Top25,5,300,0.6711904761904763,0.18209831325647033,0.25,1.0
EqualConsensus,Top50,10,300,0.6782306582306582,0.11482816351737611,0.3333333333333333,1.0
EqualConsensus,Top75,15,300,0.8129248366013071,0.0758601127993495,0.6666666666666666,1.0
L1,Top25,5,300,0.5903174603174602,0.17143977831983845,0.25,1.0
L1,Top50,10,300,0.6786280386280387,0.12124122737325449,0.42857142857142855,1.0
L1,Top75,15,300,0.761047901616787,0.07571073129672354,0.5789473684210527,1.0
MI,Top25,5,300,0.4780952380952381,0.16470462527579763,0.25,1.0
MI,Top50,10,300,0.6566733266733267,0.09762618428514161,0.42857142857142855,1.0
MI,Top75,15,300,0.7635741314069487,0.08092771640898504,0.5789473684210527,1.0
RF,Top25,5,300,1.0,0.0,1.0,1.0
RF,Top50,10,300,0.872020202020202,0.08807857731339212,0.6666666666666666,1.0
RF,Top75,15,300,0.8772058823529413,0.06463379947539231,0.7647058823529411,1.0
RFE,Top25,5,300,0.5068915343915343,0.17080261735794822,0.1111111111111111,1.0
RFE,Top50,10,300,0.7313120213120214,0.13882351713015345,0.42857142857142855,1.0
RFE,Top75,15,300,0.7983023735810114,0.08192800505091061,0.5789473684210527,1.0
