dataset,run_id,source_feature,selected
German Credit,R1_F1,status,1
German Credit,R1_F1,credit_history,1
German Credit,R1_F1,purpose,1
German Credit,R1_F1,savings,1
German Credit,R1_F1,employment_duration,1
German Credit,R1_F1,personal_status_sex,1
German Credit,R1_F1,other_debtors,1
German Credit,R1_F1,property,1
German Credit,R1_F1,other_installment_plans,1
German Credit,R1_F1,housing,1
German Credit,R1_F1,job,0
German Credit,R1_F1,telephone,0
German Credit,R1_F1,foreign_worker,1
German Credit,R1_F1,duration,1
German Credit,R1_F1,amount,1
German Credit,R1_F1,installment_rate,1
German Credit,R1_F1,present_residence,0
German Credit,R1_F1,age,1
German Credit,R1_F1,number_credits,0
German Credit,R1_F1,people_liable,0
German Credit,R1_F2,status,1
German Credit,R1_F2,credit_history,1
German Credit,R1_F2,purpose,1
German Credit,R1_F2,savings,1
German Credit,R1_F2,employment_duration,1
German Credit,R1_F2,personal_status_sex,1
German Credit,R1_F2,other_debtors,1
German Credit,R1_F2,property,1
German Credit,R1_F2,other_installment_plans,1
German Credit,R1_F2,housing,1
German Credit,R1_F2,job,0
German Credit,R1_F2,telephone,1
German Credit,R1_F2,foreign_worker,1
German Credit,R1_F2,duration,1
German Credit,R1_F2,amount,1
German Credit,R1_F2,installment_rate,0
German Credit,R1_F2,present_residence,0
German Credit,R1_F2,age,0
German Credit,R1_F2,number_credits,1
German Credit,R1_F2,people_liable,0
German Credit,R1_F3,status,1
German Credit,R1_F3,credit_history,1
German Credit,R1_F3,purpose,1
German Credit,R1_F3,savings,1
German Credit,R1_F3,employment_duration,1
German Credit,R1_F3,personal_status_sex,1
German Credit,R1_F3,other_debtors,0
German Credit,R1_F3,property,1
German Credit,R1_F3,other_installment_plans,1
German Credit,R1_F3,housing,1
German Credit,R1_F3,job,0
German Credit,R1_F3,telephone,1
German Credit,R1_F3,foreign_worker,1
German Credit,R1_F3,duration,1
German Credit,R1_F3,amount,1
German Credit,R1_F3,installment_rate,1
German Credit,R1_F3,present_residence,0
German Credit,R1_F3,age,1
German Credit,R1_F3,number_credits,0
German Credit,R1_F3,people_liable,0
German Credit,R1_F4,status,1
German Credit,R1_F4,credit_history,1
German Credit,R1_F4,purpose,1
German Credit,R1_F4,savings,1
German Credit,R1_F4,employment_duration,1
German Credit,R1_F4,personal_status_sex,1
German Credit,R1_F4,other_debtors,1
German Credit,R1_F4,property,1
German Credit,R1_F4,other_installment_plans,1
German Credit,R1_F4,housing,1
German Credit,R1_F4,job,0
German Credit,R1_F4,telephone,1
German Credit,R1_F4,foreign_worker,1
German Credit,R1_F4,duration,1
German Credit,R1_F4,amount,1
German Credit,R1_F4,installment_rate,0
