dataset,run_id,repeat,fold,source_feature,permutation_repeat,selected_in_fold,roc_auc_drop,pr_auc_drop,mcc_drop,balanced_accuracy_drop,brier_increase,log_loss_increase
German Credit,R1_F1,1,1,status,1,1,0.15093704410279418,0.18382816279131353,0.1737761783369665,0.09336774772752776,0.04593114282984348,0.11277328326102204
German Credit,R1_F1,1,1,status,2,1,0.1497026147458197,0.13674597360094076,0.24449975865146345,0.1307372909886657,0.0439297820768752,0.11420897000882563
German Credit,R1_F1,1,1,status,3,1,0.10571204129727285,0.11311236017664772,0.11798485758666138,0.06705195825384358,0.03335154152810019,0.08734862741123689
German Credit,R1_F1,1,1,status,4,1,0.13399169565705304,0.17531662466554532,0.1627560822939536,0.08601728201099768,0.042133149628802796,0.10504533154692547
German Credit,R1_F1,1,1,status,5,1,0.12220850634047797,0.13737550691486322,0.17975985653815024,0.09707103579845133,0.036913894342182896,0.09251780894119815
German Credit,R1_F1,1,1,credit_history,1,1,0.02670856245090336,0.03137172612582517,0.054700506933019366,0.02985074626865669,0.011377125014187084,0.02899998755181743
German Credit,R1_F1,1,1,credit_history,2,1,0.022893053529345675,0.04082099758733726,0.015000848042324877,0.007518796992481258,0.009137893782596274,0.02239437153795165
German Credit,R1_F1,1,1,credit_history,3,1,0.021883065873639307,0.01941471770220593,-0.0016350535351818407,-5.6110425317057455e-05,0.007376946762703923,0.018660024306419498
German Credit,R1_F1,1,1,credit_history,4,1,0.02064863651666471,0.014624146049325715,0.017699990431433554,0.011109864212770715,0.006870304309394282,0.01973704394529391
German Credit,R1_F1,1,1,credit_history,5,1,0.03007518796992481,0.05160876269910597,0.034994457306252946,0.01868477163056892,0.012106396932719865,0.030449553806559726
German Credit,R1_F1,1,1,purpose,1,1,0.007518796992481147,0.0016410145044223334,-0.003729329601415643,-0.00011222085063411491,0.002209591152068563,0.008845468965622105
German Credit,R1_F1,1,1,purpose,2,1,0.03512512624845687,0.030352815093703578,0.09887526980010325,0.0523510268207833,0.009704029872366238,0.023784302638689137
German Credit,R1_F1,1,1,purpose,3,1,0.024127482886320162,0.015568711718156547,0.034994457306252946,0.01868477163056892,0.007316947551837316,0.017545830123284256
German Credit,R1_F1,1,1,purpose,4,1,0.03063629222309494,0.023091563175926755,0.0819879505299812,0.04477611940298498,0.007737219542108265,0.019935556183679204
German Credit,R1_F1,1,1,purpose,5,1,0.02794299180787785,-0.022745570726026343,0.15393651684654241,0.08220177308943999,0.0065666611192728985,0.017224219194326207
German Credit,R1_F1,1,1,savings,1,1,0.0025810795645830886,0.03321014532449773,-0.04254640054528208,-0.02244417012680966,0.00023617249355620262,0.0038675129647144924
German Credit,R1_F1,1,1,savings,2,1,0.020536415666030705,0.055674306801268836,0.01370085314163616,0.00746268656716409,0.009249703794702302,0.022513878387232233
German Credit,R1_F1,1,1,savings,3,1,0.010324318258332355,0.010569416673698928,0.028785335669454126,0.014981483559645348,0.00284225552121381,0.0037091108062138334
German Credit,R1_F1,1,1,savings,4,1,0.004601054875995936,0.0486242840994533,-0.030772290287931214,-0.015037593984962405,0.004423388811347684,0.010343923981341208
German Credit,R1_F1,1,1,savings,5,1,-0.006621030187409005,-0.008530922728044121,-0.00940409098269357,-0.0038155089215576865,-0.0016267170712652435,-0.00022243736280058712
German Credit,R1_F1,1,1,employment_duration,1,1,0.014813152283694175,0.012387813095845246,0.017699990431433554,0.011109864212770715,0.00501673645450168,0.014106966046838254
German Credit,R1_F1,1,1,employment_duration,2,1,0.016159802491302777,0.04332220796839015,0.011964108322544076,0.007406576141847143,0.006302548002322689,0.016275317934704214
