dataset,source_feature,Selection_Frequency,ROC_AUC_Drop_Mean,ROC_AUC_Drop_SD,PR_AUC_Drop_Mean,MCC_Drop_Mean,Balanced_Accuracy_Drop_Mean,Brier_Increase_Mean,LogLoss_Increase_Mean,Permutation_Rank
Australian Credit Approval,a8,1.0,0.2471659492647205,0.02712529323054971,0.20068110962001243,0.40929864781231,0.21329840431748753,0.15882740584953378,0.4165508310044018,1.0
Australian Credit Approval,a14,1.0,0.01404993052601813,0.004874878621862839,0.006532072709695742,0.029220560005299295,0.013135475529053316,0.00977544679628742,0.030134799471872222,2.0
Australian Credit Approval,a10,1.0,0.0076246695400434585,0.004703383474722059,0.005228586758006554,0.03405664140207114,0.016942141905272722,0.00613522421415645,0.016004482310723066,3.0
Australian Credit Approval,a3,1.0,0.005931780733758035,0.005721099192153053,0.008492807306163084,0.008021432425966677,0.00412726083842984,0.004043882084869626,0.012314782410146835,4.0
Australian Credit Approval,a5,1.0,0.003200950146580581,0.007542594884319295,0.007987852434732134,0.007691268763681773,0.005334232361527618,0.002352360317412123,0.007483655976929536,5.0
Australian Credit Approval,a4,1.0,0.0022442309705079906,0.0036352949850282116,0.0024661385378647225,0.01087908291955273,0.005386209545877326,0.002498539874616916,0.005917975428292285,6.0
Australian Credit Approval,a9,1.0,0.002116700287507342,0.0032654236280111695,-0.0018104654055254772,0.016848303747110053,0.008938716313236117,0.002168789055394523,0.003875770470507332,7.0
Australian Credit Approval,a7,1.0,0.0017213979400620403,0.0035138083318241742,0.003781994103125194,-0.0008340104306345833,0.0009998582799633465,0.0015243310761321855,0.006040280549109815,8.0
Australian Credit Approval,a12,0.88,0.00048505503100592046,0.0018107822120617349,0.0010497051604010724,-0.0009143555840692105,-0.00048782546917275127,0.0006411177917964698,0.0019033045112340058,9.0
Australian Credit Approval,a13,0.04,6.960950764006757e-05,0.00034804753820033785,4.037380155860859e-05,0.0006909815205135414,0.00036332767402376745,0.00012283117426881813,0.00038005558966449396,10.0
Australian Credit Approval,a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Australian Credit Approval,a11,0.08,-0.00011023267419465733,0.00046897491545260124,4.126244765272613e-05,0.0003395114653272327,0.00016337719298245725,-6.776797365107058e-06,-5.4241137145413005e-05,12.0
Australian Credit Approval,a6,1.0,-0.000860314868834526,0.002847394751606706,-0.0012783768984351571,0.00332992321987496,0.002454865496400848,0.0007371912728131691,0.0002668952573165522,13.0
Australian Credit Approval,a2,1.0,-0.002080371506605485,0.0035606729428005147,-0.0035683293051275537,-0.0018806725266587063,-0.0005371051601149326,0.0005257298721459251,-0.0020934844928653467,14.0
German Credit,status,1.0,0.10102516487765005,0.017720913114824,0.12958572882483843,0.1714270840560218,0.09250821249898734,0.030567552822477567,0.07783607335248761,1.0
German Credit,duration,1.0,0.03271507919300712,0.011949038684269934,0.05655746008808775,0.059907350988294514,0.03168847784001996,0.011585487776272368,0.02746391724068109,2.0
German Credit,purpose,1.0,0.022949049153660663,0.008867958868867458,0.03344984385382296,0.04006576200560513,0.021343525305363733,0.00752176479226129,0.020463943332495575,3.0
German Credit,amount,1.0,0.022796274457703068,0.008732696112068707,0.0325883525188727,0.04696117381567331,0.024220160764025157,0.0074282875822162964,0.018582159292464994,4.0
German Credit,credit_history,1.0,0.017463835481693533,0.008339390195714672,0.027109609161400806,0.030275671567238874,0.016636300615126297,0.006051806556061748,0.01569032897562821,5.0
German Credit,savings,1.0,0.014911696310769905,0.008619072972805068,0.03629493424253442,0.03085437653385905,0.01633717624468951,0.006019295249827781,0.013010968060566987,6.0
German Credit,employment_duration,1.0,0.007996990547039794,0.005985031536310529,0.010675259341316808,0.01357281009081049,0.007746568122417557,0.0025431229830807367,0.006824347488647599,7.0
German Credit,other_installment_plans,1.0,0.007334295196499691,0.0059826124882005,0.003147260850258929,0.008854480730864527,0.004922694651758613,0.0016592353388770501,0.006729268059253168,8.0
German Credit,other_debtors,0.92,0.006344481691262164,0.005416981955285645,0.0076877406142953205,0.010712802627718898,0.005035178853326812,0.002251628981863397,0.005726158197870448,9.0
German Credit,age,0.8,0.004209507551102526,0.005923460720561813,0.0070635669421062475,0.004497236762203483,0.003145838821091633,0.0013255438884580643,0.003931034513607979,10.0
German Credit,foreign_worker,1.0,0.0031302289554258618,0.003889080557571349,0.0033490457867743502,0.002683575507601011,0.0015499937373648996,0.0007990949049571697,0.002745953144802103,11.0
German Credit,property,1.0,0.002818942466850839,0.007150144032624916,0.005775707268235437,0.008942291179527682,0.004216141543729612,0.0010745109514887956,0.00243981990731016,12.0
German Credit,personal_status_sex,1.0,0.001796173658249458,0.005823266640511781,0.004000030781595642,0.003449257887900492,0.002174802211490081,0.0006770239586740303,0.0014811406971228275,13.0
German Credit,telephone,0.36,0.0010080251984902419,0.0019710061298472124,0.0021077800388578333,0.0011542355691019123,0.0007315396816288241,0.00037301262646147323,0.0008415579975894265,14.0
German Credit,installment_rate,0.68,0.0009586753134658944,0.005339094860778272,0.009064231405798939,0.0008067088092938421,3.1731942862256726e-05,0.0007623861280154384,0.001648954833148811,15.0
German Credit,housing,1.0,0.0006280976392414734,0.0044240205975099745,0.005403296734354477,0.0028670750697294177,0.0016780168522093598,0.0005476376142732147,0.0009260979110389277,16.0
German Credit,people_liable,0.08,0.00014503316025617696,0.0007902201351683963,0.0003323978408731438,-0.0002582203332496586,-0.00011205733987032309,4.946557541200458e-05,0.00016742485336642112,17.0
German Credit,job,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
German Credit,present_residence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
German Credit,number_credits,0.16,-0.00017437750724875033,0.0012585559383374116,0.00020696762317458804,0.0005577645513605231,0.000311297392341288,-1.2576191930011361e-05,-2.3368134151271913e-05,20.0
Taiwan Credit Card Default,pay_0,1.0,0.08053583722685057,0.00419139267219096,0.19757410390687344,0.18383861855396536,0.08649523815717278,0.029473592514824936,0.06893109206851059,1.0
Taiwan Credit Card Default,limit_bal,1.0,0.015485345116129446,0.0025376956963515758,0.0127544721835761,0.00895989854578755,0.008665196774590102,0.0020769218709428463,0.007023598074798609,2.0
Taiwan Credit Card Default,bill_amt1,0.76,0.01338885122479512,0.008166901157707634,0.013439041734421262,0.00393558114398839,0.006227542540860467,0.0020453741078048705,0.0071137079546695955,3.0
Taiwan Credit Card Default,pay_amt1,1.0,0.007178654279624964,0.0020080234281515956,0.006089886470292798,0.002839136879772681,0.00780081005516579,0.0011555531354255392,0.00377924014133143,4.0
Taiwan Credit Card Default,pay_amt3,1.0,0.0068283912851784855,0.002033791260921067,0.0061802947744990285,0.0019156317696215736,0.006056188233324869,0.0009737210139015475,0.003233221636424285,5.0
Taiwan Credit Card Default,pay_amt4,1.0,0.006100797688346281,0.0018298836203659772,0.005540822050605898,0.0030002604278128496,0.00689369286762545,0.0009473497646434696,0.0030370179727894865,6.0
Taiwan Credit Card Default,pay_amt2,1.0,0.005605920040660128,0.0015170500380804325,0.004318326906847855,0.004104441030727085,0.007089378920231737,0.0009391867561550008,0.0029424283428837955,7.0
Taiwan Credit Card Default,pay_2,1.0,0.005491875151911161,0.001018593354214552,0.011522807424684057,0.011585421040225252,0.009114368310727592,0.001897340556595624,0.0049281469403231635,8.0
Taiwan Credit Card Default,pay_3,1.0,0.004416495540732415,0.0013334130630970112,0.007983532793108213,0.007360215501492644,0.0055846665054563645,0.0013702586480937124,0.003546929770853639,9.0
Taiwan Credit Card Default,education,1.0,0.003448513263829908,0.0010133633473119186,0.004062891588005,0.0019080675113120327,0.0015500600348162736,0.0006298176217222015,0.002050401207711982,10.0
Taiwan Credit Card Default,pay_amt6,1.0,0.002968331331929585,0.0011125925235755364,0.004883763444182455,0.002139314259608603,0.003981265212052967,0.0006701948941477271,0.0018891576425990805,11.0
Taiwan Credit Card Default,bill_amt2,0.36,0.002749776805187335,0.0039528236827595705,0.003513302645640185,0.0014629362385405525,0.0016336570532258757,0.0006066020247825732,0.001934079155511022,12.0
Taiwan Credit Card Default,pay_amt5,1.0,0.0019413685072617256,0.0009245580562888687,0.003334491845166288,0.0024175498416701456,0.004530329451847202,0.0005227294608874465,0.0013890905579304396,13.0
Taiwan Credit Card Default,pay_4,1.0,0.0019049200002181435,0.000890413745333424,0.005120572409408555,0.004662045328322253,0.0036222495191639494,0.0005878527016810409,0.0016301487530763364,14.0
Taiwan Credit Card Default,pay_6,1.0,0.0018888003409924456,0.0007741068239862719,0.0044091617353253934,0.002451809954274257,0.0025248810278723755,0.0004597456069707497,0.0013425751851665708,15.0
