Top_Order,dataset,source_feature,Selection_Frequency,ROC_AUC_Drop_Mean,PR_AUC_Drop_Mean,MCC_Drop_Mean,Balanced_Accuracy_Drop_Mean,Brier_Increase_Mean,LogLoss_Increase_Mean,Permutation_Rank,Mean_Absolute_SHAP,SHAP_Share_Mean,SHAP_Rank
1,German Credit,status,1.0,0.10102516487765005,0.12958572882483843,0.1714270840560218,0.09250821249898734,0.030567552822477567,0.07783607335248761,1.0,0.9807438611984253,0.19876594483852386,1.0
2,German Credit,duration,1.0,0.03271507919300712,0.05655746008808775,0.059907350988294514,0.03168847784001996,0.011585487776272368,0.02746391724068109,2.0,0.4597580337524414,0.09311876684427262,3.0
3,German Credit,purpose,1.0,0.022949049153660663,0.03344984385382296,0.04006576200560513,0.021343525305363733,0.00752176479226129,0.020463943332495575,3.0,0.5880120420455932,0.11909480005502701,2.0
4,German Credit,amount,1.0,0.022796274457703068,0.0325883525188727,0.04696117381567331,0.024220160764025157,0.0074282875822162964,0.018582159292464994,4.0,0.4550452733039856,0.09224913030862808,4.0
5,German Credit,credit_history,1.0,0.017463835481693533,0.027109609161400806,0.030275671567238874,0.016636300615126297,0.006051806556061748,0.01569032897562821,5.0,0.4416409933567047,0.08929428547620773,5.0
6,German Credit,savings,1.0,0.014911696310769905,0.03629493424253442,0.03085437653385905,0.01633717624468951,0.006019295249827781,0.013010968060566987,6.0,0.36256596326828006,0.07356653183698654,6.0
7,German Credit,employment_duration,1.0,0.007996990547039794,0.010675259341316808,0.01357281009081049,0.007746568122417557,0.0025431229830807367,0.006824347488647599,7.0,0.3495809984207153,0.07072789043188095,7.0
8,German Credit,other_installment_plans,1.0,0.007334295196499691,0.003147260850258929,0.008854480730864527,0.004922694651758613,0.0016592353388770501,0.006729268059253168,8.0,0.1994311684370041,0.04048445597290993,10.0
9,German Credit,other_debtors,0.92,0.006344481691262164,0.0076877406142953205,0.010712802627718898,0.005035178853326812,0.002251628981863397,0.005726158197870448,9.0,0.11912604749202728,0.024084231331944466,14.0
10,German Credit,age,0.8,0.004209507551102526,0.0070635669421062475,0.004497236762203483,0.003145838821091633,0.0013255438884580643,0.003931034513607979,10.0,0.20453982472419738,0.041525656878948214,9.0
1,Australian Credit Approval,a8,1.0,0.2471659492647205,0.20068110962001243,0.40929864781231,0.21329840431748753,0.15882740584953378,0.4165508310044018,1.0,2.138422102928162,0.36573736906051635,1.0
2,Australian Credit Approval,a14,1.0,0.01404993052601813,0.006532072709695742,0.029220560005299295,0.013135475529053316,0.00977544679628742,0.030134799471872222,2.0,0.6236802840232849,0.1065929564833641,2.0
3,Australian Credit Approval,a10,1.0,0.0076246695400434585,0.005228586758006554,0.03405664140207114,0.016942141905272722,0.00613522421415645,0.016004482310723066,3.0,0.4725812458992004,0.08084638878703117,6.0
