dataset,source_feature,Selection_Frequency,Mean_Absolute_SHAP,SHAP_Share_Mean,SHAP_Share_SD,SHAP_Rank
Australian Credit Approval,a8,1.0,2.138422102928162,0.36573736906051635,0.013498397438554108,1.0
Australian Credit Approval,a14,1.0,0.6236802840232849,0.1065929564833641,0.017560596195285025,2.0
Australian Credit Approval,a5,1.0,0.5618027222156524,0.09607856318354607,0.017119231387225292,3.0
Australian Credit Approval,a7,1.0,0.5180707597732543,0.08848008632659912,0.012624252731426384,4.0
Australian Credit Approval,a3,1.0,0.5176020324230194,0.08836246460676193,0.011167383138086757,5.0
Australian Credit Approval,a10,1.0,0.4725812458992004,0.08084638878703117,0.011934727700486586,6.0
Australian Credit Approval,a2,1.0,0.3792128837108612,0.06474384635686875,0.007582161227845859,7.0
Australian Credit Approval,a4,1.0,0.28040038466453554,0.04786608412861824,0.011361009823605397,8.0
Australian Credit Approval,a6,1.0,0.24667397260665894,0.04219188667833805,0.011706556682945235,9.0
Australian Credit Approval,a12,0.88,0.0597512549161911,0.010215672198683023,0.00586010416786191,10.0
Australian Credit Approval,a9,1.0,0.026415561847388743,0.004525689552538097,0.002366921247878581,11.0
Australian Credit Approval,a13,0.04,0.017193844318389894,0.003072967827320099,0.015364839136600493,12.0
Australian Credit Approval,a11,0.08,0.007537033259868622,0.0012860162556171417,0.004502204115721033,13.0
Australian Credit Approval,a1,0.0,0.0,0.0,0.0,14.0
German Credit,status,1.0,0.9807438611984253,0.19876594483852386,0.015492803645902841,1.0
German Credit,purpose,1.0,0.5880120420455932,0.11909480005502701,0.010133024171907961,2.0
German Credit,duration,1.0,0.4597580337524414,0.09311876684427262,0.010429737207312119,3.0
German Credit,amount,1.0,0.4550452733039856,0.09224913030862808,0.0127127574346004,4.0
German Credit,credit_history,1.0,0.4416409933567047,0.08929428547620773,0.015155951680209296,5.0
German Credit,savings,1.0,0.36256596326828006,0.07356653183698654,0.011686805990127492,6.0
German Credit,employment_duration,1.0,0.3495809984207153,0.07072789043188095,0.010439570226758788,7.0
German Credit,property,1.0,0.2336628383398056,0.04723693944513798,0.010517372921251282,8.0
German Credit,age,0.8,0.20453982472419738,0.041525656878948214,0.021893182174454028,9.0
German Credit,other_installment_plans,1.0,0.1994311684370041,0.04048445597290993,0.007825536663210291,10.0
German Credit,personal_status_sex,1.0,0.18226805925369263,0.036753329560160634,0.012522676670174999,11.0
German Credit,housing,1.0,0.14067722588777543,0.02844369649887085,0.005619438447955063,12.0
German Credit,installment_rate,0.68,0.12243784815073014,0.024711795300245285,0.018451802482320236,13.0
German Credit,other_debtors,0.92,0.11912604749202728,0.024084231331944466,0.00862660976300045,14.0
German Credit,foreign_worker,1.0,0.04416317448019982,0.008924182951450348,0.0028878134562035237,15.0
German Credit,telephone,0.36,0.04330449163913727,0.0086793152987957,0.012274885962639863,16.0
German Credit,number_credits,0.16,0.009830500185489654,0.0019706115685403348,0.005484227386141686,17.0
German Credit,people_liable,0.08,0.0018319502100348473,0.000368446446955204,0.0013527828297977176,18.0
German Credit,job,0.0,0.0,0.0,0.0,19.0
German Credit,present_residence,0.0,0.0,0.0,0.0,19.0
Taiwan Credit Card Default,pay_0,1.0,0.5119741106033325,0.25800183057785037,0.006315978645632414,1.0
Taiwan Credit Card Default,limit_bal,1.0,0.21979327976703644,0.1107541236281395,0.005620986001746272,2.0
Taiwan Credit Card Default,bill_amt1,0.76,0.14880019605159758,0.0748695808649063,0.043271796431019964,3.0
Taiwan Credit Card Default,pay_2,1.0,0.10607070237398147,0.053460257202386854,0.003778294331209369,4.0
Taiwan Credit Card Default,pay_amt1,1.0,0.10503126710653304,0.052898446023464205,0.0062643736583034085,5.0
Taiwan Credit Card Default,pay_amt2,1.0,0.09896601855754852,0.0498975045979023,0.005685140938133519,6.0
Taiwan Credit Card Default,pay_amt3,1.0,0.0981913784146309,0.049481656849384305,0.004302584204675871,7.0
Taiwan Credit Card Default,pay_3,1.0,0.09060713827610016,0.04564624041318893,0.004614121189972719,8.0
Taiwan Credit Card Default,pay_amt4,1.0,0.0844629806280136,0.042576373517513276,0.006561993126492583,9.0
Taiwan Credit Card Default,pay_6,1.0,0.06991444289684295,0.0352542669326067,0.003375405283103233,10.0
Taiwan Credit Card Default,marriage,1.0,0.06834997296333313,0.03444193355739117,0.004536440618873482,11.0
Taiwan Credit Card Default,education,1.0,0.05536129146814346,0.02790195696055889,0.004685012083326628,12.0
Taiwan Credit Card Default,pay_4,1.0,0.05444677606225014,0.02743562504649162,0.00432259069390309,13.0
Taiwan Credit Card Default,pay_amt6,1.0,0.051623850762844085,0.026020843461155893,0.004142613441211804,14.0
Taiwan Credit Card Default,pay_5,1.0,0.049148910343647004,0.024761083200573922,0.004450339798678221,15.0
Taiwan Credit Card Default,sex,1.0,0.04801833651959896,0.024198602810502054,0.004933862308435101,16.0
Taiwan Credit Card Default,bill_amt2,0.36,0.04764352858066559,0.02400263264775276,0.034327194007557287,17.0
Taiwan Credit Card Default,age,0.88,0.03896465465426445,0.01969573676586151,0.007722640639297759,18.0
Taiwan Credit Card Default,pay_amt5,1.0,0.03712370172142983,0.018701312877237797,0.003677357096523244,19.0
Taiwan Credit Card Default,bill_amt3,0.0,0.0,0.0,0.0,20.0
Taiwan Credit Card Default,bill_amt4,0.0,0.0,0.0,0.0,20.0
Taiwan Credit Card Default,bill_amt5,0.0,0.0,0.0,0.0,20.0
Taiwan Credit Card Default,bill_amt6,0.0,0.0,0.0,0.0,20.0
