dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R1_F1,1,1,0.81,0.7959183673469388,0.582089552238806,0.924812030075188,0.6724137931034483,0.753450791156997,0.5562888497938473,0.8305465155425878,0.7029175365070379,0.7337052681366867,123,10,28,39,19.0,33.0,75.0,145.0,A0_Baseline_XGB
German Credit,R1_F2,1,2,0.765,0.5128205128205128,0.4166666666666667,0.875,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.7420504385964911,0.476023150179116,0.60380736442456,133,19,28,20,23.5,37.5,79.5,149.5,A0_Baseline_XGB
German Credit,R1_F3,1,3,0.755,0.6521739130434783,0.4761904761904761,0.8832116788321168,0.5504587155963303,0.6797010775112965,0.3967089138052003,0.7814853435291392,0.6698895847519888,0.6485190744458142,121,16,33,30,24.5,41.0,90.5,173.0,A0_Baseline_XGB
German Credit,R1_F4,1,4,0.745,0.7297297297297297,0.3970588235294117,0.9242424242424242,0.5142857142857142,0.660650623885918,0.3919757230117758,0.7742869875222818,0.6871894209532132,0.6057875944798378,122,10,41,27,25.5,46.0,107.5,210.0,A0_Baseline_XGB
German Credit,R1_F5,1,5,0.76,0.5576923076923077,0.5370370370370371,0.8424657534246576,0.5471698113207547,0.6897513952308474,0.3841101220961904,0.7954084221207509,0.5809594924991544,0.6726331184415121,123,23,25,29,24.0,36.5,74.0,136.5,A0_Baseline_XGB
German Credit,R2_F1,2,1,0.805,0.7608695652173914,0.5555555555555556,0.9197080291970804,0.6422018348623854,0.7376317923763179,0.5245970227043623,0.8097555323832696,0.7158187572378861,0.7148069005748959,126,11,28,35,19.5,33.5,75.5,145.5,A0_Baseline_XGB
German Credit,R2_F2,2,2,0.775,0.5121951219512195,0.4565217391304347,0.8701298701298701,0.4827586206896552,0.6633258046301524,0.3405129144675902,0.8027950310559008,0.5495064512871637,0.6302643902213004,134,20,25,21,22.5,35.0,72.5,135.0,A0_Baseline_XGB
German Credit,R2_F3,2,3,0.725,0.6,0.4615384615384615,0.8518518518518519,0.5217391304347826,0.6566951566951567,0.3389834532487511,0.7603418803418803,0.6347435895073967,0.6270266287506402,115,20,35,30,27.5,45.0,97.5,185.0,A0_Baseline_XGB
German Credit,R2_F4,2,4,0.77,0.625,0.5172413793103449,0.8732394366197183,0.5660377358490566,0.6952404079650316,0.4148732738290014,0.8000242836328315,0.6199497186338137,0.6720681294819533,124,18,28,30,23.0,37.0,79.0,149.0,A0_Baseline_XGB
German Credit,R2_F5,2,5,0.725,0.6382978723404256,0.4411764705882353,0.8712121212121212,0.5217391304347826,0.6561942959001783,0.3490132725484676,0.7781862745098038,0.6346753506296392,0.619966360998767,115,17,38,30,27.5,46.5,103.5,198.5,A0_Baseline_XGB
German Credit,R3_F1,3,1,0.78,0.6190476190476191,0.4814814814814814,0.8904109589041096,0.5416666666666666,0.6859462201927955,0.4053568061931211,0.8012430238457635,0.6175357464600374,0.6547643756501244,130,16,28,26,22.0,36.0,78.0,148.0,A0_Baseline_XGB
German Credit,R3_F2,3,2,0.765,0.6666666666666666,0.5757575757575758,0.8582089552238806,0.6178861788617886,0.7169832654907282,0.452038220783977,0.7990728177295342,0.6924571481464091,0.7029369157706425,115,19,28,38,23.5,37.5,79.5,149.5,A0_Baseline_XGB
German Credit,R3_F3,3,3,0.775,0.55,0.4489795918367347,0.8807947019867549,0.4943820224719101,0.6648871469117448,0.3545792570360052,0.770509528314637,0.5528639169617,0.6288551866606267,133,18,27,22,22.5,36.0,76.5,144.0,A0_Baseline_XGB
German Credit,R3_F4,3,4,0.685,0.5652173913043478,0.3768115942028985,0.8473282442748091,0.4521739130434782,0.6120699192388539,0.2531861655730476,0.7631375152118597,0.5685538680470902,0.565051419375559,111,20,43,26,31.5,53.0,117.5,225.0,A0_Baseline_XGB
German Credit,R3_F5,3,5,0.73,0.5952380952380952,0.4032258064516129,0.8768115942028986,0.4807692307692308,0.6400187003272557,0.3179788520117877,0.7702197288452549,0.6594730988384339,0.5946032813385645,121,17,37,25,27.0,45.5,101.0,193.5,A0_Baseline_XGB
German Credit,R4_F1,4,1,0.79,0.7021276595744681,0.5409836065573771,0.8992805755395683,0.6111111111111112,0.7201320910484728,0.4780694896171276,0.8307583441443567,0.6870645050839365,0.6974926874615887,125,14,28,33,21.0,35.0,77.0,147.0,A0_Baseline_XGB
German Credit,R4_F2,4,2,0.8,0.6944444444444444,0.4629629629629629,0.9246575342465754,0.5555555555555556,0.6938102486047691,0.4479266144617314,0.7539320142059869,0.6167948388519782,0.6542799032377671,135,11,29,25,20.0,34.5,78.0,150.5,A0_Baseline_XGB
German Credit,R4_F3,4,3,0.76,0.625,0.5645161290322581,0.8478260869565217,0.5932203389830508,0.70617110799439,0.4247348814202704,0.7751285647498831,0.6251813364716579,0.691817534253984,117,21,27,35,24.0,37.5,78.0,145.5,A0_Baseline_XGB
German Credit,R4_F4,4,4,0.755,0.6481481481481481,0.5384615384615384,0.8592592592592593,0.5882352941176471,0.6988603988603989,0.4195933113578837,0.8011396011396013,0.6944713424677722,0.6802044271232456,116,19,30,35,24.5,39.5,84.5,159.5,A0_Baseline_XGB
German Credit,R4_F5,4,5,0.74,0.59375,0.3275862068965517,0.908450704225352,0.4222222222222222,0.6180184555609519,0.2921517294825019,0.7850898494414764,0.5372123601255925,0.5455235286856877,129,13,39,19,26.0,45.5,104.0,201.5,A0_Baseline_XGB
German Credit,R5_F1,5,1,0.8,0.66,0.5892857142857143,0.8819444444444444,0.6226415094339622,0.7356150793650793,0.4886272748799577,0.8111359126984127,0.6539215584143447,0.7209141848408601,127,17,23,33,20.0,31.5,66.0,123.5,A0_Baseline_XGB
German Credit,R5_F2,5,2,0.79,0.8181818181818182,0.5142857142857142,0.9384615384615383,0.631578947368421,0.7263736263736263,0.5213001890835093,0.8090109890109891,0.7047748857845937,0.6947210682262073,122,8,34,36,21.0,38.0,89.0,174.0,A0_Baseline_XGB
