dataset,metric,mean_paired_difference,sd_paired_difference,mean_test_train_ratio,correction_factor,corrected_standard_error,t_statistic,degrees_of_freedom,p_value_raw,corrected_CI95_low,corrected_CI95_high,p_value_holm,significant_at_0_05
German Credit,roc_auc,0.00843269578290637,0.012639454153902312,0.25,0.29,0.006806554369098475,1.2389081649285756,24,0.2273597754689607,-0.005615341989118892,0.02248073355493163,0.6820793264068821,False
German Credit,pr_auc,0.00253139414205632,0.027208674379393078,0.25,0.29,0.014652319571668985,0.17276405484295476,24,0.8642856085670637,-0.02770950714642539,0.03277229543053803,0.9874171974603829,False
German Credit,recall_adverse,0.21102235898490576,0.08643613142634056,0.25,0.29,0.046547281302198186,4.5335055685613215,24,0.00013600590236562116,0.11495349205760406,0.30709122591220744,0.0009520413165593481,True
German Credit,f1_adverse,0.0644740377917119,0.057871129691280485,0.25,0.29,0.03116455709626003,2.0688257366394356,24,0.049497526820984884,0.00015355322696650187,0.1287945223564573,0.24748763410492441,False
German Credit,balanced_accuracy,0.042135955726790894,0.03598553422028151,0.25,0.29,0.019378803244899434,2.174332191430924,24,0.039766838840573956,0.0021400715835705325,0.08213183987001126,0.23860103304344374,False
German Credit,mcc,0.026496100494064482,0.07079077691867794,0.25,0.29,0.0381220000532174,0.6950343753495767,24,0.49370859873019146,-0.05218384058215424,0.1051760415702832,0.9874171974603829,False
German Credit,cost_FN2_FP1_per100,-3.58,4.611308563376199,0.25,0.29,2.483265659033148,-1.4416500252308335,24,0.16232349036933635,-8.705208421818773,1.5452084218187725,0.6492939614773454,False
Australian Credit Approval,roc_auc,5.588904995722288e-05,0.0106329031526982,0.25,0.29,0.005725993585557986,0.009760585498765732,24,0.9922929858934919,-0.011761980875167177,0.011873758975081621,1.0,False
Australian Credit Approval,pr_auc,0.005294585399607294,0.015171566043662633,0.25,0.29,0.008170138352744888,0.648041094411638,24,0.5231103807111659,-0.011567751394924804,0.022156922194139395,1.0,False
Australian Credit Approval,recall_adverse,0.040036153810344165,0.02924759889080693,0.25,0.29,0.015750314023995963,2.5419273386770684,24,0.017897250642961618,0.0075291033510292565,0.07254320426965907,0.12528075450073134,False
Australian Credit Approval,f1_adverse,-0.011146992586506635,0.01911672881381247,0.25,0.29,0.010294673523567704,-1.0827922382373474,24,0.2896599429998469,-0.03239415446422809,0.010100169291214817,1.0,False
Australian Credit Approval,balanced_accuracy,-0.028268355215216846,0.02554952599614405,0.25,0.29,0.013758840823340307,-2.0545593613716933,24,0.050964898871364656,-0.0566652070001778,0.00012849656974410484,0.30578939322818793,False
Australian Credit Approval,mcc,-0.03991787535303509,0.04441473991436459,0.25,0.29,0.023918069430486837,-1.6689421974063812,24,0.10812388643364887,-0.08928234444753601,0.009446593741465822,0.5406194321682444,False
Australian Credit Approval,cost_FN2_FP1_per100,-0.1739130434782611,3.0116811488660384,0.25,0.29,1.6218399333183802,-0.10723194065299943,24,0.915496350216137,-3.5212261490449506,3.173400062088428,1.0,False
Taiwan Credit Card Default,roc_auc,-0.0058936178463084455,0.002362794106363566,0.2500000135417105,0.29000001354171046,0.0012724035965171836,-4.631877701729565,24,0.00010589156310299584,-0.00851972979897058,-0.00326750589364631,0.0003176746893089875,True
Taiwan Credit Card Default,pr_auc,-0.0033206382897981524,0.004201761717133391,0.2500000135417105,0.29000001354171046,0.0022627179855366102,-1.467544038198226,24,0.1552118702925293,-0.007990658685517014,0.0013493821059207094,0.1552118702925293,False
Taiwan Credit Card Default,recall_adverse,0.14315521846259935,0.015233049862393861,0.2500000135417105,0.29000001354171046,0.008203248593956462,17.45103989266708,24,3.854530640469655e-15,0.12622454548885553,0.16008589143634316,2.6981714483287587e-14,True
Taiwan Credit Card Default,f1_adverse,0.06345560282137135,0.010193828929766266,0.2500000135417105,0.29000001354171046,0.005489545008421354,11.559355597599787,24,2.700659658883472e-11,0.052125738774498234,0.07478546686824446,1.350329829441736e-10,True
Taiwan Credit Card Default,balanced_accuracy,0.042364686871700974,0.0053730741377106235,0.2500000135417105,0.29000001354171046,0.0028934890428089157,14.641384931796582,24,1.8366061688129366e-13,0.036392818998161214,0.048336554745240734,1.1019637012877619e-12,True
Taiwan Credit Card Default,mcc,0.015213693639889938,0.011481347577886594,0.2500000135417105,0.29000001354171046,0.006182895035848234,2.4606100462132083,24,0.0214493737872221,0.0024528254687057396,0.027974561811074137,0.0428987475744442,True
Taiwan Credit Card Default,cost_FN2_FP1_per100,-1.78267209556611,0.5367100431309362,0.2500000135417105,0.29000001354171046,0.2890272103385785,-6.167834832844332,24,2.2584285618032685e-06,-2.379194939255261,-1.1861492518769585,9.033714247213074e-06,True
