dataset,stage,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC,GMean,Cost_2_1,Cost_5_1,Cost_10_1,Stage_Label
German Credit,A0_Baseline_XGB,0.7903688101613544,0.6323657062783401,0.4783380353625389,0.6401457596137183,0.5443340129289268,0.6816761326602924,0.39882139986686044,0.6485086510656459,39.3,86.16,164.26,A0 Baseline XGB
German Credit,A1_FrozenFS_XGB,0.7884336394167986,0.6222831394108276,0.49057614116399195,0.6329473999637026,0.5475793502837392,0.6839532576528906,0.3987271330932572,0.6535942436099149,39.22,85.12,161.62,A1 + Frozen FS
German Credit,A2_FrozenFS_BalancedXGB,0.78727461176675,0.619311532627381,0.6412510394580334,0.5654138509863951,0.5980783463437936,0.7149828226774517,0.4159444882001301,0.7095942838169994,36.32,68.6,122.4,A2 + Balanced XGB
German Credit,A3_Hybrid_SoftVote,0.7988015059442607,0.6348971004203964,0.6265063083613087,0.5865047616054124,0.6030748803699565,0.7183547481403739,0.4285895190336243,0.7113467010364013,35.78,69.5,125.7,A3 + Hybrid Vote
German Credit,A4_Hybrid_Sigmoid,0.7988015059442607,0.6348971004203964,0.46413497851781743,0.6468905358034075,0.5362078620069601,0.6777500637098496,0.39560748943715013,0.6408748880761057,39.86,88.22,168.82,A4 + Sigmoid
German Credit,A5_Full_CostAware,0.7988015059442607,0.6348971004203964,0.6893603943474447,0.553559099685055,0.6088080507206388,0.7238120883870833,0.4253175003609249,0.7203240175215632,35.72,63.86,110.76,A5 + Cost-aware threshold
Australian Credit Approval,A0_Baseline_XGB,0.9315676492243011,0.9328366710194778,0.8789575769826825,0.8893530223031888,0.8833359269900393,0.8721299344906208,0.7423314450749313,0.8716798921744342,19.565217391304348,39.82608695652174,73.59420289855072,A0 Baseline XGB
Australian Credit Approval,A1_FrozenFS_XGB,0.9259399374019719,0.9304989567727574,0.8710457440467805,0.8769713504153356,0.8733661280091795,0.8595096449789255,0.7177398777719824,0.8590704761274222,21.15942028985507,42.72463768115942,78.66666666666667,A1 + Frozen FS
Australian Credit Approval,A2_FrozenFS_BalancedXGB,0.9261643508399229,0.9297916308563878,0.8612208567795346,0.8842845016923424,0.8719637538801408,0.8602813859808188,0.7183897311696487,0.8598743365010142,21.681159420289855,44.81159420289855,83.36231884057972,A2 + Balanced XGB
Australian Credit Approval,A3_Hybrid_SoftVote,0.9316235382742585,0.938131256419085,0.8564474340586401,0.8996570439203334,0.8769485456379027,0.8691787966997347,0.7346728475458191,0.8687679450826248,21.217391304347824,45.1304347826087,84.98550724637681,A3 + Hybrid Vote
Australian Credit Approval,A4_Hybrid_Sigmoid,0.9316235382742585,0.938131256419085,0.8644743715000273,0.8925975842306427,0.8776284917777761,0.8677578690393399,0.7326582313845168,0.8673442798419009,20.840579710144926,43.44927536231884,81.1304347826087,A4 + Sigmoid
Australian Credit Approval,A5_Full_CostAware,0.9316235382742585,0.938131256419085,0.9189937307930268,0.8322448353887636,0.8721889344035327,0.843861579275404,0.7024135697218962,0.8393631143203731,19.391304347826086,32.95652173913044,55.56521739130435,A5 + Cost-aware threshold
Taiwan Credit Card Default,A0_Baseline_XGB,0.7832339217930203,0.5605248823378762,0.3679639111534876,0.6715468985833306,0.47533314365453216,0.6584168767164347,0.40291077291661703,0.5908051363678616,31.946001806121362,73.89199980080764,143.8019964586181,A0 Baseline XGB
Taiwan Credit Card Default,A1_FrozenFS_XGB,0.782617406583378,0.560104906950744,0.36699902438811244,0.6749375347025065,0.47538452864681974,0.6583923573567593,0.4041849419642982,0.5903258312886553,31.917332240779906,73.92731356678101,143.94394911011617,A1 + Frozen FS
Taiwan Credit Card Default,A2_FrozenFS_BalancedXGB,0.7825514537327791,0.5592416058709261,0.6298677476757738,0.47073667619787796,0.5386829120573539,0.7143057940762289,0.38974797282761864,0.7092316017327892,32.0499673664665,56.61411562679151,97.55436272733319,A2 + Balanced XGB
Taiwan Credit Card Default,A3_Hybrid_SoftVote,0.7773403039467119,0.5572042440480781,0.5097449032881792,0.573779292994123,0.5397772868631724,0.7010854769216323,0.42007017553700565,0.6744117185567994,30.068666795884884,62.60470911337871,116.83144630920177,A3 + Hybrid Vote
Taiwan Credit Card Default,A4_Hybrid_Sigmoid,0.7773403039467119,0.5572042440480781,0.3630762288824215,0.6765147261858954,0.47241145917270877,0.6568557113034674,0.40254037296366074,0.5874252651410883,32.02466360251028,74.29465863844993,144.74465036501604,A4 + Sigmoid
Taiwan Credit Card Default,A5_Full_CostAware,0.7773403039467119,0.5572042440480781,0.511119129616087,0.5704128939648951,0.5387887464759035,0.7007815635881357,0.418124466556507,0.6744769947828333,30.163329710555253,62.60941702343232,116.68622921156079,A5 + Cost-aware threshold
