attribute,group,run_id,records,observed_adverse_rate,predicted_adverse_rate,recall_tpr,false_positive_rate,specificity,precision,f1,brier,mean_calibrated_probability
sex,female,R1_F1,3661,0.205954657197487,0.16989893471729037,0.4854111405835544,0.08806329549363605,0.911936704506364,0.5884244372990354,0.5319767441860466,0.12730064318610507,0.2037419856001861
sex,male,R1_F1,2338,0.2339606501283148,0.22241231822070145,0.5319926873857403,0.12786152987158012,0.8721384701284198,0.5596153846153846,0.5454545454545454,0.13958398349153178,0.2431088136074676
sex,female,R1_F2,3572,0.2147256438969765,0.16153415453527437,0.44589308996088656,0.08377896613190731,0.9162210338680927,0.5927209705372617,0.5089285714285714,0.13343121135842573,0.20673655915969105
sex,male,R1_F2,2425,0.2354639175257732,0.2115463917525773,0.5183887915936952,0.11704422869471413,0.8829557713052859,0.5769980506822612,0.5461254612546124,0.14027378459019907,0.2422624752953212
sex,female,R1_F3,3662,0.2072637902785363,0.16602949208083015,0.4479578392621871,0.0923182914226662,0.9076817085773338,0.5592105263157895,0.4974396488661301,0.1304596297164382,0.2121669609238425
sex,male,R1_F3,2340,0.23376068376068376,0.2141025641025641,0.5155393053016454,0.12214166201896264,0.8778583379810374,0.562874251497006,0.5381679389312977,0.14367765763890938,0.2464244937187397
sex,female,R1_F4,3598,0.20678154530294607,0.179266259032796,0.5094086021505376,0.09320252277505256,0.9067974772249474,0.5875968992248062,0.5457163426925846,0.12439099304989622,0.20514986520999265
sex,male,R1_F4,2402,0.24354704412989175,0.24063280599500417,0.5521367521367522,0.14034122179416622,0.8596587782058338,0.5588235294117647,0.5554600171969045,0.14439332757478057,0.24416695571512514
sex,female,R1_F5,3619,0.20420005526388504,0.17187068250898038,0.4871447902571042,0.09097222222222222,0.9090277777777778,0.5787781350482315,0.5290227773695813,0.12644328482873132,0.21102506714778177
sex,male,R1_F5,2383,0.2614351657574486,0.2102391942929081,0.5088282504012841,0.10454545454545454,0.8954545454545455,0.6327345309381237,0.5640569395017794,0.1507014382756863,0.2375336644556443
