dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,Fixed0.50,0.5,0.5,0.8478260869565217,0.9166666666666666,0.8148148148148148,0.8947368421052632,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,51,6,15,66,21,36,81,156,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956
Australian Credit Approval,R1_F1,1,1,MinCost_FN2_FP1,0.3889540412675053,0.3889540412675053,0.8405797101449275,0.8933333333333333,0.8271604938271605,0.8596491228070176,0.8589743589743589,0.8434048083170891,0.6789149909533295,0.8432483578039972,49,8,14,67,22,36,78,148,15.942028985507246,26.08695652173913,56.52173913043478,107.2463768115942
Australian Credit Approval,R1_F2,1,2,Fixed0.50,0.5,0.5,0.8768115942028986,0.9102564102564102,0.8765432098765432,0.8771929824561403,0.8930817610062893,0.8768680961663418,0.7486457787171245,0.8768680359799207,50,7,10,71,17,27,57,107,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797
Australian Credit Approval,R1_F2,1,2,MinCost_FN2_FP1,0.33671403121623217,0.33671403121623217,0.8840579710144928,0.8823529411764706,0.9259259259259259,0.8245614035087719,0.9036144578313253,0.8752436647173489,0.7597590885899663,0.8737750173967214,47,10,6,75,16,22,40,70,11.594202898550725,15.942028985507246,28.985507246376812,50.72463768115942
Australian Credit Approval,R1_F3,1,3,Fixed0.50,0.5,0.5,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.8808303292720552,50,8,8,72,16,24,48,88,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984
Australian Credit Approval,R1_F3,1,3,MinCost_FN2_FP1,0.2653491610295171,0.2653491610295171,0.855072463768116,0.8191489361702128,0.9625,0.7068965517241379,0.8850574712643678,0.8346982758620689,0.7090097314139243,0.824856309325741,41,17,3,77,20,23,32,47,14.492753623188406,16.666666666666668,23.18840579710145,34.05797101449275
Australian Credit Approval,R1_F4,1,4,Fixed0.50,0.5,0.5,0.8695652173913043,0.8266666666666667,0.9253731343283582,0.8169014084507042,0.8732394366197183,0.8711372713895312,0.7447838236913805,0.8694473053470685,58,13,5,62,18,23,38,63,13.043478260869565,16.666666666666668,27.536231884057973,45.65217391304348
Australian Credit Approval,R1_F4,1,4,MinCost_FN2_FP1,0.42961490707554795,0.42961490707554795,0.8695652173913043,0.8024691358024691,0.9701492537313433,0.7746478873239436,0.8783783783783784,0.8723985705276435,0.7560049504542296,0.866904879321766,55,16,2,65,18,20,26,36,13.043478260869565,14.492753623188406,18.840579710144926,26.08695652173913
Australian Credit Approval,R1_F5,1,5,Fixed0.50,0.5,0.5,0.8913043478260869,0.9402985074626866,0.8513513513513513,0.9375,0.8936170212765957,0.8944256756756757,0.787108214757162,0.8933878731502303,60,4,11,63,15,26,59,114,10.869565217391305,18.840579710144926,42.7536231884058,82.6086956521739
Australian Credit Approval,R1_F5,1,5,MinCost_FN2_FP1,0.2246890912034762,0.2246890912034762,0.8405797101449275,0.7954545454545454,0.9459459459459459,0.71875,0.8641975308641975,0.832347972972973,0.6896083931277489,0.8245596695501477,46,18,4,70,22,26,38,58,15.942028985507246,18.840579710144926,27.536231884057973,42.028985507246375
Australian Credit Approval,R2_F1,2,1,Fixed0.50,0.5,0.5,0.8188405797101449,0.8157894736842105,0.8493150684931506,0.7846153846153846,0.8322147651006712,0.8169652265542676,0.6361464129354797,0.8163244876428706,51,14,11,62,25,36,69,124,18.115942028985508,26.08695652173913,50.0,89.85507246376811
