dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,Fixed0.50,0.5,0.5,0.8478260869565217,0.9166666666666666,0.8148148148148148,0.8947368421052632,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,51,6,15,66,21,36,81,156,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F1,1,1,MinCost_FN2_FP1,0.3889540412675053,0.3889540412675053,0.8405797101449275,0.8933333333333333,0.8271604938271605,0.8596491228070176,0.8589743589743589,0.8434048083170891,0.6789149909533295,0.8432483578039972,49,8,14,67,22,36,78,148,15.942028985507246,26.08695652173913,56.52173913043478,107.2463768115942,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956,0.012345679012345734,-0.023333333333333317,-0.0037707390648568095,-0.011371020142949884,-0.020485189177923746,-0.010592865321234712,0.72463768115942,0.0,-2.173913043478265,-5.79710144927536
Australian Credit Approval,R1_F2,1,2,Fixed0.50,0.5,0.5,0.8768115942028986,0.9102564102564102,0.8765432098765432,0.8771929824561403,0.8930817610062893,0.8768680961663418,0.7486457787171245,0.8768680359799207,50,7,10,71,17,27,57,107,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797,0.8765432098765432,0.9102564102564102,0.8930817610062893,0.8768680961663418,0.7486457787171245,0.8768680359799207,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F2,1,2,MinCost_FN2_FP1,0.33671403121623217,0.33671403121623217,0.8840579710144928,0.8823529411764706,0.9259259259259259,0.8245614035087719,0.9036144578313253,0.8752436647173489,0.7597590885899663,0.8737750173967214,47,10,6,75,16,22,40,70,11.594202898550725,15.942028985507246,28.985507246376812,50.72463768115942,0.8765432098765432,0.9102564102564102,0.8930817610062893,0.8768680961663418,0.7486457787171245,0.8768680359799207,12.318840579710145,19.565217391304348,41.30434782608695,77.53623188405797,0.04938271604938271,-0.02790346907993968,0.010532696825035992,-0.0016244314489928247,0.01111330987284187,-0.003093018583199325,-0.72463768115942,-3.6231884057971016,-12.318840579710141,-26.811594202898547
Australian Credit Approval,R1_F3,1,3,Fixed0.50,0.5,0.5,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.8808303292720552,50,8,8,72,16,24,48,88,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984,0.9,0.9,0.9,0.8810344827586207,0.7620689655172413,0.8808303292720552,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F3,1,3,MinCost_FN2_FP1,0.2653491610295171,0.2653491610295171,0.855072463768116,0.8191489361702128,0.9625,0.7068965517241379,0.8850574712643678,0.8346982758620689,0.7090097314139243,0.824856309325741,41,17,3,77,20,23,32,47,14.492753623188406,16.666666666666668,23.18840579710145,34.05797101449275,0.9,0.9,0.9,0.8810344827586207,0.7620689655172413,0.8808303292720552,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984,0.0625,-0.08085106382978724,-0.014942528735632177,-0.046336206896551824,-0.05305923410331703,-0.055974019946314124,2.8985507246376816,-0.7246376811594182,-11.594202898550723,-29.710144927536234
Australian Credit Approval,R1_F4,1,4,Fixed0.50,0.5,0.5,0.8695652173913043,0.8266666666666667,0.9253731343283582,0.8169014084507042,0.8732394366197183,0.8711372713895312,0.7447838236913805,0.8694473053470685,58,13,5,62,18,23,38,63,13.043478260869565,16.666666666666668,27.536231884057973,45.65217391304348,0.9253731343283582,0.8266666666666667,0.8732394366197183,0.8711372713895312,0.7447838236913805,0.8694473053470685,13.043478260869565,16.666666666666668,27.536231884057973,45.65217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F4,1,4,MinCost_FN2_FP1,0.42961490707554795,0.42961490707554795,0.8695652173913043,0.8024691358024691,0.9701492537313433,0.7746478873239436,0.8783783783783784,0.8723985705276435,0.7560049504542296,0.866904879321766,55,16,2,65,18,20,26,36,13.043478260869565,14.492753623188406,18.840579710144926,26.08695652173913,0.9253731343283582,0.8266666666666667,0.8732394366197183,0.8711372713895312,0.7447838236913805,0.8694473053470685,13.043478260869565,16.666666666666668,27.536231884057973,45.65217391304348,0.04477611940298509,-0.024197530864197514,0.005138941758660143,0.0012612991381122374,0.011221126762849032,-0.0025424260253025244,0.0,-2.1739130434782616,-8.695652173913047,-19.565217391304348
Australian Credit Approval,R1_F5,1,5,Fixed0.50,0.5,0.5,0.8913043478260869,0.9402985074626866,0.8513513513513513,0.9375,0.8936170212765957,0.8944256756756757,0.787108214757162,0.8933878731502303,60,4,11,63,15,26,59,114,10.869565217391305,18.840579710144926,42.7536231884058,82.6086956521739,0.8513513513513513,0.9402985074626866,0.8936170212765957,0.8944256756756757,0.787108214757162,0.8933878731502303,10.869565217391305,18.840579710144926,42.7536231884058,82.6086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F5,1,5,MinCost_FN2_FP1,0.2246890912034762,0.2246890912034762,0.8405797101449275,0.7954545454545454,0.9459459459459459,0.71875,0.8641975308641975,0.832347972972973,0.6896083931277489,0.8245596695501477,46,18,4,70,22,26,38,58,15.942028985507246,18.840579710144926,27.536231884057973,42.028985507246375,0.8513513513513513,0.9402985074626866,0.8936170212765957,0.8944256756756757,0.787108214757162,0.8933878731502303,10.869565217391305,18.840579710144926,42.7536231884058,82.6086956521739,0.09459459459459463,-0.1448439620081412,-0.02941949041239822,-0.06207770270270263,-0.09749982162941306,-0.06882820360008257,5.0724637681159415,0.0,-15.217391304347824,-40.57971014492753
