dataset,run_id,repeat,fold,threshold_rule,selected_threshold,training_oof_recall,training_oof_precision,training_oof_f1,training_oof_balanced_accuracy,training_oof_mcc,training_oof_cost_FN2_FP1
Australian Credit Approval,R1_F1,1,1,MinCost_FN2_FP1,0.3889540412675053,0.9304635761589404,0.8699690402476781,0.8992,0.8812317880794702,0.7703242596247012,84
Australian Credit Approval,R1_F2,1,2,MinCost_FN2_FP1,0.33671403121623217,0.9205298013245033,0.8348348348348348,0.8755905511811024,0.8502649006622517,0.7127806758038369,103
Australian Credit Approval,R1_F3,1,3,MinCost_FN2_FP1,0.2653491610295171,0.9372937293729373,0.7932960893854749,0.859304084720121,0.8200524871764285,0.6671597107034087,112
Australian Credit Approval,R1_F4,1,4,MinCost_FN2_FP1,0.42961490707554795,0.8892405063291139,0.8753894080996885,0.8822605965463108,0.8598744904526925,0.7218086716577764,110
Australian Credit Approval,R1_F5,1,5,MinCost_FN2_FP1,0.2246890912034762,0.9611650485436893,0.7941176470588235,0.8696925329428989,0.8221463102800751,0.6842577601246018,101
Australian Credit Approval,R2_F1,2,1,MinCost_FN2_FP1,0.4320401245507586,0.9096774193548387,0.8785046728971962,0.8938193343898574,0.8742601972807251,0.7528936974007419,95
Australian Credit Approval,R2_F2,2,2,MinCost_FN2_FP1,0.3697259909766666,0.9155405405405406,0.8548895899053628,0.8841761827079935,0.8679265202702703,0.7421528587177579,96
Australian Credit Approval,R2_F3,2,3,MinCost_FN2_FP1,0.30366640665748246,0.9356913183279743,0.8267045454545454,0.8778280542986425,0.8412896425664768,0.7042964355576646,101
Australian Credit Approval,R2_F4,2,4,MinCost_FN2_FP1,0.2775407834091117,0.9383116883116883,0.8210227272727273,0.8757575757575757,0.8400574835001064,0.7026940466522366,101
Australian Credit Approval,R2_F5,2,5,MinCost_FN2_FP1,0.31641692642968655,0.9315960912052117,0.8125,0.8679817905918058,0.8311041680515854,0.684479654769222,108
Australian Credit Approval,R3_F1,3,1,MinCost_FN2_FP1,0.29847462535731406,0.9485530546623794,0.8404558404558404,0.8912386706948641,0.8580939547170818,0.7381831266747235,88
Australian Credit Approval,R3_F2,3,2,MinCost_FN2_FP1,0.3715813670568993,0.9087947882736156,0.8664596273291926,0.8871224165341812,0.8666422920959915,0.7389804191617424,99
Australian Credit Approval,R3_F3,3,3,MinCost_FN2_FP1,0.38681410935686045,0.9022801302931596,0.865625,0.8835725677830941,0.8633849631057635,0.7315267237826114,103
Australian Credit Approval,R3_F4,3,4,MinCost_FN2_FP1,0.269844085365491,0.948220064724919,0.7961956521739131,0.8655834564254062,0.8197890447081385,0.6735085804818971,107
Australian Credit Approval,R3_F5,3,5,MinCost_FN2_FP1,0.3242030729508312,0.9194630872483222,0.8303030303030303,0.8726114649681529,0.8494953231517202,0.7104980615188836,104
Australian Credit Approval,R4_F1,4,1,MinCost_FN2_FP1,0.2518584112362157,0.9514563106796117,0.8010899182561307,0.8698224852071006,0.8255223940229335,0.6846590398072468,103
Australian Credit Approval,R4_F2,4,2,MinCost_FN2_FP1,0.3413342670334825,0.9290322580645162,0.8597014925373134,0.8930232558139535,0.8674086910157291,0.7464757097901041,91
Australian Credit Approval,R4_F3,4,3,MinCost_FN2_FP1,0.345583857627931,0.9262820512820513,0.8450292397660819,0.8837920489296636,0.8527243589743589,0.7203203195861764,99
Australian Credit Approval,R4_F4,4,4,MinCost_FN2_FP1,0.2999519286657462,0.9351535836177475,0.8253012048192772,0.8768,0.8556076798397618,0.7249439623377045,96
Australian Credit Approval,R4_F5,4,5,MinCost_FN2_FP1,0.3504372231654671,0.9123376623376623,0.8363095238095238,0.8726708074534162,0.8434639131360443,0.6990123782860435,109
Australian Credit Approval,R5_F1,5,1,MinCost_FN2_FP1,0.4301807929850511,0.9090909090909091,0.8805031446540881,0.8945686900958466,0.8766766020864382,0.7570898476797222,94
Australian Credit Approval,R5_F2,5,2,MinCost_FN2_FP1,0.3247613080242025,0.9243421052631579,0.8388059701492537,0.8794992175273866,0.8533000848896435,0.7195883096373223,100
Australian Credit Approval,R5_F3,5,3,MinCost_FN2_FP1,0.23177703700354407,0.9516129032258065,0.7742782152230971,0.85383502170767,0.7981205011996801,0.6398082344459733,116
Australian Credit Approval,R5_F4,5,4,MinCost_FN2_FP1,0.33782393730682825,0.9372937293729373,0.8352941176470589,0.8833592534992224,0.8561970654896816,0.7288429071062996,94
Australian Credit Approval,R5_F5,5,5,MinCost_FN2_FP1,0.2998474091673757,0.9413680781758957,0.828080229226361,0.8810975609756098,0.8482350594961111,0.7176190943963398,96
Taiwan Credit Card Default,R1_F1,1,1,MinCost_FN2_FP1,0.3179930088483575,0.5111527647610122,0.5762890955198647,0.5417701400615874,0.7018691071206754,0.4219303288086196,7221
Taiwan Credit Card Default,R1_F2,1,2,MinCost_FN2_FP1,0.3396084696003405,0.4924499811249528,0.5901379778330694,0.5368865109579175,0.6977887435696937,0.42323114565329767,7190
Taiwan Credit Card Default,R1_F3,1,3,MinCost_FN2_FP1,0.3413210613310861,0.49174484052532835,0.5989488117001828,0.5400783020811869,0.6988668492320235,0.4281486676981889,7173
Taiwan Credit Card Default,R1_F4,1,4,MinCost_FN2_FP1,0.3093478880509929,0.5204446956849444,0.5618388934092758,0.5403501907463563,0.7026071977863015,0.4166853881513491,7244
Taiwan Credit Card Default,R1_F5,1,5,MinCost_FN2_FP1,0.3333323233645281,0.4891922639362912,0.581605049594229,0.5314109165808445,0.6950340725791262,0.41610934386023796,7244
Taiwan Credit Card Default,R2_F1,2,1,MinCost_FN2_FP1,0.30546909203642364,0.5144736842105263,0.5632846264663511,0.5377738481186757,0.7004533259158063,0.4144127918898128,7288
Taiwan Credit Card Default,R2_F2,2,2,MinCost_FN2_FP1,0.28954453253888485,0.5372629998122771,0.548486009965504,0.5428165007112375,0.7055423825111086,0.4141491324602193,7286
Taiwan Credit Card Default,R2_F3,2,3,MinCost_FN2_FP1,0.3075733585061059,0.521460843373494,0.5683217070168239,0.5438837620263106,0.704431588335575,0.42192287724783356,7188
Taiwan Credit Card Default,R2_F4,2,4,MinCost_FN2_FP1,0.3064960646607269,0.5145667801740447,0.5590955806783144,0.5359077923357305,0.6999641661011317,0.41226137025512805,7277
Taiwan Credit Card Default,R2_F5,2,5,MinCost_FN2_FP1,0.308254598370932,0.5176448386488016,0.570388854231649,0.5427384250098931,0.7035876850713798,0.42192472880059695,7178
Taiwan Credit Card Default,R3_F1,3,1,MinCost_FN2_FP1,0.3198022779561058,0.5091665091665092,0.5828645607961921,0.5435286996872793,0.7030600049841098,0.42695245071295407,7122
Taiwan Credit Card Default,R3_F2,3,2,MinCost_FN2_FP1,0.2940450484862417,0.5367867867867868,0.5571790375998441,0.5467928496319664,0.7075203350109617,0.4206596785879268,7209
Taiwan Credit Card Default,R3_F3,3,3,MinCost_FN2_FP1,0.31274171741084084,0.5128012048192772,0.5600328947368421,0.535377358490566,0.6991476728788986,0.41133303042324204,7316
Taiwan Credit Card Default,R3_F4,3,4,MinCost_FN2_FP1,0.30608736691221544,0.5175736961451247,0.5617309269893355,0.5387490165224232,0.7016722446943284,0.4156028434714141,7243
Taiwan Credit Card Default,R3_F5,3,5,MinCost_FN2_FP1,0.3241663515134593,0.5040405938733321,0.58203125,0.5402356732802901,0.7004650744943511,0.4228385933998099,7204
Taiwan Credit Card Default,R4_F1,4,1,MinCost_FN2_FP1,0.33023631468709247,0.49641779788838614,0.577159140727751,0.5337522805594973,0.696625841932748,0.415857133412681,7271
Taiwan Credit Card Default,R4_F2,4,2,MinCost_FN2_FP1,0.3081421410947372,0.5163949784523141,0.5652173913043478,0.5397042984431607,0.7013945311853231,0.4162892742060657,7282
Taiwan Credit Card Default,R4_F3,4,3,MinCost_FN2_FP1,0.30281922628970803,0.5216814997159629,0.5623596652378037,0.5412573673870335,0.7035727334041111,0.4184728025913844,7196
Taiwan Credit Card Default,R4_F4,4,4,MinCost_FN2_FP1,0.3156182094975834,0.5184210526315789,0.5729123390112173,0.5443062956384448,0.7041931326845344,0.4236153115336351,7180
Taiwan Credit Card Default,R4_F5,4,5,MinCost_FN2_FP1,0.31032064726356834,0.515843078083742,0.5651994213680512,0.5393945370279065,0.7016437880120737,0.4170076118694222,7238
