dataset,run_id,repeat,fold,model,selected_source_features,runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,LR,11,0.04310270003043115,0.8333333333333334,0.9264705882352942,0.7777777777777778,0.9122807017543859,0.8456375838926175,0.8450292397660819,0.6796140643235394,0.9109811565951916,0.9377763972836406,0.8423488926330217,0.7076023391812866,52,5,18,63,16.666666666666668,29.71014492753623,68.84057971014492,134.05797101449275
Australian Credit Approval,R1_F1,1,1,RF,11,0.5956629999564029,0.855072463768116,0.9420289855072463,0.8024691358024691,0.9298245614035088,0.8666666666666667,0.866146848602989,0.7211342832909684,0.9128221789040502,0.9452811434143631,0.8638029359972005,0.7550357374918778,53,4,16,65,14.492753623188406,26.08695652173913,60.869565217391305,118.84057971014492
Australian Credit Approval,R1_F1,1,1,XGB,11,0.21413869998650625,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9166125189517003,0.9490030610700749,0.8602853992490769,0.7218973359324237,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536
Australian Credit Approval,R1_F2,1,2,LR,11,0.036704299971461296,0.8840579710144928,0.9333333333333333,0.8641975308641975,0.9122807017543859,0.8974358974358975,0.8882391163092918,0.7675528989491285,0.9319904700021658,0.9443032194921326,0.8879136950803257,0.7764782326185835,52,5,11,70,11.594202898550725,19.565217391304348,43.47826086956522,83.33333333333333
Australian Credit Approval,R1_F2,1,2,RF,11,0.5972345999907702,0.8985507246376812,0.9240506329113924,0.9012345679012346,0.8947368421052632,0.9125,0.8979857050032489,0.7922055026414141,0.9337231968810916,0.9322234217404568,0.8979798278803661,0.8135152696556205,51,6,8,73,10.144927536231885,15.942028985507246,33.333333333333336,62.31884057971015
Australian Credit Approval,R1_F2,1,2,XGB,11,0.21321549999993294,0.8478260869565217,0.8846153846153846,0.8518518518518519,0.8421052631578947,0.8679245283018868,0.8469785575048733,0.6892704238533526,0.9293913796837774,0.9400560244806402,0.8469645375546981,0.7498375568551008,48,9,12,69,15.217391304347826,23.91304347826087,50.0,93.47826086956522
Australian Credit Approval,R1_F3,1,3,LR,11,0.03866419999394566,0.8333333333333334,0.88,0.825,0.8448275862068966,0.8516129032258064,0.8349137931034483,0.6637753393652293,0.9245689655172414,0.9295279149518364,0.8348549326803367,0.7482758620689656,49,9,14,66,16.666666666666668,26.81159420289855,57.2463768115942,107.97101449275362
Australian Credit Approval,R1_F3,1,3,RF,11,0.6457536999951117,0.8840579710144928,0.8902439024390244,0.9125,0.8448275862068966,0.9012345679012346,0.8786637931034482,0.7612754544142956,0.9317887931034483,0.9441600678606674,0.8780120571004666,0.8060344827586207,49,9,7,73,11.594202898550725,16.666666666666668,31.884057971014492,57.2463768115942
Australian Credit Approval,R1_F3,1,3,XGB,11,0.20798579999245703,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.9338362068965517,0.9435103513656452,0.8808303292720552,0.7793103448275862,50,8,8,72,11.594202898550725,17.391304347826086,34.78260869565217,63.768115942028984
Australian Credit Approval,R1_F4,1,4,LR,11,0.03248380002332851,0.8695652173913043,0.8656716417910447,0.8656716417910447,0.8732394366197183,0.8656716417910447,0.8694555392053815,0.7389110784107631,0.9230607525751523,0.8852306004109227,0.8694473053470684,0.7538364515450915,62,9,9,58,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261
