dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Balanced,SoftVote,11,0.07443899998907,0.04310270003043115,0.5956629999564029,0.21413869998650625,0.8333333333333334,0.9142857142857143,0.7901234567901234,0.8947368421052632,0.847682119205298,0.8424301494476933,0.6744945610141342,0.9194282001299545,0.9491854996059536,0.8408047137128153,0.7303443794671864,51,6,17,64,16.666666666666668,28.985507246376812,65.94202898550725,127.53623188405797
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03635700000450015,0.036704299971461296,0.5972345999907702,0.21321549999993294,0.8840579710144928,0.922077922077922,0.8765432098765432,0.8947368421052632,0.8987341772151899,0.8856400259909032,0.7646835652004254,0.9361056963396145,0.9477765973802801,0.8855933059671065,0.806367771280052,51,6,10,71,11.594202898550725,18.840579710144926,40.57971014492754,76.81159420289855
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03892909997375682,0.03866419999394566,0.6457536999951117,0.20798579999245703,0.8840579710144928,0.9102564102564102,0.8875,0.8793103448275862,0.8987341772151899,0.883405172413793,0.7635263453909765,0.934051724137931,0.9342142620978742,0.8833956820329624,0.7935344827586207,51,7,9,71,11.594202898550725,18.115942028985508,37.68115942028985,70.28985507246377
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Balanced,SoftVote,11,0.038479800045024604,0.03248380002332851,0.6054544000071473,0.21174030000111088,0.855072463768116,0.821917808219178,0.8955223880597015,0.8169014084507042,0.8571428571428571,0.8562118982552029,0.7133240796790038,0.9220096699600588,0.8932347246525048,0.8553090085490205,0.7456380071473617,58,13,7,60,14.492753623188406,19.565217391304348,34.78260869565217,60.14492753623188
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Balanced,SoftVote,11,0.0372954000486061,0.039287100022193044,0.6220116000040434,0.20903099997667596,0.8985507246376812,0.9545454545454546,0.8513513513513513,0.953125,0.9,0.9022381756756757,0.803120872121694,0.9520692567567568,0.958538878507366,0.9008020075226058,0.8357263513513513,61,3,11,63,10.144927536231885,18.115942028985508,42.028985507246375,81.8840579710145
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03913970000576228,0.033735300006810576,0.603899999987334,0.2091985999722965,0.8405797101449275,0.8591549295774648,0.8356164383561644,0.8461538461538461,0.8472222222222222,0.8408851422550052,0.6809098252468508,0.9106427818756586,0.9216611370875147,0.8408686361284067,0.7125395152792413,55,10,12,61,15.942028985507246,24.63768115942029,50.72463768115942,94.20289855072464
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03902510000625625,0.03756759996758774,0.6019586999900639,0.21029359998647124,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.8992562542258282,0.9248015871917855,0.857952760309503,0.7363083164300204,46,5,16,71,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434
Australian Credit Approval,R2_F3,2,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03905560000566766,0.037156499980483204,0.6043115999782458,0.2470218999660574,0.8695652173913043,0.8970588235294118,0.8472222222222222,0.8939393939393939,0.8714285714285714,0.8705808080808081,0.7405385293628164,0.9280303030303031,0.9293184325493824,0.870267384121294,0.7866161616161615,59,7,11,61,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217
Australian Credit Approval,R2_F4,2,4,FrozenChi2Top75,Balanced,SoftVote,11,0.03874230000656098,0.03587149997474626,0.6014374999795109,0.23078859999077395,0.8695652173913043,0.8904109589041096,0.8666666666666667,0.873015873015873,0.8783783783783784,0.8698412698412699,0.738122026257206,0.9244444444444444,0.9162742692012507,0.8698354767504926,0.7555555555555555,55,8,10,65,13.043478260869565,20.28985507246377,42.028985507246375,78.26086956521739
Australian Credit Approval,R2_F5,2,5,FrozenChi2Top75,Balanced,SoftVote,11,0.03534040000522509,0.028015099989715964,0.6133289999561384,0.2183406000258401,0.9130434782608695,0.9210526315789473,0.9210526315789473,0.9032258064516129,0.9210526315789473,0.9121392190152802,0.8242784380305602,0.9817487266553481,0.9864024278741753,0.9120956670998251,0.8624787775891342,56,6,6,70,8.695652173913043,13.043478260869565,26.08695652173913,47.82608695652174
