dataset,run_id,repeat,fold,feature_regime,training_regime,ensemble_type,selected_source_features,feature_selection_runtime_seconds,lr_runtime_seconds,rf_runtime_seconds,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_roc_auc,reference_pr_auc,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_ks_statistic,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100,reference_name
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Balanced,SoftVote,11,0.07443899998907,0.04310270003043115,0.5956629999564029,0.21413869998650625,0.8333333333333334,0.9142857142857143,0.7901234567901234,0.8947368421052632,0.847682119205298,0.8424301494476933,0.6744945610141342,0.9194282001299545,0.9491854996059536,0.8408047137128153,0.7303443794671864,51,6,17,64,16.666666666666668,28.985507246376812,65.94202898550725,127.53623188405797,0.9315572882824344,0.9483142081425484,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,0.7270955165692008,26.08695652173913,58.69565217391305,113.04347826086956,-0.012129088152479928,0.0008712914634051439,-0.024691358024691357,-0.0023809523809523725,-0.015062978833917717,-0.012345679012345623,-0.024905619117119082,-0.01303650941241663,0.0032488628979856493,2.8985507246376834,7.246376811594203,14.492753623188406,AllFeatures_Balanced_XGB
Australian Credit Approval,R1_F2,1,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03635700000450015,0.036704299971461296,0.5972345999907702,0.21321549999993294,0.8840579710144928,0.922077922077922,0.8765432098765432,0.8947368421052632,0.8987341772151899,0.8856400259909032,0.7646835652004254,0.9361056963396145,0.9477765973802801,0.8855933059671065,0.806367771280052,51,6,10,71,11.594202898550725,18.840579710144926,40.57971014492754,76.81159420289855,0.9378384232185402,0.9492987272455852,0.8395061728395061,0.918918918918919,0.8774193548387097,0.8671215074723846,0.7249597817163093,0.8666816612887889,0.7569850552306693,23.18840579710145,51.44927536231884,98.55072463768116,-0.0017327268789256722,-0.0015221298653050885,0.03703703703703709,0.003159003159003082,0.02131482237648019,0.0185185185185186,0.03972378348411609,0.01891164467831763,0.04938271604938271,-4.347826086956523,-10.869565217391305,-21.73913043478261,AllFeatures_Balanced_XGB
Australian Credit Approval,R1_F3,1,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03892909997375682,0.03866419999394566,0.6457536999951117,0.20798579999245703,0.8840579710144928,0.9102564102564102,0.8875,0.8793103448275862,0.8987341772151899,0.883405172413793,0.7635263453909765,0.934051724137931,0.9342142620978742,0.8833956820329624,0.7935344827586207,51,7,9,71,11.594202898550725,18.115942028985508,37.68115942028985,70.28985507246377,0.9323275862068964,0.9423723558851604,0.875,0.9090909090909092,0.89171974522293,0.8771551724137931,0.7497194432170575,0.8771525247778392,0.7620689655172415,19.565217391304348,41.30434782608695,77.53623188405797,0.0017241379310346527,-0.008158093787286269,0.012499999999999956,0.0011655011655010705,0.0070144319922599285,0.006249999999999867,0.013806902173919,0.006243157255123144,0.03146551724137925,-1.44927536231884,-3.6231884057971016,-7.246376811594203,AllFeatures_Balanced_XGB
Australian Credit Approval,R1_F4,1,4,FrozenChi2Top75,Balanced,SoftVote,11,0.038479800045024604,0.03248380002332851,0.6054544000071473,0.21174030000111088,0.855072463768116,0.821917808219178,0.8955223880597015,0.8169014084507042,0.8571428571428571,0.8562118982552029,0.7133240796790038,0.9220096699600588,0.8932347246525048,0.8553090085490205,0.7456380071473617,58,13,7,60,14.492753623188406,19.565217391304348,34.78260869565217,60.14492753623188,0.9199075047298716,0.8808409271681843,0.9253731343283582,0.8051948051948052,0.8611111111111112,0.8570527643472776,0.7186520869021499,0.8543253290877888,0.7555181837292411,18.115942028985508,28.98550724637681,47.10144927536232,0.0021021652301872473,0.012393797484320457,-0.02985074626865669,0.016723003024372796,-0.003968253968254065,-0.0008408660920746769,-0.005328007223146081,0.000983679461231679,-0.00988017658187934,1.44927536231884,5.797101449275363,13.043478260869563,AllFeatures_Balanced_XGB
Australian Credit Approval,R1_F5,1,5,FrozenChi2Top75,Balanced,SoftVote,11,0.0372954000486061,0.039287100022193044,0.6220116000040434,0.20903099997667596,0.8985507246376812,0.9545454545454546,0.8513513513513513,0.953125,0.9,0.9022381756756757,0.803120872121694,0.9520692567567568,0.958538878507366,0.9008020075226058,0.8357263513513513,61,3,11,63,10.144927536231885,18.115942028985508,42.028985507246375,81.8840579710145,0.947212837837838,0.958572220076586,0.9054054054054054,0.943661971830986,0.9241379310344828,0.9214527027027026,0.8410428247619354,0.9213129585366568,0.856418918918919,13.043478260869565,28.26086956521739,53.6231884057971,0.004856418918918748,-3.3341569220080025e-05,-0.05405405405405406,0.010883482714468595,-0.024137931034482807,-0.019214527027026973,-0.03792195264024134,-0.020510951014051093,-0.020692567567567655,5.072463768115943,13.768115942028984,28.260869565217398,AllFeatures_Balanced_XGB
Australian Credit Approval,R2_F1,2,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03913970000576228,0.033735300006810576,0.603899999987334,0.2091985999722965,0.8405797101449275,0.8591549295774648,0.8356164383561644,0.8461538461538461,0.8472222222222222,0.8408851422550052,0.6809098252468508,0.9106427818756586,0.9216611370875147,0.8408686361284067,0.7125395152792413,55,10,12,61,15.942028985507246,24.63768115942029,50.72463768115942,94.20289855072464,0.9017913593256058,0.8931556208387968,0.863013698630137,0.8513513513513513,0.8571428571428571,0.8468914646996839,0.694441827491691,0.8467379916799929,0.7262381454162276,22.463768115942027,44.20289855072464,80.43478260869566,0.008851422550052779,0.028505516248717888,-0.0273972602739726,0.007803578226113439,-0.009920634920634885,-0.006006322444678691,-0.013532002244840191,-0.005869355551586186,-0.013698630136986245,2.1739130434782616,6.521739130434781,13.768115942028984,AllFeatures_Balanced_XGB
Australian Credit Approval,R2_F2,2,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03902510000625625,0.03756759996758774,0.6019586999900639,0.21029359998647124,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.8992562542258282,0.9248015871917855,0.857952760309503,0.7363083164300204,46,5,16,71,15.217391304347826,26.81159420289855,61.594202898550726,119.56521739130434,0.914131169709263,0.9362510734184416,0.8045977011494253,0.945945945945946,0.8695652173913043,0.8630831643002028,0.7028699478477669,0.8610992968865379,0.737660581473969,27.536231884057973,64.4927536231884,126.08695652173913,-0.01487491548343478,-0.011449486226656092,0.011494252873563204,-0.011735419630156563,0.001600426780474784,-0.0040567951318457585,-0.006085552119759252,-0.0031465365770348974,-0.0013522650439485862,-0.7246376811594217,-2.89855072463768,-6.521739130434781,AllFeatures_Balanced_XGB
Australian Credit Approval,R2_F3,2,3,FrozenChi2Top75,Balanced,SoftVote,11,0.03905560000566766,0.037156499980483204,0.6043115999782458,0.2470218999660574,0.8695652173913043,0.8970588235294118,0.8472222222222222,0.8939393939393939,0.8714285714285714,0.8705808080808081,0.7405385293628164,0.9280303030303031,0.9293184325493824,0.870267384121294,0.7866161616161615,59,7,11,61,13.043478260869565,21.014492753623188,44.927536231884055,84.78260869565217,0.9337121212121212,0.9263617777804464,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.8983585858585859,0.7967171717171717,0.898347716381925,0.7979797979797979,15.217391304347826,30.43478260869565,55.79710144927536,-0.005681818181818121,0.002956654768936029,-0.05555555555555558,-0.005718954248365993,-0.03134920634920635,-0.02777777777777779,-0.056178642354355324,-0.028080332260631002,-0.011363636363636354,5.797101449275361,14.492753623188406,28.985507246376812,AllFeatures_Balanced_XGB
Australian Credit Approval,R2_F4,2,4,FrozenChi2Top75,Balanced,SoftVote,11,0.03874230000656098,0.03587149997474626,0.6014374999795109,0.23078859999077395,0.8695652173913043,0.8904109589041096,0.8666666666666667,0.873015873015873,0.8783783783783784,0.8698412698412699,0.738122026257206,0.9244444444444444,0.9162742692012507,0.8698354767504926,0.7555555555555555,55,8,10,65,13.043478260869565,20.28985507246377,42.028985507246375,78.26086956521739,0.9341798941798942,0.9317438307134296,0.8933333333333333,0.881578947368421,0.8874172185430463,0.8752380952380951,0.7515107268324677,0.8750510189207745,0.7714285714285715,18.115942028985508,35.507246376811594,64.4927536231884,-0.00973544973544982,-0.015469561512178931,-0.026666666666666616,0.008832011535688578,-0.009038840164667938,-0.005396825396825289,-0.013388700575261647,-0.005215542170281973,-0.015873015873015928,2.1739130434782616,6.521739130434781,13.768115942028984,AllFeatures_Balanced_XGB
Australian Credit Approval,R2_F5,2,5,FrozenChi2Top75,Balanced,SoftVote,11,0.03534040000522509,0.028015099989715964,0.6133289999561384,0.2183406000258401,0.9130434782608695,0.9210526315789473,0.9210526315789473,0.9032258064516129,0.9210526315789473,0.9121392190152802,0.8242784380305602,0.9817487266553481,0.9864024278741753,0.9120956670998251,0.8624787775891342,56,6,6,70,8.695652173913043,13.043478260869565,26.08695652173913,47.82608695652174,0.9779286926994908,0.9819399542447872,0.9342105263157896,0.8987341772151899,0.9161290322580644,0.9025891341256368,0.8095713569330298,0.902035050648046,0.8624787775891342,13.043478260869565,23.91304347826087,42.028985507246375,0.0038200339558572827,0.0044624736293881195,-0.013157894736842257,0.022318454363757456,0.004923599320882932,0.009550084889643373,0.014707081097530383,0.010060616451779136,0.0,0.0,2.173913043478258,5.797101449275367,AllFeatures_Balanced_XGB
Australian Credit Approval,R3_F1,3,1,FrozenChi2Top75,Balanced,SoftVote,11,0.03959310002392158,0.0347745000035502,0.6050195999559946,0.20957730000372976,0.8260869565217391,0.8529411764705882,0.8055555555555556,0.8484848484848485,0.8285714285714286,0.827020202020202,0.6534905591310713,0.9126683501683501,0.9270485232449476,0.826741606248097,0.6994949494949495,56,10,14,58,17.391304347826086,27.536231884057973,57.971014492753625,108.69565217391305,0.9116161616161615,0.919713202908228,0.8472222222222222,0.8026315789473685,0.8243243243243243,0.8099747474747474,0.6225752987168809,0.809117863584606,0.7159090909090908,26.81159420289855,50.72463768115942,90.57971014492752,0.001052188552188582,0.007335320336719575,-0.04166666666666663,0.05030959752321973,0.004247104247104283,0.017045454545454586,0.03091526041419046,0.017623742663490982,-0.016414141414141326,0.7246376811594217,7.246376811594203,18.11594202898553,AllFeatures_Balanced_XGB
Australian Credit Approval,R3_F2,3,2,FrozenChi2Top75,Balanced,SoftVote,11,0.03864139999495819,0.03833449998637661,0.6128931000130251,0.21408860001247376,0.8623188405797102,0.9014084507042254,0.8421052631578947,0.8870967741935484,0.8707482993197279,0.8646010186757216,0.7257448096720611,0.9180814940577249,0.9150278353412443,0.8643083144797217,0.7453310696095076,55,7,12,64,13.768115942028986,22.463768115942027,48.55072463768116,92.02898550724638,0.9325127334465196,0.9404071893178632,0.881578947368421,0.8933333333333333,0.8874172185430463,0.8762733446519524,0.7515107268324677,0.8762572824960341,0.765704584040747,18.84057971014493,38.40579710144928,71.01449275362319,-0.014431239388794759,-0.025379353976618835,-0.03947368421052633,0.00807511737089206,-0.01666891922331848,-0.011672325976230802,-0.02576591716040655,-0.0119489680163124,-0.02037351443123947,3.623188405797098,10.144927536231876,21.014492753623188,AllFeatures_Balanced_XGB
Australian Credit Approval,R3_F3,3,3,FrozenChi2Top75,Balanced,SoftVote,11,0.04098389996215701,0.03830339998239651,0.6099263000069186,0.21035379997920245,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.9514006791171477,0.9672400062697093,0.8681058747913175,0.7716468590831919,53,9,9,67,13.043478260869565,19.565217391304348,39.130434782608695,71.73913043478261,0.9613752122241086,0.9735801121342216,0.8947368421052632,0.9066666666666666,0.9006622516556292,0.8909168081494058,0.7807573371829698,0.8909086184248647,0.7920203735144312,16.666666666666668,34.05797101449275,63.04347826086956,-0.009974533106960948,-0.00634010586451228,-0.013157894736842146,-0.025087719298245603,-0.01908330428720817,-0.02270797962648563,-0.04433968013712941,-0.022802743633547173,-0.02037351443123936,2.89855072463768,5.072463768115945,8.695652173913047,AllFeatures_Balanced_XGB
Australian Credit Approval,R3_F4,3,4,FrozenChi2Top75,Balanced,SoftVote,11,0.038679299992509186,0.03142020001541823,0.5994976999936625,0.21087020001141354,0.8913043478260869,0.8933333333333333,0.9054054054054054,0.875,0.8993288590604027,0.8902027027027026,0.7813132857250352,0.9353885135135135,0.9439048198838522,0.8900728788867402,0.8158783783783784,56,8,7,67,10.869565217391305,15.942028985507246,31.159420289855074,56.52173913043478,0.9286317567567568,0.9016660108671208,0.8783783783783784,0.8904109589041096,0.8843537414965986,0.8766891891891893,0.7526635602947612,0.8766875618377856,0.8053209459459459,18.84057971014493,38.40579710144928,71.01449275362319,0.006756756756756688,0.04223880901673138,0.027027027027026973,0.0029223744292237175,0.014975117563804097,0.013513513513513375,0.028649725430273998,0.013385317048954626,0.010557432432432456,-2.8985507246376834,-7.246376811594207,-14.492753623188406,AllFeatures_Balanced_XGB
Australian Credit Approval,R3_F5,3,5,FrozenChi2Top75,Balanced,SoftVote,11,0.038285199960228056,0.045434299972839653,0.6058470999705605,0.21083070000167936,0.855072463768116,0.9113924050632911,0.8470588235294118,0.8679245283018868,0.8780487804878049,0.8574916759156492,0.7029165611684973,0.9405105438401775,0.9532197915661125,0.8574282068230062,0.7786903440621532,46,7,13,72,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,0.925416204217536,0.922842384578042,0.9058823529411764,0.9058823529411764,0.9058823529411764,0.8774694783573807,0.7549389567147614,0.8770093465902512,0.7784683684794673,17.391304347826086,34.78260869565217,63.76811594202898,0.015094339622641506,0.030377406988070454,-0.05882352941176461,0.00551005212211475,-0.02783357245337148,-0.019977802441731418,-0.05202239554626409,-0.01958113976724496,0.0002219755826858849,6.521739130434785,17.391304347826086,35.5072463768116,AllFeatures_Balanced_XGB
