dataset,run_id,repeat,fold,sigmoid_intercept,sigmoid_slope,outer_training_records,outer_training_adverse_rate,inner_oof_mean_raw_probability
Australian Credit Approval,R1_F1,1,1,0.0791541771868994,0.9830931830441474,552,0.5471014492753623,0.5395226095374366
Australian Credit Approval,R1_F2,1,2,0.09310683866862098,1.0071301507202106,552,0.5471014492753623,0.5378151953043254
Australian Credit Approval,R1_F3,1,3,0.08563008003987148,0.986316049019582,552,0.5489130434782609,0.5403689806148438
Australian Credit Approval,R1_F4,1,4,0.1532600026395511,0.9797054891611731,552,0.572463768115942,0.5577180533446856
Australian Credit Approval,R1_F5,1,5,0.09927122563184416,0.9529528169280191,552,0.5597826086956522,0.5496845519123978
Australian Credit Approval,R2_F1,2,1,0.11122641861612106,1.0208965105029262,552,0.5615942028985508,0.5513393376256759
Australian Credit Approval,R2_F2,2,2,0.013764032918166368,1.0101416934515213,552,0.5362318840579711,0.5349238640163828
Australian Credit Approval,R2_F3,2,3,0.09161089935479015,1.0135109920978982,552,0.5634057971014492,0.5543355141091199
Australian Credit Approval,R2_F4,2,4,0.07432683406453794,1.0142659992664194,552,0.5579710144927537,0.5508219870646619
Australian Credit Approval,R2_F5,2,5,0.05331574476800452,0.9994553690213692,552,0.5561594202898551,0.5504190974107646
Australian Credit Approval,R3_F1,3,1,0.07890816626594034,0.9592775111553972,552,0.5634057971014492,0.556097351736772
Australian Credit Approval,R3_F2,3,2,0.09621548033488178,0.9784487669322293,552,0.5561594202898551,0.5472192941090743
Australian Credit Approval,R3_F3,3,3,0.06498666668721897,1.0135667553479812,552,0.5561594202898551,0.5495619113714323
Australian Credit Approval,R3_F4,3,4,0.11545642014508006,0.9797358782060606,552,0.5597826086956522,0.547989436165343
Australian Credit Approval,R3_F5,3,5,0.07203626591465892,0.9402978166016647,552,0.5398550724637681,0.5320418249006714
Australian Credit Approval,R4_F1,4,1,0.08588252793563214,0.9811741657010691,552,0.5597826086956522,0.5511357511091458
Australian Credit Approval,R4_F2,4,2,0.08561002129500193,0.9975537726319554,552,0.5615942028985508,0.5533266742381945
Australian Credit Approval,R4_F3,4,3,0.0997792042953751,0.9927761764481509,552,0.5652173913043478,0.5553401997858448
Australian Credit Approval,R4_F4,4,4,0.04526708741981233,1.0038364452060051,552,0.5307971014492754,0.5263368984072163
Australian Credit Approval,R4_F5,4,5,0.058506662119775475,0.9630745512035757,552,0.5579710144927537,0.5519550413994525
Australian Credit Approval,R5_F1,5,1,0.0989334332445537,0.9455396979867169,552,0.5579710144927537,0.5486326553574791
Australian Credit Approval,R5_F2,5,2,0.07175101116287096,0.985667708577524,552,0.5507246376811594,0.5436944911120277
Australian Credit Approval,R5_F3,5,3,0.08354053557824974,0.9478666702668646,552,0.5615942028985508,0.5527627486099054
Australian Credit Approval,R5_F4,5,4,0.07317979091782964,1.007731438024216,552,0.5489130434782609,0.541563303055005
Australian Credit Approval,R5_F5,5,5,0.0868694797125086,0.9952257065739862,552,0.5561594202898551,0.5478906516491706
Taiwan Credit Card Default,R1_F1,1,1,-0.7572202257149004,1.2304127758141796,24001,0.22228240489979584,0.3650124759090513
Taiwan Credit Card Default,R1_F2,1,2,-0.7578858829870004,1.2427010668860294,24003,0.22072240969878765,0.3634702157553963
Taiwan Credit Card Default,R1_F3,1,3,-0.7566702012496689,1.2321035022202917,23998,0.2221018418201517,0.3639663590382858
Taiwan Credit Card Default,R1_F4,1,4,-0.7635476250993746,1.2386995492585446,24000,0.221125,0.3646266267338011
Taiwan Credit Card Default,R1_F5,1,5,-0.7657726307528557,1.2385716826835427,23998,0.21976831402616884,0.3637091564390815
Taiwan Credit Card Default,R2_F1,2,1,-0.7614947005825249,1.233456655981638,24005,0.22162049573005624,0.36458829491102895
Taiwan Credit Card Default,R2_F2,2,2,-0.754524524106514,1.2427598387468772,23999,0.2219675819825826,0.3652665298876097
Taiwan Credit Card Default,R2_F3,2,3,-0.7518899114640553,1.252842683059519,23998,0.2213517793149429,0.3635730820343731
Taiwan Credit Card Default,R2_F4,2,4,-0.768632331700714,1.2315563169742008,23997,0.22027753469183647,0.36423549351208173
Taiwan Credit Card Default,R2_F5,2,5,-0.7609891184620255,1.2351182719629976,24001,0.2207824673971918,0.36320691219955553
Taiwan Credit Card Default,R3_F1,3,1,-0.7587443784364256,1.243610856934263,24001,0.22044914795216866,0.3625269199289773
Taiwan Credit Card Default,R3_F2,3,2,-0.753796060857752,1.2459341734684746,23998,0.22201850154179514,0.3648522229750586
Taiwan Credit Card Default,R3_F3,3,3,-0.7645952161528958,1.2300105885645403,24001,0.22132411149535436,0.36488331872990143
Taiwan Credit Card Default,R3_F4,3,4,-0.766160090151882,1.2322333982100881,24000,0.2205,0.36377226671830054
Taiwan Credit Card Default,R3_F5,3,5,-0.7543520491463275,1.2462301439393861,24000,0.22170833333333334,0.36481850026892
Taiwan Credit Card Default,R4_F1,4,1,-0.7608302101565608,1.2421259539246632,24002,0.22098158486792768,0.36486371806794543
Taiwan Credit Card Default,R4_F2,4,2,-0.7506980857153305,1.2542479155356256,23998,0.22239353279439952,0.3656485692668688
Taiwan Credit Card Default,R4_F3,4,3,-0.7620067266810939,1.2427383212543164,24000,0.22004166666666666,0.36305962092959226
Taiwan Credit Card Default,R4_F4,4,4,-0.7523947136794903,1.253740605470471,24005,0.22162049573005624,0.3636733963515875
Taiwan Credit Card Default,R4_F5,4,5,-0.7704482860291139,1.2249802444500049,23995,0.22096270056261721,0.3644056317994916
Taiwan Credit Card Default,R5_F1,5,1,-0.752464128907881,1.2440598824331908,24001,0.22215741010791218,0.3651910419151454
Taiwan Credit Card Default,R5_F2,5,2,-0.7625630527130304,1.2429143427561455,24002,0.2203566369469211,0.363737513018898
Taiwan Credit Card Default,R5_F3,5,3,-0.7612393427390731,1.2399098479777022,24002,0.2213565536205316,0.3642885221283046
Taiwan Credit Card Default,R5_F4,5,4,-0.7595347405221685,1.2398564819827225,23995,0.22042092102521357,0.36322904338268547
Taiwan Credit Card Default,R5_F5,5,5,-0.7573997692892539,1.2431340874970194,24000,0.22170833333333334,0.3644283297305275
