dataset,run_id,repeat,fold,calibration_method,selected_source_features,brier_score,log_loss,ece_10bin,calibration_intercept,calibration_slope,mean_predicted_probability,observed_adverse_rate,roc_auc,pr_auc,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,ks_statistic,tn,fp,fn,tp
Australian Credit Approval,R1_F1,1,1,Uncalibrated,11,0.11418126557069533,0.3674215820929444,0.08032797323942424,0.5754398410362499,0.9132348330587043,0.5258295168511105,0.5869565217391305,0.9194282001299545,0.9491854996059536,0.8333333333333334,0.9142857142857143,0.7901234567901234,0.8947368421052632,0.847682119205298,0.8424301494476933,0.6744945610141342,0.8408047137128153,0.7303443794671864,51,6,17,64
Australian Credit Approval,R1_F1,1,1,Sigmoid,11,0.1131266203696756,0.3621030038638618,0.0708975925382124,0.5019186275748361,0.9289633009611384,0.5335603006852049,0.5869565217391305,0.9194282001299545,0.9491854996059536,0.8478260869565217,0.9166666666666666,0.8148148148148148,0.8947368421052632,0.8627450980392157,0.854775828460039,0.6994001801312533,0.8538412231252319,0.7303443794671864,51,6,15,66
Australian Credit Approval,R1_F2,1,2,Uncalibrated,11,0.089569795332581,0.30940094414096375,0.04752229480235249,0.15484961800343494,0.9919060219389638,0.572623816701317,0.5869565217391305,0.9361056963396145,0.9477765973802801,0.8840579710144928,0.922077922077922,0.8765432098765432,0.8947368421052632,0.8987341772151899,0.8856400259909032,0.7646835652004254,0.8855933059671065,0.806367771280052,51,6,10,71
Australian Credit Approval,R1_F2,1,2,Sigmoid,11,0.08891052437512646,0.30849413052561825,0.0526418950232204,0.06324230925421902,0.9849957132073712,0.5811072588538663,0.5869565217391305,0.9361056963396145,0.9477765973802801,0.8768115942028986,0.9102564102564102,0.8765432098765432,0.8771929824561403,0.8930817610062893,0.8768680961663418,0.7486457787171245,0.8768680359799207,0.806367771280052,50,7,10,71
Australian Credit Approval,R1_F3,1,3,Uncalibrated,11,0.0883141168789867,0.3145418186321088,0.06214828246113583,0.1425737055350766,1.017590016975653,0.5658255145021736,0.5797101449275363,0.934051724137931,0.9342142620978742,0.8840579710144928,0.9102564102564102,0.8875,0.8793103448275862,0.8987341772151899,0.883405172413793,0.7635263453909765,0.8833956820329624,0.7935344827586207,51,7,9,71
Australian Credit Approval,R1_F3,1,3,Sigmoid,11,0.08821715739116492,0.3138141816065996,0.036393495477389064,0.05430529305462145,1.0317115103471057,0.5740080603234445,0.5797101449275363,0.934051724137931,0.9342142620978742,0.8840579710144928,0.9,0.9,0.8620689655172413,0.9,0.8810344827586207,0.7620689655172413,0.8808303292720552,0.7935344827586207,50,8,8,72
Australian Credit Approval,R1_F4,1,4,Uncalibrated,11,0.10874787872287302,0.3775183975496143,0.10503572534451557,-0.6316906290924124,0.9405932115188018,0.5537580340912466,0.4855072463768116,0.9220096699600588,0.8932347246525048,0.855072463768116,0.821917808219178,0.8955223880597015,0.8169014084507042,0.8571428571428571,0.8562118982552029,0.7133240796790038,0.8553090085490205,0.7456380071473617,58,13,7,60
Australian Credit Approval,R1_F4,1,4,Sigmoid,11,0.11098531756736112,0.38841793979825223,0.1257042099052462,-0.778529429645864,0.9599982886052381,0.5698806954849417,0.4855072463768116,0.9220096699600588,0.8932347246525048,0.8695652173913043,0.8266666666666667,0.9253731343283582,0.8169014084507042,0.8732394366197183,0.8711372713895312,0.7447838236913805,0.8694473053470685,0.7456380071473617,58,13,5,62
Australian Credit Approval,R1_F5,1,5,Uncalibrated,11,0.08096724899079911,0.2747052253699785,0.05150490031931246,0.48739209923451304,1.215146669630322,0.4997771273316693,0.5362318840579711,0.9520692567567568,0.958538878507366,0.8985507246376812,0.9545454545454546,0.8513513513513513,0.953125,0.9,0.9022381756756757,0.803120872121694,0.9008020075226058,0.8357263513513513,61,3,11,63
Australian Credit Approval,R1_F5,1,5,Sigmoid,11,0.08063542813227256,0.27389205466797095,0.05091366909192086,0.36100502667477163,1.2755300537056005,0.509938662170463,0.5362318840579711,0.9520692567567568,0.958538878507366,0.8913043478260869,0.9402985074626866,0.8513513513513513,0.9375,0.8936170212765957,0.8944256756756757,0.787108214757162,0.8933878731502303,0.8357263513513513,60,4,11,63
Australian Credit Approval,R2_F1,2,1,Uncalibrated,11,0.11728784097359715,0.38957055388679884,0.0514112096118564,-0.0899402555709191,0.7809653581156224,0.5421092052693911,0.5289855072463768,0.9106427818756586,0.9216611370875147,0.8405797101449275,0.8591549295774648,0.8356164383561644,0.8461538461538461,0.8472222222222222,0.8408851422550052,0.6809098252468508,0.8408686361284067,0.7125395152792413,55,10,12,61
Australian Credit Approval,R2_F1,2,1,Sigmoid,11,0.11793147609759208,0.39353910308521745,0.09324659571608038,-0.17501889522416025,0.7649898116963624,0.5520756916788446,0.5289855072463768,0.9106427818756586,0.9216611370875147,0.8188405797101449,0.8157894736842105,0.8493150684931506,0.7846153846153846,0.8322147651006712,0.8169652265542676,0.6361464129354797,0.8163244876428706,0.7125395152792413,51,14,11,62
Australian Credit Approval,R2_F2,2,2,Uncalibrated,11,0.11628549848368377,0.39029361243868044,0.06496369479745857,0.5043704444963792,0.8626830375774166,0.5725281626681188,0.6304347826086957,0.8992562542258282,0.9248015871917855,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,0.7363083164300204,46,5,16,71
Australian Credit Approval,R2_F2,2,2,Sigmoid,11,0.11608395929163724,0.3901923477391359,0.0651943208852502,0.49261809455896544,0.854019200021527,0.5738072121025262,0.6304347826086957,0.8992562542258282,0.9248015871917855,0.8478260869565217,0.9342105263157895,0.8160919540229885,0.9019607843137255,0.8711656441717791,0.8590263691683571,0.6967843957280077,0.857952760309503,0.7363083164300204,46,5,16,71
Australian Credit Approval,R2_F3,2,3,Uncalibrated,11,0.09206915528119455,0.3205692212598635,0.06177911125408228,0.01983679675300295,0.9384968710002569,0.5196077847764137,0.5217391304347826,0.9280303030303031,0.9293184325493824,0.8695652173913043,0.8970588235294118,0.8472222222222222,0.8939393939393939,0.8714285714285714,0.8705808080808081,0.7405385293628164,0.870267384121294,0.7866161616161615,59,7,11,61
Australian Credit Approval,R2_F3,2,3,Sigmoid,11,0.0923364920020374,0.3210473812047407,0.06360793242941905,-0.06533719831604659,0.9257283480562559,0.5276243072403405,0.5217391304347826,0.9280303030303031,0.9293184325493824,0.8623188405797102,0.8840579710144928,0.8472222222222222,0.8787878787878788,0.8652482269503546,0.8630050505050505,0.7253235664820743,0.8628607184990051,0.7866161616161615,58,8,11,61
Australian Credit Approval,R2_F4,2,4,Uncalibrated,11,0.10053151882793798,0.33978686027389327,0.04111608192032339,-0.046846566580682286,0.9478291692383295,0.5488344904561901,0.5434782608695652,0.9244444444444444,0.9162742692012507,0.8695652173913043,0.8904109589041096,0.8666666666666667,0.873015873015873,0.8783783783783784,0.8698412698412699,0.738122026257206,0.8698354767504926,0.7555555555555555,55,8,10,65
Australian Credit Approval,R2_F4,2,4,Sigmoid,11,0.1005004462571177,0.3407400147933728,0.046078611580569195,-0.11653335716433966,0.934655845026406,0.5561214507045138,0.5434782608695652,0.9244444444444444,0.9162742692012507,0.8768115942028986,0.8918918918918919,0.88,0.873015873015873,0.8859060402684564,0.8765079365079365,0.7521408740827044,0.8765009801785554,0.7555555555555555,55,8,9,66
Australian Credit Approval,R2_F5,2,5,Uncalibrated,11,0.05960648093404947,0.21706668426567793,0.08278796972757077,0.0002629662480905406,1.9443602673109375,0.5500907137056776,0.5507246376811594,0.9817487266553481,0.9864024278741753,0.9130434782608695,0.9210526315789473,0.9210526315789473,0.9032258064516129,0.9210526315789473,0.9121392190152802,0.8242784380305602,0.9120956670998251,0.8624787775891342,56,6,6,70
Australian Credit Approval,R2_F5,2,5,Sigmoid,11,0.05979894315048981,0.21726112848633397,0.07312724188958868,-0.10347287513565802,1.9454184430727852,0.5558454294032137,0.5507246376811594,0.9817487266553481,0.9864024278741753,0.9202898550724637,0.922077922077922,0.9342105263157895,0.9032258064516129,0.9281045751633987,0.9187181663837012,0.8387724549797387,0.918587533132888,0.8624787775891342,56,6,5,71
Australian Credit Approval,R3_F1,3,1,Uncalibrated,11,0.12154650979695185,0.3816317422174448,0.051518629285875354,-0.07521616610718806,0.8568290600786324,0.5284375038896748,0.5217391304347826,0.9126683501683501,0.9270485232449476,0.8260869565217391,0.8529411764705882,0.8055555555555556,0.8484848484848485,0.8285714285714286,0.827020202020202,0.6534905591310713,0.826741606248097,0.6994949494949495,56,10,14,58
Australian Credit Approval,R3_F1,3,1,Sigmoid,11,0.12133839276252237,0.38075285488452754,0.049203169584929346,-0.14568182956168793,0.8931908439939963,0.537504918250212,0.5217391304347826,0.9126683501683501,0.9270485232449476,0.8333333333333334,0.855072463768116,0.8194444444444444,0.8484848484848485,0.8368794326241135,0.8339646464646464,0.6672976811635084,0.8338382308854609,0.6994949494949495,56,10,13,59
Australian Credit Approval,R3_F2,3,2,Uncalibrated,11,0.10622291292671925,0.3651729846797747,0.0729698456224355,0.23124781981271683,0.834494156598313,0.5237603905076686,0.5507246376811594,0.9180814940577249,0.9150278353412443,0.8623188405797102,0.9014084507042254,0.8421052631578947,0.8870967741935484,0.8707482993197279,0.8646010186757216,0.7257448096720611,0.8643083144797217,0.7453310696095076,55,7,12,64
Australian Credit Approval,R3_F2,3,2,Sigmoid,11,0.10503857091427156,0.3615992788900274,0.06591994896068086,0.14916934618818442,0.8528493737995304,0.5327631630164104,0.5507246376811594,0.9180814940577249,0.9150278353412443,0.8695652173913043,0.9027777777777778,0.8552631578947368,0.8870967741935484,0.8783783783783784,0.8711799660441426,0.7392289188430581,0.8710345506666245,0.7453310696095076,55,7,11,65
Australian Credit Approval,R3_F3,3,3,Uncalibrated,11,0.08919711590493483,0.29434445333934856,0.05216518172239243,-0.06435887656454528,1.170275466133542,0.5547015787878282,0.5507246376811594,0.9514006791171477,0.9672400062697093,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,0.7716468590831919,53,9,9,67
Australian Credit Approval,R3_F3,3,3,Sigmoid,11,0.08964016967120858,0.2942574613538443,0.06611725395654139,-0.13956439407420593,1.1547343489591926,0.5614699196685937,0.5507246376811594,0.9514006791171477,0.9672400062697093,0.8695652173913043,0.881578947368421,0.881578947368421,0.8548387096774194,0.881578947368421,0.8682088285229201,0.7364176570458404,0.8681058747913175,0.7716468590831919,53,9,9,67
Australian Credit Approval,R3_F4,3,4,Uncalibrated,11,0.08603686602015909,0.3036739265271972,0.07693973799714046,-0.01475871328615853,1.0234922686187466,0.5372451863523374,0.5362318840579711,0.9353885135135135,0.9439048198838522,0.8913043478260869,0.8933333333333333,0.9054054054054054,0.875,0.8993288590604027,0.8902027027027026,0.7813132857250352,0.8900728788867402,0.8158783783783784,56,8,7,67
