dataset,preprocessor_mode,transformed_index,transformed_feature,source_feature,source_role
Australian Credit Approval,linear,0,num__a2,a2,numerical
Australian Credit Approval,linear,1,num__a3,a3,numerical
Australian Credit Approval,linear,2,num__a7,a7,numerical
Australian Credit Approval,linear,3,num__a10,a10,numerical
Australian Credit Approval,linear,4,num__a13,a13,numerical
Australian Credit Approval,linear,5,num__a14,a14,numerical
Australian Credit Approval,linear,6,cat__a1_code_0,a1,categorical
Australian Credit Approval,linear,7,cat__a1_code_1,a1,categorical
Australian Credit Approval,linear,8,cat__a4_code_1,a4,categorical
Australian Credit Approval,linear,9,cat__a4_code_2,a4,categorical
Australian Credit Approval,linear,10,cat__a4_code_3,a4,categorical
Australian Credit Approval,linear,11,cat__a5_code_1,a5,categorical
Australian Credit Approval,linear,12,cat__a5_code_10,a5,categorical
Australian Credit Approval,linear,13,cat__a5_code_11,a5,categorical
Australian Credit Approval,linear,14,cat__a5_code_12,a5,categorical
Australian Credit Approval,linear,15,cat__a5_code_13,a5,categorical
Australian Credit Approval,linear,16,cat__a5_code_14,a5,categorical
Australian Credit Approval,linear,17,cat__a5_code_2,a5,categorical
Australian Credit Approval,linear,18,cat__a5_code_3,a5,categorical
Australian Credit Approval,linear,19,cat__a5_code_4,a5,categorical
Australian Credit Approval,linear,20,cat__a5_code_5,a5,categorical
Australian Credit Approval,linear,21,cat__a5_code_6,a5,categorical
Australian Credit Approval,linear,22,cat__a5_code_7,a5,categorical
Australian Credit Approval,linear,23,cat__a5_code_8,a5,categorical
Australian Credit Approval,linear,24,cat__a5_code_9,a5,categorical
Australian Credit Approval,linear,25,cat__a6_code_1,a6,categorical
Australian Credit Approval,linear,26,cat__a6_code_2,a6,categorical
Australian Credit Approval,linear,27,cat__a6_code_3,a6,categorical
Australian Credit Approval,linear,28,cat__a6_code_4,a6,categorical
Australian Credit Approval,linear,29,cat__a6_code_5,a6,categorical
Australian Credit Approval,linear,30,cat__a6_code_7,a6,categorical
Australian Credit Approval,linear,31,cat__a6_code_8,a6,categorical
Australian Credit Approval,linear,32,cat__a6_code_9,a6,categorical
Australian Credit Approval,linear,33,cat__a8_code_0,a8,categorical
Australian Credit Approval,linear,34,cat__a8_code_1,a8,categorical
Australian Credit Approval,linear,35,cat__a9_code_0,a9,categorical
Australian Credit Approval,linear,36,cat__a9_code_1,a9,categorical
Australian Credit Approval,linear,37,cat__a11_code_0,a11,categorical
Australian Credit Approval,linear,38,cat__a11_code_1,a11,categorical
Australian Credit Approval,linear,39,cat__a12_code_1,a12,categorical
Australian Credit Approval,linear,40,cat__a12_code_2,a12,categorical
Australian Credit Approval,linear,41,cat__a12_code_3,a12,categorical
