dataset,preprocessor_mode,transformed_index,transformed_feature,source_feature,source_role
Australian Credit Approval,tree,0,num__a2,a2,numerical
Australian Credit Approval,tree,1,num__a3,a3,numerical
Australian Credit Approval,tree,2,num__a7,a7,numerical
Australian Credit Approval,tree,3,num__a10,a10,numerical
Australian Credit Approval,tree,4,num__a13,a13,numerical
Australian Credit Approval,tree,5,num__a14,a14,numerical
Australian Credit Approval,tree,6,cat__a1_code_0,a1,categorical
Australian Credit Approval,tree,7,cat__a1_code_1,a1,categorical
Australian Credit Approval,tree,8,cat__a4_code_1,a4,categorical
Australian Credit Approval,tree,9,cat__a4_code_2,a4,categorical
Australian Credit Approval,tree,10,cat__a4_code_3,a4,categorical
Australian Credit Approval,tree,11,cat__a5_code_1,a5,categorical
Australian Credit Approval,tree,12,cat__a5_code_10,a5,categorical
Australian Credit Approval,tree,13,cat__a5_code_11,a5,categorical
Australian Credit Approval,tree,14,cat__a5_code_12,a5,categorical
Australian Credit Approval,tree,15,cat__a5_code_13,a5,categorical
Australian Credit Approval,tree,16,cat__a5_code_14,a5,categorical
Australian Credit Approval,tree,17,cat__a5_code_2,a5,categorical
Australian Credit Approval,tree,18,cat__a5_code_3,a5,categorical
Australian Credit Approval,tree,19,cat__a5_code_4,a5,categorical
Australian Credit Approval,tree,20,cat__a5_code_5,a5,categorical
Australian Credit Approval,tree,21,cat__a5_code_6,a5,categorical
Australian Credit Approval,tree,22,cat__a5_code_7,a5,categorical
Australian Credit Approval,tree,23,cat__a5_code_8,a5,categorical
Australian Credit Approval,tree,24,cat__a5_code_9,a5,categorical
Australian Credit Approval,tree,25,cat__a6_code_1,a6,categorical
Australian Credit Approval,tree,26,cat__a6_code_2,a6,categorical
Australian Credit Approval,tree,27,cat__a6_code_3,a6,categorical
Australian Credit Approval,tree,28,cat__a6_code_4,a6,categorical
Australian Credit Approval,tree,29,cat__a6_code_5,a6,categorical
Australian Credit Approval,tree,30,cat__a6_code_7,a6,categorical
Australian Credit Approval,tree,31,cat__a6_code_8,a6,categorical
Australian Credit Approval,tree,32,cat__a6_code_9,a6,categorical
Australian Credit Approval,tree,33,cat__a8_code_0,a8,categorical
Australian Credit Approval,tree,34,cat__a8_code_1,a8,categorical
Australian Credit Approval,tree,35,cat__a9_code_0,a9,categorical
Australian Credit Approval,tree,36,cat__a9_code_1,a9,categorical
Australian Credit Approval,tree,37,cat__a11_code_0,a11,categorical
Australian Credit Approval,tree,38,cat__a11_code_1,a11,categorical
Australian Credit Approval,tree,39,cat__a12_code_1,a12,categorical
Australian Credit Approval,tree,40,cat__a12_code_2,a12,categorical
Australian Credit Approval,tree,41,cat__a12_code_3,a12,categorical
