dataset,preprocessor_mode,transformed_index,transformed_feature,source_feature,source_role
Taiwan Credit Card Default,chi2,0,num__limit_bal,limit_bal,numerical
Taiwan Credit Card Default,chi2,1,num__age,age,numerical
Taiwan Credit Card Default,chi2,2,num__bill_amt1,bill_amt1,numerical
Taiwan Credit Card Default,chi2,3,num__bill_amt2,bill_amt2,numerical
Taiwan Credit Card Default,chi2,4,num__bill_amt3,bill_amt3,numerical
Taiwan Credit Card Default,chi2,5,num__bill_amt4,bill_amt4,numerical
Taiwan Credit Card Default,chi2,6,num__bill_amt5,bill_amt5,numerical
Taiwan Credit Card Default,chi2,7,num__bill_amt6,bill_amt6,numerical
Taiwan Credit Card Default,chi2,8,num__pay_amt1,pay_amt1,numerical
Taiwan Credit Card Default,chi2,9,num__pay_amt2,pay_amt2,numerical
Taiwan Credit Card Default,chi2,10,num__pay_amt3,pay_amt3,numerical
Taiwan Credit Card Default,chi2,11,num__pay_amt4,pay_amt4,numerical
Taiwan Credit Card Default,chi2,12,num__pay_amt5,pay_amt5,numerical
Taiwan Credit Card Default,chi2,13,num__pay_amt6,pay_amt6,numerical
Taiwan Credit Card Default,chi2,14,ord__pay_0,pay_0,ordinal
Taiwan Credit Card Default,chi2,15,ord__pay_2,pay_2,ordinal
Taiwan Credit Card Default,chi2,16,ord__pay_3,pay_3,ordinal
Taiwan Credit Card Default,chi2,17,ord__pay_4,pay_4,ordinal
Taiwan Credit Card Default,chi2,18,ord__pay_5,pay_5,ordinal
Taiwan Credit Card Default,chi2,19,ord__pay_6,pay_6,ordinal
Taiwan Credit Card Default,chi2,20,cat__sex_female,sex,categorical
Taiwan Credit Card Default,chi2,21,cat__sex_male,sex,categorical
Taiwan Credit Card Default,chi2,22,cat__education_graduate_school,education,categorical
Taiwan Credit Card Default,chi2,23,cat__education_high_school,education,categorical
Taiwan Credit Card Default,chi2,24,cat__education_other_or_unknown,education,categorical
Taiwan Credit Card Default,chi2,25,cat__education_university,education,categorical
Taiwan Credit Card Default,chi2,26,cat__marriage_married,marriage,categorical
Taiwan Credit Card Default,chi2,27,cat__marriage_other_or_unknown,marriage,categorical
Taiwan Credit Card Default,chi2,28,cat__marriage_single,marriage,categorical
