profile_group_id,group_size,target_classes,adverse_cases,favourable_cases
10673851411165850628,2,2,1,1
10684650907713962819,2,1,0,2
11597044748977078891,2,1,0,2
12189595938401683255,2,1,0,2
12456250533161259496,2,1,0,2
12762287050755622980,2,2,1,1
12798956070778343200,2,2,1,1
12878029200336522011,2,2,1,1
13378746530917497630,3,2,1,2
13422419840684375231,3,2,1,2
13475401251270453388,2,2,1,1
13571480250893505677,2,2,1,1
14198779411808005689,2,2,1,1
14348464209922324381,2,1,0,2
14960407511435587595,2,1,0,2
15836975571287021248,2,1,0,2
15879126460911356525,2,2,1,1
16006338673145905671,2,2,1,1
16326974158685303965,2,1,2,0
16434316048204457999,2,1,0,2
16489604644806888640,2,1,0,2
17276164962815481999,2,2,1,1
17955088825315505133,2,1,0,2
18092432582225845761,2,2,1,1
1891706729161552506,2,1,0,2
2855051227557352780,2,1,0,2
3084200738310864696,2,2,1,1
3307662345840561694,2,1,0,2
3428297575078740774,2,2,1,1
3550167089654280232,2,1,0,2
358857355216347360,2,2,1,1
3644745095705269690,2,1,0,2
4158752780770796742,3,2,2,1
434163572701191356,2,1,0,2
4386049100728915409,2,1,0,2
4805501988669940074,2,1,2,0
4947204378046360158,2,1,2,0
5087165907367732422,2,2,1,1
5690652814773524153,2,1,2,0
6008062826363129252,2,1,0,2
6482734488844238572,2,1,0,2
65954628700924781,2,1,0,2
6671476180423296821,2,1,0,2
6879165414009367732,2,1,0,2
6971204881418119403,2,1,0,2
7012123536606658,2,2,1,1
7323177640461882678,2,2,1,1
7474917306439036572,2,1,0,2
7784286090919367888,2,1,0,2
7999065970916676286,3,2,1,2
9044816826219229868,2,1,0,2
9466402986668538597,2,1,2,0
