dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R1_F1,1,1,Fixed0.50,0.5,0.5,0.79,0.7777777777777778,0.5223880597014925,0.924812030075188,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,123,10,32,35,42,74,170,330,21.0,37.0,85.0,165.0
German Credit,R1_F1,1,1,MaxMCC,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0
German Credit,R1_F1,1,1,MaxF1,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0
German Credit,R1_F1,1,1,MaxBalancedAccuracy,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0
German Credit,R1_F1,1,1,MinCost_FN2_FP1,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0
German Credit,R1_F1,1,1,MinCost_FN5_FP1,0.2137696982616024,0.2137696982616024,0.69,0.5206611570247934,0.9402985074626866,0.5639097744360902,0.6702127659574468,0.7521041409493885,0.4868183790431528,0.7281782194256265,75,58,4,63,62,66,78,98,31.0,33.0,39.0,49.0
German Credit,R1_F1,1,1,MinCost_FN10_FP1,0.11980800563161138,0.11980800563161138,0.555,0.42948717948717946,1.0,0.3308270676691729,0.600896860986547,0.6654135338345865,0.376942945538509,0.5751756841776023,44,89,0,67,89,89,89,89,44.5,44.5,44.5,44.5
German Credit,R1_F2,1,2,Fixed0.50,0.5,0.5,0.785,0.5555555555555556,0.5208333333333334,0.868421052631579,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,132,20,23,25,43,66,135,250,21.5,33.0,67.5,125.0
German Credit,R1_F2,1,2,MaxMCC,0.5457183263565552,0.5457183263565552,0.795,0.6060606060606061,0.4166666666666667,0.9144736842105263,0.49382716049382713,0.6655701754385965,0.3810125770524225,0.6172768436887828,139,13,28,20,41,69,153,293,20.5,34.5,76.5,146.5
German Credit,R1_F2,1,2,MaxF1,0.3175129196179562,0.3175129196179562,0.715,0.4444444444444444,0.75,0.7039473684210527,0.5581395348837209,0.7269736842105263,0.3949407306748477,0.7266089225407224,107,45,12,36,57,69,105,165,28.5,34.5,52.5,82.5
German Credit,R1_F2,1,2,MaxBalancedAccuracy,0.3175129196179562,0.3175129196179562,0.715,0.4444444444444444,0.75,0.7039473684210527,0.5581395348837209,0.7269736842105263,0.3949407306748477,0.7266089225407224,107,45,12,36,57,69,105,165,28.5,34.5,52.5,82.5
German Credit,R1_F2,1,2,MinCost_FN2_FP1,0.3175129196179562,0.3175129196179562,0.715,0.4444444444444444,0.75,0.7039473684210527,0.5581395348837209,0.7269736842105263,0.3949407306748477,0.7266089225407224,107,45,12,36,57,69,105,165,28.5,34.5,52.5,82.5
German Credit,R1_F2,1,2,MinCost_FN5_FP1,0.14343911301009793,0.14343911301009793,0.515,0.3157894736842105,0.875,0.40131578947368424,0.46408839779005523,0.6381578947368421,0.2500258389921416,0.5925802188644789,61,91,6,42,97,103,121,151,48.5,51.5,60.5,75.5
German Credit,R1_F2,1,2,MinCost_FN10_FP1,0.08971124129768578,0.08971124129768578,0.41,0.28125,0.9375,0.24342105263157895,0.4326923076923077,0.5904605263157895,0.1931708236387244,0.4777104110673173,37,115,3,45,118,121,130,145,59.0,60.5,65.0,72.5
German Credit,R1_F3,1,3,Fixed0.50,0.5,0.5,0.76,0.6923076923076923,0.42857142857142855,0.9124087591240876,0.5294117647058824,0.670490093847758,0.39977392328872996,0.6253257753674437,125,12,36,27,48,84,192,372,24.0,42.0,96.0,186.0
German Credit,R1_F3,1,3,MaxMCC,0.3756185763469281,0.3756185763469281,0.75,0.6,0.6190476190476191,0.8102189781021898,0.609375,0.7146332985749044,0.42572983989187757,0.7082119240039352,111,26,24,39,50,74,146,266,25.0,37.0,73.0,133.0
German Credit,R1_F3,1,3,MaxF1,0.36635456919953974,0.36635456919953974,0.75,0.5970149253731343,0.6349206349206349,0.8029197080291971,0.6153846153846154,0.718920171474916,0.43090656601530725,0.7139960019581263,110,27,23,40,50,73,142,257,25.0,36.5,71.0,128.5
German Credit,R1_F3,1,3,MaxBalancedAccuracy,0.36635456919953974,0.36635456919953974,0.75,0.5970149253731343,0.6349206349206349,0.8029197080291971,0.6153846153846154,0.718920171474916,0.43090656601530725,0.7139960019581263,110,27,23,40,50,73,142,257,25.0,36.5,71.0,128.5
