dataset,run_id,repeat,fold,threshold_strategy,selected_threshold,threshold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,gmean,tn,fp,fn,tp,cost_FN1_FP1,cost_FN2_FP1,cost_FN5_FP1,cost_FN10_FP1,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
German Credit,R1_F1,1,1,Fixed0.50,0.5,0.5,0.79,0.7777777777777778,0.5223880597014925,0.924812030075188,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,123,10,32,35,42,74,170,330,21.0,37.0,85.0,165.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F1,1,1,MaxMCC,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.26865671641791045,-0.19536019536019533,0.04588607594936711,0.029065200314218442,-0.02650111757192236,0.05662439682700027,5.0,-4.0,-31.0,-76.0
German Credit,R1_F1,1,1,MaxF1,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.26865671641791045,-0.19536019536019533,0.04588607594936711,0.029065200314218442,-0.02650111757192236,0.05662439682700027,5.0,-4.0,-31.0,-76.0
German Credit,R1_F1,1,1,MaxBalancedAccuracy,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.26865671641791045,-0.19536019536019533,0.04588607594936711,0.029065200314218442,-0.02650111757192236,0.05662439682700027,5.0,-4.0,-31.0,-76.0
German Credit,R1_F1,1,1,MinCost_FN2_FP1,0.3329236335468272,0.3329236335468272,0.74,0.5824175824175825,0.7910447761194029,0.7142857142857143,0.6708860759493671,0.7526652452025586,0.47896610413851276,0.7516860933544206,95,38,14,53,52,66,108,178,26.0,33.0,54.0,89.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.26865671641791045,-0.19536019536019533,0.04588607594936711,0.029065200314218442,-0.02650111757192236,0.05662439682700027,5.0,-4.0,-31.0,-76.0
German Credit,R1_F1,1,1,MinCost_FN5_FP1,0.2137696982616024,0.2137696982616024,0.69,0.5206611570247934,0.9402985074626866,0.5639097744360902,0.6702127659574468,0.7521041409493885,0.4868183790431528,0.7281782194256265,75,58,4,63,62,66,78,98,31.0,33.0,39.0,49.0,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.4179104477611941,-0.25711662075298436,0.04521276595744683,0.028504096061048312,-0.01864884266728234,0.03311652289820621,10.0,-4.0,-46.0,-116.0
German Credit,R1_F1,1,1,MinCost_FN10_FP1,0.11980800563161138,0.11980800563161138,0.555,0.42948717948717946,1.0,0.3308270676691729,0.600896860986547,0.6654135338345865,0.376942945538509,0.5751756841776023,44,89,0,67,89,89,89,89,44.5,44.5,44.5,44.5,0.5223880597014925,0.7777777777777778,0.625,0.7236000448883402,0.5054672217104351,0.6950616965274203,21.0,37.0,85.0,165.0,0.4776119402985075,-0.34829059829059833,-0.024103139013452957,-0.05818651105375372,-0.12852427617192613,-0.119886012349818,23.5,7.5,-40.5,-120.5
German Credit,R1_F2,1,2,Fixed0.50,0.5,0.5,0.785,0.5555555555555556,0.5208333333333334,0.868421052631579,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,132,20,23,25,43,66,135,250,21.5,33.0,67.5,125.0,0.5208333333333334,0.5555555555555556,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,21.5,33.0,67.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Credit,R1_F2,1,2,MaxMCC,0.5457183263565552,0.5457183263565552,0.795,0.6060606060606061,0.4166666666666667,0.9144736842105263,0.49382716049382713,0.6655701754385965,0.3810125770524225,0.6172768436887828,139,13,28,20,41,69,153,293,20.5,34.5,76.5,146.5,0.5208333333333334,0.5555555555555556,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,21.5,33.0,67.5,125.0,-0.10416666666666669,0.0505050505050505,-0.04380724810832337,-0.029057017543859587,-0.017098096513633476,-0.05525763987243015,-1.0,1.5,9.0,21.5
German Credit,R1_F2,1,2,MaxF1,0.3175129196179562,0.3175129196179562,0.715,0.4444444444444444,0.75,0.7039473684210527,0.5581395348837209,0.7269736842105263,0.3949407306748477,0.7266089225407224,107,45,12,36,57,69,105,165,28.5,34.5,52.5,82.5,0.5208333333333334,0.5555555555555556,0.5376344086021505,0.6946271929824561,0.39811067356605595,0.6725344835612129,21.5,33.0,67.5,125.0,0.22916666666666663,-0.11111111111111116,0.02050512628157042,0.03234649122807021,-0.003169942891208255,0.054074438979509476,7.0,1.5,-15.0,-42.5
