run_id,repeat,fold,threshold_strategy,selected_threshold,training_oof_mcc,training_oof_f1,training_oof_balanced_accuracy,training_oof_recall,training_oof_precision,training_oof_cost_FN2_FP1,training_oof_cost_FN5_FP1,training_oof_cost_FN10_FP1
R1_F1,1,1,Fixed0.50,0.5,0.3636290342421539,0.49473684210526314,0.6549795247935448,0.4034334763948498,0.6394557823129252,331,748,1443
R1_F1,1,1,MaxMCC,0.3329236335468272,0.40704226143396194,0.5966228893058161,0.7168630923995731,0.6824034334763949,0.53,289,511,881
R1_F1,1,1,MaxF1,0.3329236335468272,0.40704226143396194,0.5966228893058161,0.7168630923995731,0.6824034334763949,0.53,289,511,881
R1_F1,1,1,MaxBalancedAccuracy,0.3329236335468272,0.40704226143396194,0.5966228893058161,0.7168630923995731,0.6824034334763949,0.53,289,511,881
R1_F1,1,1,MinCost_FN2_FP1,0.3329236335468272,0.40704226143396194,0.5966228893058161,0.7168630923995731,0.6824034334763949,0.53,289,511,881
R1_F1,1,1,MinCost_FN5_FP1,0.2137696982616024,0.3465206557994693,0.566813509544787,0.6892953652610305,0.8283261802575107,0.43080357142857145,335,455,655
R1_F1,1,1,MinCost_FN10_FP1,0.11980800563161138,0.2700470062369611,0.5208085612366231,0.626923571844888,0.9399141630901288,0.36019736842105265,417,459,529
R1_F2,1,2,Fixed0.50,0.5,0.416406238338774,0.5707865168539326,0.6917651488819372,0.503968253968254,0.6580310880829016,316,691,1316
R1_F2,1,2,MaxMCC,0.5457183263565552,0.4278648154649151,0.5533980582524272,0.6842196732707682,0.4523809523809524,0.7125,322,736,1426
R1_F2,1,2,MaxF1,0.3175129196179562,0.41101038210333224,0.6176961602671118,0.7192532730853898,0.7341269841269841,0.5331412103746398,296,497,832
R1_F2,1,2,MaxBalancedAccuracy,0.3175129196179562,0.41101038210333224,0.6176961602671118,0.7192532730853898,0.7341269841269841,0.5331412103746398,296,497,832
R1_F2,1,2,MinCost_FN2_FP1,0.3175129196179562,0.41101038210333224,0.6176961602671118,0.7192532730853898,0.7341269841269841,0.5331412103746398,296,497,832
R1_F2,1,2,MinCost_FN5_FP1,0.14343911301009793,0.35857622807329387,0.5856079404466501,0.6781079828525084,0.9365079365079365,0.4259927797833935,350,398,478
R1_F2,1,2,MinCost_FN10_FP1,0.08971124129768578,0.32213945265401217,0.5613636363636364,0.6424516278530876,0.9801587301587301,0.39331210191082805,391,406,431
R1_F3,1,3,Fixed0.50,0.5,0.35713390038086806,0.5025125628140703,0.6567963966394615,0.4219409282700422,0.6211180124223602,335,746,1431
R1_F3,1,3,MaxMCC,0.3756185763469281,0.41482670567859947,0.5984251968503937,0.714991268895534,0.6413502109704642,0.5608856088560885,289,544,969
R1_F3,1,3,MaxF1,0.36635456919953974,0.4145198294817948,0.6019047619047619,0.7178804026050918,0.6666666666666666,0.5486111111111112,288,525,920
R1_F3,1,3,MaxBalancedAccuracy,0.36635456919953974,0.4145198294817948,0.6019047619047619,0.7178804026050918,0.6666666666666666,0.5486111111111112,288,525,920
R1_F3,1,3,MinCost_FN2_FP1,0.36635456919953974,0.4145198294817948,0.6019047619047619,0.7178804026050918,0.6666666666666666,0.5486111111111112,288,525,920
R1_F3,1,3,MinCost_FN5_FP1,0.20665612591997232,0.36999086693105226,0.5829725829725829,0.7005830728991014,0.8523206751054853,0.44298245614035087,324,429,604
R1_F3,1,3,MinCost_FN10_FP1,0.07297121268101275,0.27031566395453327,0.5169769989047097,0.6071265298169092,0.9957805907172996,0.34911242603550297,442,445,450
R1_F4,1,4,Fixed0.50,0.5,0.3319147988093537,0.48743718592964824,0.6483122875182127,0.41810344827586204,0.5843373493975904,339,744,1419
R1_F4,1,4,MaxMCC,0.38669409894894957,0.4446415755226945,0.6138211382113821,0.7294803302574064,0.6508620689655172,0.5807692307692308,271,514,919
R1_F4,1,4,MaxF1,0.34626750439566023,0.4406706026638122,0.6168582375478927,0.7334264205925207,0.6939655172413793,0.5551724137931034,271,484,839
R1_F4,1,4,MaxBalancedAccuracy,0.34626750439566023,0.4406706026638122,0.6168582375478927,0.7334264205925207,0.6939655172413793,0.5551724137931034,271,484,839
R1_F4,1,4,MinCost_FN2_FP1,0.38669409894894957,0.4446415755226945,0.6138211382113821,0.7294803302574064,0.6508620689655172,0.5807692307692308,271,514,919
R1_F4,1,4,MinCost_FN5_FP1,0.14625068075825023,0.3661374817236217,0.570281124497992,0.6932066537153958,0.9181034482758621,0.41359223300970877,340,397,492
R1_F4,1,4,MinCost_FN10_FP1,0.09309946812475756,0.30347015493064666,0.5306603773584906,0.6407236522583779,0.9698275862068966,0.3652597402597403,405,426,461
R1_F5,1,5,Fixed0.50,0.5,0.4174344211152388,0.5641025641025641,0.6899782806492325,0.491869918699187,0.6612021857923497,312,687,1312
R1_F5,1,5,MaxMCC,0.48010203016148073,0.4292604785477912,0.5804988662131519,0.6996932875465939,0.5203252032520326,0.6564102564102564,303,657,1247
R1_F5,1,5,MaxF1,0.25963868818990804,0.4059121350061371,0.6127527216174183,0.7199010889025858,0.8008130081300813,0.49622166246851385,298,445,690
R1_F5,1,5,MaxBalancedAccuracy,0.25963868818990804,0.4059121350061371,0.6127527216174183,0.7199010889025858,0.8008130081300813,0.49622166246851385,298,445,690
R1_F5,1,5,MinCost_FN2_FP1,0.3159819661179658,0.41182753438705144,0.6124567474048442,0.7198644008100731,0.7195121951219512,0.5331325301204819,293,500,845
R1_F5,1,5,MinCost_FN5_FP1,0.1917458243067876,0.3838076767777181,0.5986013986013986,0.7048149452613659,0.8699186991869918,0.4562899786780384,319,415,575
R1_F5,1,5,MinCost_FN10_FP1,0.08149289271336912,0.257002196159474,0.5275938189845475,0.6058084588066097,0.9715447154471545,0.3621212121212121,435,456,491
R2_F1,2,1,Fixed0.50,0.5,0.3547054390603657,0.5109489051094891,0.66024012410909,0.4430379746835443,0.603448275862069,333,729,1389
R2_F1,2,1,MaxMCC,0.36569929389171324,0.4369526038442407,0.6147859922178989,0.7276494967436353,0.6666666666666666,0.5703971119133574,277,514,909
R2_F1,2,1,MaxF1,0.36569929389171324,0.4369526038442407,0.6147859922178989,0.7276494967436353,0.6666666666666666,0.5703971119133574,277,514,909
R2_F1,2,1,MaxBalancedAccuracy,0.2338459963790671,0.4190345139983978,0.6116207951070336,0.7292233439005928,0.8438818565400844,0.47961630695443647,291,402,587
R2_F1,2,1,MinCost_FN2_FP1,0.36569929389171324,0.4369526038442407,0.6147859922178989,0.7276494967436353,0.6666666666666666,0.5703971119133574,277,514,909
R2_F1,2,1,MinCost_FN5_FP1,0.20321267593277526,0.4091585958727494,0.6037735849056604,0.722122295418606,0.8776371308016878,0.46017699115044247,302,389,534
R2_F1,2,1,MinCost_FN10_FP1,0.09281962842935923,0.28921822522695395,0.5314685314685315,0.6319895676417024,0.9620253164556962,0.3671497584541063,411,438,483
R2_F2,2,2,Fixed0.50,0.5,0.3804012552931717,0.5336426914153132,0.6696013959793488,0.452755905511811,0.6497175141242938,340,757,1452
R2_F2,2,2,MaxMCC,0.3664874005129785,0.41757171070248444,0.6164874551971327,0.7177035562862335,0.6771653543307087,0.5657894736842105,296,542,952
R2_F2,2,2,MaxF1,0.36410905047609643,0.41705109855812655,0.6167557932263814,0.7178405583917395,0.6811023622047244,0.5635179153094463,296,539,944
R2_F2,2,2,MaxBalancedAccuracy,0.36410905047609643,0.41705109855812655,0.6167557932263814,0.7178405583917395,0.6811023622047244,0.5635179153094463,296,539,944
R2_F2,2,2,MinCost_FN2_FP1,0.3664874005129785,0.41757171070248444,0.6164874551971327,0.7177035562862335,0.6771653543307087,0.5657894736842105,296,542,952
R2_F2,2,2,MinCost_FN5_FP1,0.16986710065905714,0.3428887954484382,0.5825977301387137,0.6726731273975368,0.9094488188976378,0.42857142857142855,354,423,538
R2_F2,2,2,MinCost_FN10_FP1,0.0716617569726789,0.2238586798567301,0.5229166666666667,0.5774278215223098,0.9881889763779528,0.3555240793201133,461,470,485
R2_F3,2,3,Fixed0.50,0.5,0.38629651886897637,0.5263157894736842,0.671191865938618,0.44680851063829785,0.6402439024390244,319,709,1359
R2_F3,2,3,MaxMCC,0.3911527299009214,0.4512638991794764,0.6150627615062761,0.7278102052344191,0.625531914893617,0.6049382716049383,272,536,976
R2_F3,2,3,MaxF1,0.38535330561586933,0.45042279537063307,0.6153846153846154,0.7281679533044625,0.6297872340425532,0.6016260162601627,272,533,968
R2_F3,2,3,MaxBalancedAccuracy,0.37764364603673783,0.4459453143713848,0.615071283095723,0.72835624176238,0.6425531914893617,0.58984375,273,525,945
R2_F3,2,3,MinCost_FN2_FP1,0.3911527299009214,0.4512638991794764,0.6150627615062761,0.7278102052344191,0.625531914893617,0.6049382716049383,272,536,976
R2_F3,2,3,MinCost_FN5_FP1,0.1635534383849564,0.3379179558138248,0.5607476635514018,0.6777819619657315,0.8936170212765957,0.4085603112840467,354,429,554
R2_F3,2,3,MinCost_FN10_FP1,0.07514768073825483,0.25113040317106927,0.5099778270509978,0.6026360384108453,0.9787234042553191,0.3448275862068966,447,462,487
R2_F4,2,4,Fixed0.50,0.5,0.3915895047241642,0.5330073349633252,0.6732352854053734,0.45041322314049587,0.6526946107784432,324,723,1388
R2_F4,2,4,MaxMCC,0.5053282208439034,0.39740377213316586,0.5356265356265356,0.6750274001007139,0.45041322314049587,0.6606060606060606,322,721,1386
R2_F4,2,4,MaxF1,0.24662162882158528,0.38640823542737274,0.598159509202454,0.710240232234367,0.8057851239669421,0.47560975609756095,309,450,685
R2_F4,2,4,MaxBalancedAccuracy,0.24662162882158528,0.38640823542737274,0.598159509202454,0.710240232234367,0.8057851239669421,0.47560975609756095,309,450,685
R2_F4,2,4,MinCost_FN2_FP1,0.3506029717098704,0.3903440178714025,0.593128390596745,0.7071225450990847,0.6776859504132231,0.5273311897106109,303,537,927
R2_F4,2,4,MinCost_FN5_FP1,0.14922003318398008,0.3551934636866993,0.5743589743589743,0.6814479101869131,0.9256198347107438,0.4163568773234201,350,404,494
R2_F4,2,4,MinCost_FN10_FP1,0.09367022015216393,0.29552750386609383,0.5389908256880734,0.6315945377528955,0.9710743801652892,0.373015873015873,409,430,465
R2_F5,2,5,Fixed0.50,0.5,0.3966619408866569,0.5246753246753246,0.6718977659057795,0.4353448275862069,0.6601307189542484,314,707,1362
R2_F5,2,5,MaxMCC,0.4142474283538864,0.4193567637274449,0.5822222222222222,0.7057430791646431,0.5646551724137931,0.6009174311926605,289,592,1097
R2_F5,2,5,MaxF1,0.27237501292611227,0.4084938409953075,0.6017094017094017,0.7235004856726566,0.7586206896551724,0.4985835694050991,289,457,737
R2_F5,2,5,MaxBalancedAccuracy,0.2635239107483551,0.40796417687715125,0.6016806722689075,0.72380403108305,0.771551724137931,0.4931129476584022,290,449,714
R2_F5,2,5,MinCost_FN2_FP1,0.4142474283538864,0.4193567637274449,0.5822222222222222,0.7057430791646431,0.5646551724137931,0.6009174311926605,289,592,1097
R2_F5,2,5,MinCost_FN5_FP1,0.21523934563482883,0.3826063451512493,0.5862595419847328,0.7104480330257407,0.8275862068965517,0.45390070921985815,311,431,631
R2_F5,2,5,MinCost_FN10_FP1,0.09031345754332251,0.25195483858197815,0.5085130533484676,0.608638902379796,0.9655172413793104,0.34514637904468415,441,465,505
R3_F1,3,1,Fixed0.50,0.5,0.3681698555634458,0.5225653206650831,0.6649129758445599,0.44715447154471544,0.6285714285714286,337,745,1425
R3_F1,3,1,MaxMCC,0.3417218257397753,0.4290754478811008,0.6219081272084805,0.7277596783188048,0.7154471544715447,0.55,284,494,844
R3_F1,3,1,MaxF1,0.3417218257397753,0.4290754478811008,0.6219081272084805,0.7277596783188048,0.7154471544715447,0.55,284,494,844
R3_F1,3,1,MaxBalancedAccuracy,0.3417218257397753,0.4290754478811008,0.6219081272084805,0.7277596783188048,0.7154471544715447,0.55,284,494,844
R3_F1,3,1,MinCost_FN2_FP1,0.3417218257397753,0.4290754478811008,0.6219081272084805,0.7277596783188048,0.7154471544715447,0.55,284,494,844
R3_F1,3,1,MinCost_FN5_FP1,0.1790984730795535,0.35598255407184265,0.582010582010582,0.6854216195591558,0.8943089430894309,0.43137254901960786,342,420,550
R3_F1,3,1,MinCost_FN10_FP1,0.09122667108809794,0.26894466203935596,0.5330347144456887,0.6146062633911538,0.967479674796748,0.3678516228748068,425,449,489
R3_F2,3,2,Fixed0.50,0.5,0.3476776888226871,0.48293963254593175,0.647994624143034,0.39316239316239315,0.6258503401360545,339,765,1475
R3_F2,3,2,MaxMCC,0.33573301695624014,0.417449667796916,0.6048237476808905,0.7228489021775241,0.6965811965811965,0.5344262295081967,284,497,852
R3_F2,3,2,MaxF1,0.33573301695624014,0.417449667796916,0.6048237476808905,0.7228489021775241,0.6965811965811965,0.5344262295081967,284,497,852
R3_F2,3,2,MaxBalancedAccuracy,0.33573301695624014,0.417449667796916,0.6048237476808905,0.7228489021775241,0.6965811965811965,0.5344262295081967,284,497,852
R3_F2,3,2,MinCost_FN2_FP1,0.33573301695624014,0.417449667796916,0.6048237476808905,0.7228489021775241,0.6965811965811965,0.5344262295081967,284,497,852
R3_F2,3,2,MinCost_FN5_FP1,0.16451686071471724,0.3392007413053258,0.56,0.6783999275165353,0.8974358974358975,0.4069767441860465,354,426,546
R3_F2,3,2,MinCost_FN10_FP1,0.10348243134336703,0.2640471498357997,0.5173210161662818,0.6182084503639274,0.9572649572649573,0.35443037974683544,428,458,508
R3_F3,3,3,Fixed0.50,0.5,0.4186117449993361,0.5675057208237986,0.6905456498232934,0.4940239043824701,0.6666666666666666,316,697,1332
R3_F3,3,3,MaxMCC,0.4691197183091848,0.44321150253896613,0.5982532751091703,0.7091560896668336,0.545816733067729,0.6618357487922706,298,640,1210
R3_F3,3,3,MaxF1,0.36758488540234685,0.4429095922617345,0.6321428571428571,0.7323710621992903,0.7051792828685259,0.5728155339805825,280,502,872
R3_F3,3,3,MaxBalancedAccuracy,0.36758488540234685,0.4429095922617345,0.6321428571428571,0.7323710621992903,0.7051792828685259,0.5728155339805825,280,502,872
R3_F3,3,3,MinCost_FN2_FP1,0.36758488540234685,0.4429095922617345,0.6321428571428571,0.7323710621992903,0.7051792828685259,0.5728155339805825,280,502,872
R3_F3,3,3,MinCost_FN5_FP1,0.13710621981371446,0.3367243661891478,0.5753424657534246,0.6678096357738446,0.9203187250996016,0.41847826086956524,361,421,521
R3_F3,3,3,MinCost_FN10_FP1,0.07560315085927545,0.264241661086341,0.5346320346320347,0.6040537304334574,0.9840637450199203,0.36701337295690933,434,446,466
R3_F4,3,4,Fixed0.50,0.5,0.40743738873713503,0.5360824742268041,0.6785352901345871,0.45021645021645024,0.6624203821656051,307,688,1323
R3_F4,3,4,MaxMCC,0.27510585716622765,0.4264037858103415,0.611965811965812,0.7336673285706677,0.7748917748917749,0.5056497175141242,279,435,695
R3_F4,3,4,MaxF1,0.27510585716622765,0.4264037858103415,0.611965811965812,0.7336673285706677,0.7748917748917749,0.5056497175141242,279,435,695
R3_F4,3,4,MaxBalancedAccuracy,0.27510585716622765,0.4264037858103415,0.611965811965812,0.7336673285706677,0.7748917748917749,0.5056497175141242,279,435,695
R3_F4,3,4,MinCost_FN2_FP1,0.27510585716622765,0.4264037858103415,0.611965811965812,0.7336673285706677,0.7748917748917749,0.5056497175141242,279,435,695
R3_F4,3,4,MinCost_FN5_FP1,0.19067271895653465,0.39670501154573806,0.5894134477825465,0.7156589748856884,0.8917748917748918,0.44017094017094016,312,387,512
R3_F4,3,4,MinCost_FN10_FP1,0.10089500996130923,0.3090225926374647,0.5328554360812425,0.6461286224027876,0.9653679653679653,0.367986798679868,399,423,463
R3_F5,3,5,Fixed0.50,0.5,0.3962044744476696,0.5369458128078818,0.6765004934358084,0.4579831932773109,0.6488095238095238,317,704,1349
R3_F5,3,5,MaxMCC,0.3962502999121098,0.44696129087471653,0.6144329896907217,0.7258365979843895,0.6260504201680672,0.6032388663967612,276,543,988
R3_F5,3,5,MaxF1,0.3379970069014296,0.44539739754704416,0.6240601503759399,0.7348604922396005,0.6974789915966386,0.564625850340136,272,488,848
R3_F5,3,5,MaxBalancedAccuracy,0.285834526710603,0.43443584373909944,0.6219931271477663,0.7352343072460301,0.7605042016806722,0.5261627906976745,277,448,733
R3_F5,3,5,MinCost_FN2_FP1,0.3379970069014296,0.44539739754704416,0.6240601503759399,0.7348604922396005,0.6974789915966386,0.564625850340136,272,488,848
R3_F5,3,5,MinCost_FN5_FP1,0.188832931225358,0.3835259156169875,0.5905848787446505,0.7071159424623943,0.8697478991596639,0.4470842332613391,318,411,566
R3_F5,3,5,MinCost_FN10_FP1,0.05572332626117161,0.215066245777511,0.4989384288747346,0.5764376925147283,0.9873949579831933,0.3338068181818182,475,484,499
R4_F1,4,1,Fixed0.50,0.5,0.37885788793581504,0.5151515151515151,0.6643695134957749,0.42677824267782427,0.6496815286624203,329,740,1425
R4_F1,4,1,MaxMCC,0.4478564898246823,0.42132091166473995,0.5797752808988764,0.7012470260070556,0.5397489539748954,0.6262135922330098,297,627,1177
R4_F1,4,1,MaxF1,0.30266042580157193,0.41859164106420715,0.612736660929432,0.7262173793062299,0.7447698744769874,0.52046783625731,286,469,774
R4_F1,4,1,MaxBalancedAccuracy,0.30266042580157193,0.41859164106420715,0.612736660929432,0.7262173793062299,0.7447698744769874,0.52046783625731,286,469,774
R4_F1,4,1,MinCost_FN2_FP1,0.33958848959620075,0.41910452993466696,0.6091743119266055,0.7225031511273206,0.694560669456067,0.5424836601307189,286,505,870
